qid,license_name,subject,answer,pred,response
706,관세사,무역영어,A,A,"### ANSWER
A"
707,관세사,무역영어,B,B,"### ANSWER
B"
708,관세사,무역영어,D,D,"### ANSWER
D"
709,관세사,무역영어,E,E,"### ANSWER
E"
2118,한약사,한약학 응용,A,A,"### ANSWER
A"
2119,한약사,한약학 응용,E,E,"### ANSWER
E"
2120,한약사,한약학 응용,B,B,"### ANSWER
B"
2121,한약사,한약학 응용,E,E,"### ANSWER
E"
0,감정평가사,민법,D,D,"관습법은 성문법에 대해 열후적·보충적 효력을 가지므로 제정법과 배치되는 경우 관습법이 우선한다는 설명은 옳지 않습니다. 판례상 관습법은 법률에 반하지 않는 범위에서 보충적으로 효력을 가집니다.

### ANSWER
D"
1,감정평가사,민법,D,D,"D는 사정변경의 원칙에서 ""계약성립의 기초가 된 사정""이 변경되어야 하는데, ""기초가 되지 않은 사정""의 변경이라고 잘못 서술되어 있어 옳지 않다.

### ANSWER
D"
2,감정평가사,민법,E,E,"### ANSWER
E"
3,감정평가사,민법,A,A,"### ANSWER
A"
2122,한약사,한약학 응용,D,D,"### ANSWER
D"
2123,한약사,한약학 응용,A,A,"### ANSWER
A"
2124,한약사,한약학 응용,B,B,"### ANSWER
B"
2125,한약사,한약학 응용,E,E,"### ANSWER
E"
2126,한약사,한약학 응용,E,E,"### ANSWER
E"
2127,한약사,한약학 응용,B,B,"### ANSWER
B"
2128,한약사,한약학 응용,D,D,"D

### ANSWER
D"
2129,한약사,한약학 응용,E,E,"### ANSWER
E"
710,관세사,무역영어,E,E,"### ANSWER
E"
711,관세사,무역영어,D,D,"### ANSWER
D"
712,관세사,무역영어,E,E,"### ANSWER
E"
713,관세사,무역영어,E,B,"### ANSWER
B"
2130,한약사,한약학 응용,D,D,"### ANSWER
D"
2131,한약사,한약학 응용,E,E,"### ANSWER
E"
2132,한약사,한약학 응용,D,D,"### ANSWER
D"
2133,한약사,한약학 응용,C,C,"### ANSWER
C"
2134,한약사,한약학 응용,E,E,"### ANSWER
E"
2135,한약사,한약학 응용,C,C,"### ANSWER
C"
2136,한약사,한약학 응용,B,B,"### ANSWER
B"
2137,한약사,한약학 응용,B,B,"### ANSWER
B"
714,관세사,무역영어,C,C,"C 항목에서는 ""may in its sole judgement approach the beneficiary for a waiver""라고 되어 있으나, UCP 600 제16조(b)의 실제 규정은 발행은행이 재량으로 권리포기를 요청하는 대상이 ""개설의뢰인(applicant)""이지 ""수익자(beneficiary)""가 아닙니다. 따라서 이 부분이 옳지 않은 내용입니다.

### ANSWER
C"
715,관세사,무역영어,D,D,"### ANSWER
D"
716,관세사,무역영어,D,D,"### ANSWER
D"
717,관세사,무역영어,B,B,"### ANSWER
B"
2138,한약사,한약학 응용,D,D,"D

### ANSWER
D"
2139,한약사,한약학 응용,E,E,"### ANSWER
E"
2140,한약사,한약학 응용,A,A,"### ANSWER
A"
2141,한약사,한약학 응용,C,C,"### ANSWER
C"
2142,한약사,한약학 응용,D,D,"### ANSWER
D"
2143,한약사,한약학 응용,E,E,"E

### ANSWER
E"
2144,한약사,한약학 응용,B,B,"### ANSWER
B"
2145,한약사,한약학 응용,C,C,"### ANSWER
C"
2146,한약사,한약학 응용,B,B,"### ANSWER
B"
2147,한약사,한약학 응용,B,B,"### ANSWER
B"
2148,한약사,한약학 응용,C,C,"### ANSWER
C"
2149,한약사,한약학 응용,C,C,"### ANSWER
C"
718,관세사,무역영어,D,D,"### ANSWER
D"
719,관세사,무역영어,B,B,"### ANSWER
B"
720,관세사,무역영어,C,C,"UCP 600 제38조에서는 금액, 단가, 유효기일, 제시기간, 최종선적일 등은 ""reduced or curtailed(감액 또는 단축)""될 수 있다고 규정하므로 ㄷ의 ""increased or extended""는 옳지 않습니다. 제39조에서는 양도 불가능 신용장이라도 수익자의 대금청구권 양도 권리에 ""shall not affect(영향을 미치지 않는다)""고 규정하므로 ㄹ의 ""shall affect""도 옳지 않습니다.

### ANSWER
C"
721,관세사,무역영어,B,B,"### ANSWER
B"
2150,한약사,한약학 응용,E,E,"### ANSWER
E"
2151,한약사,한약학 응용,E,E,"### ANSWER
E"
2152,한약사,한약학 응용,A,A,"### ANSWER
A"
2153,한약사,한약학 응용,C,C,"### ANSWER
C"
2154,한약사,한약학 응용,D,D,"### ANSWER
D"
2155,한약사,한약학 응용,E,E,"### ANSWER
E"
2156,한약사,한약학 응용,E,E,"### ANSWER
E"
2157,한약사,한약학 응용,C,C,"### ANSWER
C"
4,감정평가사,민법,C,A,"### ANSWER
A"
5,감정평가사,민법,C,C,"판례에 따르면 민법 제60조상 법인 대표권 제한은 등기하지 않으면 제3자의 선의·악의를 불문하고 대항할 수 없습니다. 상법상 회사의 경우와 달리, 민법상 법인의 대표권 제한에 대해서는 상대방의 악의 여부와 무관하게 등기하지 않은 이상 대항력이 인정되지 않습니다. 따라서 乙이 정관상 제한사실을 알았더라도 등기하지 않은 A는 이를 근거로 乙에게 대항할 수 없으므로, C는 옳지 않은 설명입니다.

### ANSWER
C"
6,감정평가사,민법,B,B,"### ANSWER
B"
7,감정평가사,민법,B,B,"### ANSWER
B"
2158,한약사,한약학 응용,E,E,"### ANSWER
E"
2159,한약사,한약학 응용,C,C,"### ANSWER
C"
2160,한약사,한약학 응용,D,D,"### ANSWER
D"
2161,한약사,한약학 응용,B,B,"### ANSWER
B"
2162,한약사,한약학 응용,D,D,"### ANSWER
D"
2163,한약사,한약학 응용,A,A,"### ANSWER
A"
2164,한약사,한약학 응용,A,A,"### ANSWER
A"
2165,한약사,한약학 응용,D,D,"### ANSWER
D"
8,감정평가사,민법,D,D,"불공정한 법률행위는 절대적 무효로서 추인에 의해 유효로 될 수 없으며, 법정추인은 취소할 수 있는 행위에 적용되는 제도이므로 무효인 불공정한 법률행위에는 적용되지 않는다. 따라서 D는 옳지 않은 설명이다.

### ANSWER
D"
9,감정평가사,민법,E,E,"### ANSWER
E"
10,감정평가사,민법,E,E,"### ANSWER
E"
11,감정평가사,민법,D,D,"### ANSWER
D"
722,관세사,무역영어,B,B,"### ANSWER
B"
723,관세사,내국소비세법,C,C,"### ANSWER
C"
724,관세사,내국소비세법,D,D,"### ANSWER
D"
725,관세사,내국소비세법,B,B,"간이과세자 및 신규사업자 규정을 검토하면, ㄱ은 사업개시일 전 등록신청 시 신청일부터 과세기간이 시작되므로 틀리고, ㄷ은 간이과세 포기 시 포기신고일이 속한 달의 말일까지가 간이과세 과세기간이므로 6월 30일이 아니라 4월 30일이 되어 틀립니다. ㄴ은 폐업일까지가 최종 과세기간이라는 규정에 부합하여 옳습니다.

### ANSWER
B"
2166,한약사,한약학 응용,C,C,"### ANSWER
C"
2167,한약사,한약학 응용,A,A,"### ANSWER
A"
2168,한약사,한약학 응용,D,D,"### ANSWER
D"
2169,한약사,한약학 응용,C,C,"### ANSWER
C"
2170,한약사,한약학 응용,E,E,"### ANSWER
E"
2171,한약사,한약학 응용,E,D,"### ANSWER
D"
2172,한약사,한약학 응용,B,B,"### ANSWER
B"
2173,한약사,한약학 응용,A,B,"### ANSWER
B"
12,감정평가사,민법,D,D,"### ANSWER
D"
13,감정평가사,민법,E,E,"### ANSWER
E"
14,감정평가사,민법,B,B,"### ANSWER
B"
15,감정평가사,민법,A,A,"### ANSWER
A"
726,관세사,내국소비세법,C,C,"### ANSWER
C"
727,관세사,내국소비세법,A,A,"### ANSWER
A"
728,관세사,내국소비세법,D,E,"### ANSWER
E"
729,관세사,내국소비세법,D,D,"### ANSWER
D"
2174,한약사,한약학 응용,A,A,"### ANSWER
A"
2175,한약사,한약학 응용,D,D,"### ANSWER
D"
2176,한약사,한약학 응용,D,D,"### ANSWER
D"
2177,한약사,한약학 응용,A,A,"### ANSWER
A"
2178,한약사,한약학 응용,C,C,"### ANSWER
C"
2179,한약사,한약학 응용,A,A,"### ANSWER
A"
2180,한약사,한약학 응용,B,B,"### ANSWER
B"
2181,한약사,한약학 응용,B,B,"### ANSWER
B"
2182,한약사,한약학 응용,B,B,"### ANSWER
B"
2183,한약사,한약학 응용,C,D,"### ANSWER
D"
2184,한약사,한약학 응용,C,C,"### ANSWER
C"
2185,한약사,한약학 응용,D,D,"### ANSWER
D"
2186,한약사,한약학 응용,A,A,"### ANSWER
A"
2187,한약사,한약학 응용,E,E,"### ANSWER
E"
