category,answer,pred,response
maritime_engineering,B,D,D
maritime_engineering,A,A,A
maritime_engineering,D,D,D
maritime_engineering,A,D,D
maritime_engineering,D,B,B
maritime_engineering,D,C,C
maritime_engineering,A,A,A
maritime_engineering,C,B,B
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,A,C,C
maritime_engineering,C,B,B
maritime_engineering,C,C,C
maritime_engineering,A,B,B
maritime_engineering,A,A,A
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,D,C,C
maritime_engineering,D,B,B
maritime_engineering,A,D,D
maritime_engineering,D,A,A
maritime_engineering,A,D,D
maritime_engineering,D,D,D
maritime_engineering,A,C,C
maritime_engineering,D,C,C
maritime_engineering,B,D,D
maritime_engineering,D,B,B
maritime_engineering,A,A,A
maritime_engineering,C,B,B
maritime_engineering,C,C,C
maritime_engineering,A,C,C
maritime_engineering,B,D,D
maritime_engineering,D,C,C
maritime_engineering,A,A,A
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,A,D,D
maritime_engineering,A,B,B
maritime_engineering,B,C,C
maritime_engineering,D,B,B
maritime_engineering,B,D,D
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,B,D,D
maritime_engineering,B,C,C
maritime_engineering,B,C,C
maritime_engineering,A,A,A
maritime_engineering,A,A,A
maritime_engineering,A,C,C
maritime_engineering,C,D,D
maritime_engineering,B,C,C
maritime_engineering,C,C,C
maritime_engineering,A,D,D
maritime_engineering,B,A,A
maritime_engineering,D,A,A
maritime_engineering,B,B,B
maritime_engineering,D,B,B
maritime_engineering,C,B,B
maritime_engineering,A,A,A
maritime_engineering,B,D,D
maritime_engineering,B,B,B
maritime_engineering,A,B,B
maritime_engineering,C,D,D
maritime_engineering,B,B,B
maritime_engineering,A,D,D
maritime_engineering,A,A,A
maritime_engineering,A,A,A
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,A,A,A
maritime_engineering,B,B,B
maritime_engineering,D,B,B
maritime_engineering,A,D,D
maritime_engineering,B,B,B
maritime_engineering,A,D,D
maritime_engineering,B,C,C
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,D,B,B
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,B,C,C
maritime_engineering,B,B,B
maritime_engineering,A,B,B
maritime_engineering,D,A,A
maritime_engineering,A,A,A
maritime_engineering,A,C,C
maritime_engineering,B,B,B
maritime_engineering,A,B,B
maritime_engineering,C,A,A
maritime_engineering,D,B,B
maritime_engineering,C,C,C
maritime_engineering,A,A,A
maritime_engineering,C,B,B
maritime_engineering,B,B,B
maritime_engineering,B,C,C
maritime_engineering,A,D,D
maritime_engineering,C,C,C
maritime_engineering,A,A,A
maritime_engineering,D,C,C
materials_engineering,C,C,C
materials_engineering,C,A,A
materials_engineering,B,B,B
materials_engineering,C,B,B
materials_engineering,A,D,D
materials_engineering,B,A,A
materials_engineering,B,B,B
materials_engineering,A,A,A
materials_engineering,C,C,C
materials_engineering,C,C,"이 문제는 철-탄소 상태도에서 레버 규칙(Lever Rule)을 사용하여 상평형 계산하는 문제입니다.

주어진 조건:
- 탄소강: 0.2% C
- 공석점: 0.80% C
- α의 고용한도: 0.025% C
- 상온에서 α(초석 페라이트)와 P(펄라이트) 혼합

레버 규칙 적용:
- α의 탄소 함량: 0.025% C
- 펄라이트의 탄소 함량: 0.80% C (공석 조성)
- 합금의 탄소 함량: 0.2% C

α의 무게 분율:
$$W_α = \frac{0.80 - 0.2}{0.80 - 0.025} = \frac{0.60}{0.775} = \frac{60}{77.5} ≈ 77.4\%$$

P의 무게 분율:
$$W_P = \frac{0.2 - 0.025}{0.80 - 0.025} = \frac{0.175}{0.775} = \frac{17.5}{77.5} ≈ 22.6\%$$

따라서 α ≈ 77%, P ≈ 23%

C"
materials_engineering,D,A,A
materials_engineering,B,B,B
materials_engineering,B,D,D
materials_engineering,D,D,D
materials_engineering,D,D,"주어진 조건:
- 직경 d = 20mm = 0.02m
- 인장하중 F = 39kN = 39,000N
- 탄성계수 E = 100GPa = 100×10⁹Pa
- 포아송비 μ = 0.3

**1단계: 응력 계산**
단면적 A = π(d/2)² = π(0.01)² = π×10⁻⁴ m²

응력 σ = F/A = 39,000/(π×10⁻⁴) = 39,000/(3.14159×10⁻⁴) ≈ 124.1×10⁶ Pa

**2단계: 축 방향 변형률 계산**
ε = σ/E = 124.1×10⁶/(100×10⁹) = 1.241×10⁻³

**3단계: 체적 변형률 계산**
체적 변형률 εᵥ = ε(1-2μ)
εᵥ = 1.241×10⁻³ × (1-2×0.3)
εᵥ = 1.241×10⁻³ × (1-0.6)
εᵥ = 1.241×10⁻³ × 0.4
εᵥ = 0.496×10⁻³ ≈ 0.0005

더 정확히 계산하면:
σ = 39,000/(π×10⁻⁴) ≈ 124.1×10⁶ Pa
ε = 124.1×10⁶/100×10⁹ ≈ 0.001241
εᵥ = 0.001241 × 0.4 ≈ 0.000496 ≈ 0.0005

가장 가까"
materials_engineering,C,C,C
materials_engineering,A,D,D
materials_engineering,B,A,A
materials_engineering,B,A,A
materials_engineering,A,C,C
materials_engineering,B,B,B
materials_engineering,B,B,B
materials_engineering,D,B,B
materials_engineering,C,B,B
materials_engineering,D,C,C
materials_engineering,A,C,C
materials_engineering,B,B,"Fe₃C에서 C의 원자비를 계산합니다.

Fe₃C의 전체 원자 개수 = 3 + 1 = 4개

C의 원자 개수 = 1개

C의 원자비(%) = (1/4) × 100 = 25%

B"
materials_engineering,D,B,B
materials_engineering,B,B,B
materials_engineering,D,C,C
materials_engineering,D,D,D
materials_engineering,B,D,D
materials_engineering,A,A,A
materials_engineering,D,D,D
materials_engineering,B,A,A
materials_engineering,C,D,D
materials_engineering,B,B,B
materials_engineering,C,B,B
materials_engineering,B,D,D
materials_engineering,D,C,C
materials_engineering,A,A,A
materials_engineering,B,B,B
materials_engineering,B,C,C
materials_engineering,D,B,B
materials_engineering,A,A,A
materials_engineering,A,A,A
materials_engineering,C,C,C
materials_engineering,B,D,D
materials_engineering,A,A,"주어진 정보:
- 벨트 두께: t = 8mm = 0.008m
- 회전속도: N = 1200rpm
- 풀리 지름: d = 400mm = 0.4m
- 가죽의 비중량: γ = 9810 N/m³

**풀이:**

1) 벨트의 선속도:
   v = πdN/60 = π × 0.4 × 1200/60 = 8π m/s ≈ 25.13 m/s

2) 원심력에 의한 인장응력:
   σ = γv²/g
   
   여기서 g = 9.81 m/s²

3) 계산:
   σ = (9810 × (25.13)²)/9.81
   σ = (9810 × 631.5)/9.81
   σ = 9810 × 64.4
   σ ≈ 632,000 Pa = 632 kPa

A"
