category,answer,pred,response
accounting,B,C,"C: 25 60

설명:"
accounting,A,C,"C: ￦ 585,000"
accounting,A,D,D
accounting,B,B,B: 개별 판매가
accounting,B,D,D
accounting,D,B,B
accounting,A,B,"B: ￦340,000"
accounting,A,D,D: 20× 3년 말 해
accounting,A,B,B: 정부가 부과하는 방식의
accounting,B,D,D: 자산은 과소계상되
accounting,A,D,"D: ￦1,000 과소"
accounting,D,D,D: 금융자산 평가
accounting,A,C,"C: ￦ 12,200"
accounting,B,D,D
accounting,D,C,C
accounting,B,C,"C: ￦ 25,000"
accounting,D,B,B: 당기손실
accounting,C,B,B: 비용의 성격별
accounting,B,A,A: 평가이익 ￦
accounting,A,D,D
accounting,D,D,D: 20× 1년 말 인식
accounting,D,D,D
accounting,D,B,B
accounting,C,B,"B: ￦40,000"
accounting,A,B,"B: ￦1, 932,100"
accounting,C,B,B: 감가상각 누
accounting,A,D,D: 현금과 부족￦
accounting,C,C,"C

정답은 C로, 이는"
accounting,C,D,D
accounting,A,D,D
accounting,A,A,A
accounting,D,B,B: (차) 선급보험
accounting,B,D,D: 당기순이익 과
accounting,D,D,D
accounting,D,D,"D: ￦55,000

공정"
accounting,C,B,B: 건물
accounting,D,B,"B: ￦30,000\n\n"
accounting,C,B,B: 비교가능성은 근
accounting,B,B,"B: ￦475,000"
accounting,D,C,C
accounting,C,B,"B: 510,000원"
accounting,B,D,D
accounting,D,B,B
accounting,B,C,C
accounting,A,C,"C: ₩1,250,000"
accounting,D,D,D
agricultural_sciences,B,D,D
agricultural_sciences,A,B,B: 거래단위
agricultural_sciences,C,C,C
agricultural_sciences,C,D,D
agricultural_sciences,D,B,B: 35%/day
agricultural_sciences,B,B,B: 방습포장 종자가
agricultural_sciences,B,D,D
agricultural_sciences,A,B,B: 0.01%
agricultural_sciences,B,B,B
agricultural_sciences,C,D,D
agricultural_sciences,D,D,D
agricultural_sciences,A,C,C
agricultural_sciences,D,B,B: 약 1/400
agricultural_sciences,C,B,B: 원칙적으로 5
agricultural_sciences,B,C,C
agricultural_sciences,D,B,B: 30
agricultural_sciences,C,D,D
agricultural_sciences,C,D,D
agricultural_sciences,D,D,D: 0~4℃ 냉암
agricultural_sciences,B,C,C
agricultural_sciences,C,C,C
agricultural_sciences,D,D,D: 21
agricultural_sciences,D,C,C: 80%
agricultural_sciences,D,B,B
agricultural_sciences,D,D,D
agricultural_sciences,D,C,"C: 종피: 2n, 배"
agricultural_sciences,B,D,D
agricultural_sciences,D,D,D
agricultural_sciences,A,C,C
agricultural_sciences,C,D,D
agricultural_sciences,C,D,D
agricultural_sciences,B,D,D
agricultural_sciences,A,D,D
agricultural_sciences,B,D,D
agricultural_sciences,B,D,D
agricultural_sciences,C,D,D
agricultural_sciences,D,D,D
agricultural_sciences,A,D,D
agricultural_sciences,D,C,C
agricultural_sciences,B,D,D
agricultural_sciences,B,B,B: 글라신(근사미)
agricultural_sciences,A,C,C
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B: MEP 실험법
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,C,B,B
agricultural_sciences,D,D,D
agricultural_sciences,B,D,D
agricultural_sciences,D,D,D
agricultural_sciences,B,D,D
agricultural_sciences,A,A,A
agricultural_sciences,D,C,C: 3년 이하의 징역
agricultural_sciences,A,C,C
agricultural_sciences,D,D,D: 정밀도는 측정
agricultural_sciences,A,C,C
agricultural_sciences,B,D,D
agricultural_sciences,B,D,D: 50만원 이하
agricultural_sciences,C,C,C
agricultural_sciences,C,B,B
agricultural_sciences,C,B,B: 채취한 시료를
agricultural_sciences,C,D,D
agricultural_sciences,A,D,D: 탈크(talc)
agricultural_sciences,D,C,C
agricultural_sciences,D,B,B: 25
agricultural_sciences,B,B,B
agricultural_sciences,D,B,B: 2.7 × 10^4 kg
agricultural_sciences,B,D,D
agricultural_sciences,B,C,C
agricultural_sciences,B,A,A
agricultural_sciences,D,C,C: 3시간
agricultural_sciences,D,C,C
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B: 약 10 시간
agricultural_sciences,B,B,"B: 39,900cc"
agricultural_sciences,B,B,B: 수리전도도
agricultural_sciences,B,D,D
agricultural_sciences,A,D,D
agricultural_sciences,B,C,C
agricultural_sciences,A,D,D
agricultural_sciences,D,B,B: 160
agricultural_sciences,A,D,D
agricultural_sciences,B,C,C
agricultural_sciences,A,D,D
agricultural_sciences,D,C,C
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B: 60일
agricultural_sciences,C,D,D: 62.5
agricultural_sciences,C,D,D
agricultural_sciences,C,B,B
agricultural_sciences,B,D,D
agricultural_sciences,B,C,C
agricultural_sciences,C,D,D
agricultural_sciences,B,C,C
agricultural_sciences,C,B,B
agricultural_sciences,A,B,B: 상 추
agricultural_sciences,B,B,B
agricultural_sciences,D,C,C: 10
agricultural_sciences,A,D,D
aviation_engineering_and_maintenance,C,B,B: 18.7
aviation_engineering_and_maintenance,D,D,D: 12000rpm
aviation_engineering_and_maintenance,C,C,C: 0.1
aviation_engineering_and_maintenance,D,A,A
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,D,C,C: 물 발열량
aviation_engineering_and_maintenance,C,B,B: 240
aviation_engineering_and_maintenance,C,A,A
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,A,D,D: B급 화재
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,A,B,B
aviation_engineering_and_maintenance,D,C,C: 0.58
aviation_engineering_and_maintenance,B,C,C: 익단 속도를 음
aviation_engineering_and_maintenance,B,C,C
aviation_engineering_and_maintenance,D,D,D: 13
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,A,A
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,A,A: 68.8
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,A,A
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,C,"C: Dp = 70㎏f,D ="
aviation_engineering_and_maintenance,B,B,B: A = b^2/S
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,A,B,B: 70.2
aviation_engineering_and_maintenance,D,B,B: 16.90
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,D,C,C: 0.0065
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,B,B,B: 5196
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,C,C
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,B,A,A: 2239.5
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,C,C: 118°
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,A,D,D: 필요마력이 증
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,A,B,B: 8
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,A,A: 무게
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,B,A,A
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,A,A
aviation_engineering_and_maintenance,B,B,B: 0.41
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,D,D,D: 9333 HP
aviation_engineering_and_maintenance,B,A,A
aviation_engineering_and_maintenance,B,A,A
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,B,B: 추진효율= 0
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,A,A: 0.080 인치
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,A,A
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,A,B,B: 5/16 inch이하
aviation_engineering_and_maintenance,A,D,D: 8
aviation_engineering_and_maintenance,D,D,D: 80
aviation_engineering_and_maintenance,C,C,C
aviation_engineering_and_maintenance,D,A,A
aviation_engineering_and_maintenance,D,C,C
biology,B,D,D
biology,D,B,B
biology,B,D,D
biology,A,D,D
biology,C,B,B: 200mesh
biology,A,D,D
biology,B,A,A
biology,B,B,B
biology,B,D,D
biology,C,D,D
biology,D,B,B
biology,A,B,B
biology,C,D,D
biology,D,D,D
biology,A,D,D
biology,C,D,D
biology,C,B,B
biology,A,C,C
biology,D,A,A
biology,A,D,D
