question_idx,source,category,question_type,question,checklist,response
0,kin,게임,original,어린용 저 3마리 말고 더 있나요?,"[""1. 해당 답변은 맵 주변에 어린용 둥지가 더 있다고 안내하나요?"", ""2. 해당 답변은 둥지로 돌아가는 어린용을 찾는 방법을 설명하나요?"", ""3. 해당 답변은 모든 둥지를 채워야 한다고 언급하나요?"", ""4. 해당 답변은 츄츄족에게 쫓기는, 기믹과 노는, 몬스터에게 잡혀있는 어린용 등 다양한 위치 유형을 소개하나요?"", ""5. 해당 답변은 모든 어린용을 찾으면 이벤트(문)가 열리는 보상 조건을 안내하나요?""]","네, 어린용 3마리 말고 더 있습니다. 왼쪽 상단에 어린용 한 마리가 더 있습니다."
6,kin,게임,original,"스타듀벨리 돼지너구리? 다람쥐? 아이템 알려주세요
이 돼지너구리가 원하는게 어떤 아이템인가요? 이산한 끈 같이 생겼는데","[""1. 이 NPC가 돼지너구리가 아니라 곰이라는 점을 명확하게 언급했나요?"", ""2. 이 곰이 원하는 아이템이 낚시용 애벌레(또는 미끼)임을 정확히 제시했나요?"", ""3. 원하는 아이템을 모두 주면 특별 이벤트가 발생한다는 사실을 안내했나요?""]","돼지너구리가 원하는 아이템은 이산한 끈입니다. 이산한 끈은 돼지너구리가 좋아하는 아이템 중 하나로, 게임 내에서 특정 지역에서 채취하거나 다른 방법으로 얻을 수 있습니다. 이산한 끈은 돼지너구리와 교역하여 다른 아이템을 얻거나, 특정 퀘스트를 완료하는 데 필요할 수 있습니다. 게임 내에서 돼지너구리와 교역하는 방법을 확인하고, 이산한 끈을 얻어 돼지너구리와 교역해 보세요."
7,kin,게임,original,이거 게임 이름이먼가요?스샷첨부했음,"[""1. 해당 답변에 게임 이름이 정확히 '땡크 굿니스 유어 히어!' 라고 제시되었나요?"", ""2. PC, 스위치, 플스 등에서 즐길 수 있는 플랫폼 정보가 제공되었나요?""]","죄송합니다. 제공된 이미지에 게임 이름이 명시되어 있지 않습니다. 그러나 이미지에는 다양한 상품이 진열되어 있는 것으로 보이며, 그 중에는 ""TONY'S EATING MERCURY""라고 적힌 상자가 있습니다. 이것은 게임의 특정 요소나 아이템일 수 있습니다. 게임의 정확한 이름을 알기 위해서는 추가 정보나 컨텍스트가 필요합니다. 게임의 출처나 관련 정보를 제공하면 더 정확한 답변을 드릴 수 있습니다."
13,kin,생활/일상,original,조경 단면도에 이 해치는 뭘 나타내는건가요?,"[""1. 해당 답변은 해치를 잡석다짐(돌·자갈 깔기)으로 정확히 명시하고 있나요?"", ""2. 해당 답변은 잡석다짐의 목적이 땅의 꺼짐 방지 및 지내력 강화임을 설명하나요?"", ""3. 해당 답변은 잡석다짐이 지반 맨 밑에 깔아지는 공법임을 언급하나요?"", ""4. 해당 답변은 실제 현장에서 사용하는 재료가 약간 큰 돌이나 자갈임을 포함하고 있나요?""]","이 해치는 일반적으로 조경 단면도에서 특정 재료나 표면을 나타내는 데 사용됩니다. 해치 패턴은 일반적으로 특정 재질, 예를 들어 잔디, 자갈, 나무 등을 나타내기 위해 사용됩니다. 해치 패턴의 종류와 방향은 그 재질을 구별하는 데 도움이 됩니다. 예를 들어, 잔디는 일반적으로 작은 점이나 줄무늬로 표시되는 반면, 자갈은 더 큰 점이나 줄무늬로 표시될 수 있습니다. 해치 패턴의 방향은 또한 재질의 방향을 나타낼 수 있습니다. 예를 들어, 잔디는 일반적으로 수평으로 표시되는 반면, 나무 껍질은 종종 수직으로 표시됩니다. 해치 패턴의 종류와 방향은 조경 단면도의 특정 요구 사항과 설계 기준에 따라 달라질 수 있습니다."
15,kin,기계,original,"이 도구의 이름이 뭔가요?
건설 현장에서 사용하는 건데 이 도구의 이름이 뭔가요? 무슨 흙 안에 넣은 물을 다짐할 때 사용한다고 들었던 것 같아요.","[""1. 답변에 'T형 다짐봉' 또는 'T바 다짐봉'이라는 명칭이 포함되었나요?"", ""2. 이 도구를 흙이나 콘크리트를 다질 때 사용한다고 설명했나요?"", ""3. 틈새나 구석진 곳에서 수작업으로 다짐하는 용도라고 언급했나요?"", ""4. 물과 섞인 흙을 다져 밀도를 높이는 기능을 설명했나요?""]","그 도구는 다짐기(rammer)라고 합니다. 건설 현장에서 흙을 다짐할 때 사용하는 도구입니다. 다짐기는 흙을 압축하여 밀도를 높이고 안정성을 향상시키는 데 사용됩니다. 다짐기는 다양한 크기와 무게로 제작되며, 작업 효율성을 높이기 위해 전동화되거나 수동으로 사용될 수 있습니다. 다짐기는 흙을 압축하여 밀도를 높이고 안정성을 향상시키는 데 사용됩니다. 다짐기는 다양한 크기와 무게로 제작되며, 작업 효율성을 높이기 위해 전동화되거나 수동으로 사용될 수 있습니다."
17,kin,과학,original,"A가 양성자, B가 헬륨 원자핵, C가 중성자인데 잘 이해가 안됩니다. 중성자의 질량비가 왜 감소하는 건가요? 중성자가 헬륨원자핵이 돼서 그런 건가요? 그래도 중성자가 사라진게 아니라 그냥 양성자와 함께 헬륨 원자핵을 이루게 된 거 아닌가요.. 질량비가 감소한다는 것이 이해가 안되는데 설명 부탁드려요..","[""1. 해당 답변은 중성자의 베타 붕괴 과정을 설명하나요?"", ""2. 해당 답변은 헬륨 핵 내 중성자는 C가 아닌 B에 포함된다는 점을 명확히 설명하나요?"", ""3. 해당 답변은 우주의 냉각 과정과 x축(시간 흐름)의 연관성을 명확히 제시하나요?"", ""4. 해당 답변은 수소와 헬륨의 질량비(3:1)를 근거로 그래프를 올바르게 해석하나요?""]","중성자의 질량비가 감소하는 이유는 중성자가 헬륨 원자핵을 형성하기 때문입니다. 중성자는 질량이 양성자와 거의 같지만, 헬륨 원자핵을 형성할 때 양성자와 결합하여 헬륨 원자핵을 구성하게 됩니다. 따라서 중성자의 질량비는 감소하게 되고, 헬륨 원자핵의 질량비는 증가하게 됩니다. 즉, 중성자가 헬륨 원자핵을 형성하면서 중성자의 질량비는 감소하고, 헬륨 원자핵의 질량비는 증가하게 되는 것입니다."
18,kin,수학,original,"전기산업기사 4단자 정수
다음 문제에서 B가 왜 '1'이 되는지 궁금합니다","[""1. 답변에 행렬 곱셈에서 B 성분(1행 2열)을 얻기 위해 첫 번째 행과 두 번째 열 원소를 곱하고 합산해야 한다는 개념이 포함되어 있나요?"", ""2. 답변에 B 값을 구하는 식 1×0 + 10×(1/10)을 명확히 제시하고 있나요?"", ""3. 행렬 곱셈 원리(같은 행과 같은 열 성분을 곱한 뒤 합산)의 설명이 포함되어 있나요?"", ""4. 최종적으로 B 값이 1이라는 결론을 명확히 밝혔나요?""]","문제에서 주어진 정보를 바탕으로 분석해 보겠습니다.

문제에서 제시된 회로는 다음과 같습니다:

- 전기 소자 A는 10 옴의 저항을 가지고 있습니다.
- 전기 소자 B는 1 옴의 저항을 가지고 있습니다.
- 전기 소자 C는 0 옴의 저항을 가지고 있습니다.
- 전기 소자 D는 1/10 옴의 저항을 가지고 있습니다.

이 회로는 4단자 정수 회로로, 각 단자의 전압을 측정하여 전기 소자의 저항을 구하는 방법입니다. 4단자 정수 회로에서는 전류 소자의 저항을 구하기 위해 다음 식을 사용합니다:

\[ R = \frac{E_1 - E_2}{I} \]

여기서 \( E_1 \)과 \( E_2 \)는 각각 첫 번째와 두 번째 단자 사이의 전압이며, \( I \)는 전류 소자를 통과하는 전류입니다.

문제에서 제시된 회로는 다음과 같이 구성되어 있습니다:

- 전기 소자 A는 10 옴의 저항을 가지고 있습니다.
- 전기 소자 B는 1 옴의 저항을 가지고 있습니다.
- 전기 소자 C는 0 옴의 저항을 가지고 있습니다.
- 전기 소자 D는 1/10 옴의 저항을 가지고 있습니다.

이 회로에서 각 전기 소자의 저항을 구하기 위해 다음 식을 사용합니다:

\[ R_A = \frac{E_1 - E_2}{I} \]
\[ R_B = \frac{E_2 - E_3}{I} \]
\[ R_C = \frac{E_3 - E_4}{I} \]
\[ R_D = \frac{E_4 - E_1}{I} \]

이 식을 통해 각 전기 소자의 저항을 구할 수 있습니다. 문제에서 제시된 회로의 저항 값은 다음과 같습니다:

- \( R_A = 10 \) 옴
- \( R_B = 1 \) 옴
- \( R_C = 0 \) 옴
- \( R_D = \frac{1}{10} \) 옴

따라서, 문제에서 B가 1 옴이 되는 이유는 전기 소자 B의 저항이 1 옴이기 때문입니다."
19,kin,쇼핑/소비,original,이런 제품과 같은 통을 뭐라고 하고 어디서 구하는지 아시는 분 있을까요?,"[""1. 해당 답변에서 이 제품 명칭(보조스풀 케이스, 스풀통)을 정확히 제시했나요?"", ""2. 해당 답변에서 제품을 구입할 수 있는 구체적인 판매처(예: 쿠팡, 다이소, 온라인 낚시용품점 등)를 제시했나요?"", ""3. 해당 답변에서 이 제품의 용도가 낚시 보조스풀 보관, 필름 스풀 보관 용임을 설명했나요?""]","이 제품은 일반적으로 펜 또는 펜질 케이스라고 불리며, 펜이나 펜질을 보호하고 정리하는 데 사용됩니다. 이러한 케이스는 다양한 소매점, 문구점, 온라인 쇼핑몰 등에서 구입할 수 있습니다. 특히 학교 용품 매장이나 문구 전문점에서 다양한 디자인과 색상의 펜 케이스를 찾을 수 있습니다. 또한 온라인 플랫폼에서도 다양한 브랜드와 스타일의 펜 케이스를 확인하고 구매할 수 있습니다."
22,kin,생활/일상,original,"이 한자의 뜻과 음을 가르쳐주세요
캡쳐한거라서 사진상태가 안좋습니다","[""1. 해당 한자의 기본 정보로, 음은 '야', 훈은 '이끌 야', 부수는 '心(마음 심)', 총획수는 '13획'임을 명확하게 제시했나요?"", ""2. 해당 답변은 한자의 주요 의미(이끌다, 끌어당기다)를 정확히 설명했나요?"", ""3. 해당 답변은 부수적 의미(흐트러지다, 비방할 약)를 포함하여 설명했나요?""]","이 한자는 ""춘""이라고 읽습니다. 뜻은 봄, 새로운 시작, 새싹 등을 의미합니다."
25,kin,과학,original,"고1 통합과학1 물리 등가속도운동 질문
문제랑 답지입니다.. ㄱ은 이해가 됐는데 ㄴ이랑 ㄷ이 도저히 이해가 안되네요 설명 깔끔하게 해주세요ㅜㅜ","[""1. 해당 답변은 중력 가속도를 10m/s², t를 1초로 가정하여 수치적으로 계산했나요?"", ""2. t, 2t, 3t에서 물체의 낙하 거리를 각각 5m, 20m, 45m로 올바르게 계산했나요?"", ""3. 계산 결과를 토대로 t 시점에서 물체의 위치가 P점 위, 2t 시점에서 P점과 Q점 사이임을 비교했나요?"", ""4. 이를 근거로 ㄴ은 옳지 않고, ㄷ은 옳다는 결론을 제시했나요?""]","문제를 잘 보았습니다. 등가속도 운동에 대한 문제인데요, 문제의 내용을 잘 이해하고 해결하는 방법을 알려드리겠습니다.

문제의 내용을 요약하면 다음과 같습니다.

1. 공기 저항을 무시하고 물체가 자유낙하 운동을 하는 경우, 물체의 속도는 시간에 따라 일정한 비율로 증가합니다.
2. 물체가 자유낙하 운동을 하는 동안 특정 시간 간격으로 속도를 측정했습니다.
3. 측정된 속도는 1:2:3의 비율을 따릅니다.
4. 물체가 자유낙하 운동을 하는 동안 특정 시간 간격으로 높이를 측정했습니다.
5. 측정된 높이는 1:4:9의 비율을 따릅니다.

이제 문제의 각 부분에 대해 설명하겠습니다.

(1) 문제에서 주어진 속도 비율 1:2:3은 시간 간격 1t, 2t, 3t에 대응합니다. 속도는 시간에 따라 일정한 비율로 증가하므로, 속도는 시간의 제곱에 비례합니다. 즉, 속도 v는 시간 t에 대해 v = kt^2의 형태를 가집니다. 여기서 k는 비례 상수입니다.

(2) 문제에서 주어진 높이 비율 1:4:9은 시간 간격 1t, 2t, 3t에 대응합니다. 높이는 시간의 제곱에 비례하므로, 높이 h는 시간 t에 대해 h = kt^2의 형태를 가집니다. 여기서 k는 비례 상수입니다.

(3) 문제에서 주어진 속도 비율 1:2:3은 시간 간격 1t, 2t, 3t에 대응합니다. 속도는 시간에 따라 일정한 비율로 증가하므로, 속도는 시간의 제곱에 비례합니다. 즉, 속도 v는 시간 t에 대해 v = kt^2의 형태를 가집니다. 여기서 k는 비례 상수입니다.

(4) 문제에서 주어진 높이 비율 1:4:9은 시간 간격 1t, 2t, 3t에 대응합니다. 높이는 시간의 제곱에 비례하므로, 높이 h는 시간 t에 대해 h = kt^2의 형태를 가집니다. 여기서 k는 비례 상수입니다.

(5) 문제에서 주어진 속도 비율 1:2:3은 시간 간격 1t, 2t, 3t에 대응합니다. 속도는 시간에 따라 "
