license_name,subject,answer,pred,response
약사,임상실무약학,D,D,D
약사,임상실무약학,E,E,E
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
공인노무사,사회보험법,C,D,D
공인노무사,사회보험법,B,B,B
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,C,C,C
한약사,한약학 응용,A,A,A
한약사,한약학 응용,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,E,E,E
한약사,한약학 응용,D,D,D
한약사,한약학 응용,A,A,A
한약사,한약학 응용,B,B,B
한약사,한약학 응용,E,E,E
한의사,내과학2,B,B,B
한의사,내과학2,E,E,E
한의사,내과학2,B,B,B
한의사,내과학2,C,C,C
한의사,내과학2,A,D,D
한의사,내과학2,D,D,D
한의사,내과학2,A,C,C
한의사,내과학2,A,B,B
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,B,B,B
의사,보건의약관계법규,E,E,E
의사,보건의약관계법규,E,E,E
의사,보건의약관계법규,D,D,D
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,B,B,B
약사,임상실무약학,E,E,E
약사,임상실무약학,D,D,D
약사,임상실무약학,B,B,B
약사,임상실무약학,C,C,C
약사,임상실무약학,E,E,E
약사,임상실무약학,C,C,C
약사,임상실무약학,B,B,B
약사,임상실무약학,E,E,E
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,E,E,E
한약사,한약학 응용,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,D,D,D
한약사,한약학 응용,E,E,E
