id,trial,answer,pred,response
KIIP_economy_1,0,C,B,B: 2000년
KIIP_economy_2,0,A,A,A
KIIP_economy_3,0,C,C,C
KIIP_economy_4,0,D,D,D
KIIP_economy_5,0,C,C,C: 중화학 공업
KIIP_economy_6,0,B,B,B: 제조업과 서비스 업
KIIP_economy_7,0,B,B,"B: 28,000달러"
KIIP_economy_8,0,A,A,A
KIIP_economy_9,0,C,C,C: 경공업
KIIP_economy_10,0,C,C,"C: 반도체, 선박, 자동차, 휴대폰, 석유 제품"
KIIP_economy_11,0,D,C,C: 7번째
KIIP_economy_12,0,A,A,A
KIIP_economy_13,0,C,B,B: 기술의 발달
KIIP_economy_14,0,C,C,"C: 5,000억 달러"
KIIP_economy_15,0,D,D,D: 2011년
KIIP_economy_16,0,A,A,A
KIIP_economy_17,0,A,A,A: 반도체
KIIP_economy_18,0,C,C,C: 칠레
KIIP_economy_19,0,A,,정답: A
KIIP_economy_20,0,B,A,A
KIIP_economy_21,0,B,B,B: APEC
KIIP_economy_22,0,C,C,C: G20
KIIP_economy_23,0,C,,정답: D
KIIP_economy_24,0,B,B,B: 10개국
KIIP_economy_25,0,A,A,A
KIIP_economy_26,0,C,,정답: D: 2010년
KIIP_economy_27,0,A,A,A
KIIP_economy_28,0,D,D,D: 상호저축은행
KIIP_economy_29,0,A,A,A
KIIP_economy_30,0,A,A,A: 금융 실명제
KIIP_economy_31,0,A,A,A: 여권과 외국인등록증
KIIP_economy_32,0,A,A,A
KIIP_economy_33,0,A,A,A
KIIP_economy_34,0,A,A,A
KIIP_economy_35,0,A,A,A
KIIP_economy_36,0,C,C,C
KIIP_economy_37,0,B,B,B
KIIP_economy_38,0,A,A,A
KIIP_economy_39,0,A,A,A
KIIP_economy_40,0,C,C,C: 증권회사
KIIP_economy_41,0,C,C,C
KIIP_economy_42,0,A,B,B: 5일장
KIIP_economy_43,0,B,B,B: 부가가치세
KIIP_economy_44,0,A,A,A
KIIP_economy_45,0,A,A,A
KIIP_economy_46,0,B,B,B: 한국소비자원
KIIP_economy_47,0,A,A,A
KIIP_economy_48,0,A,A,A
KIIP_economy_49,0,A,A,A
KIIP_economy_50,0,A,A,A
KIIP_economy_51,0,B,B,B: 미국이나 유럽 등 다른 선진국에 비해 낮다
KIIP_economy_52,0,D,D,D: 취미
KIIP_economy_53,0,B,B,B
KIIP_economy_54,0,B,B,B
KIIP_economy_55,0,B,B,B
KIIP_economy_56,0,A,A,A
KIIP_economy_57,0,B,B,B: 근로계약서 작성
Kedu_economy_1,0,C,C,C
Kedu_economy_2,0,D,D,D
CSAT_geography_06_2,0,E,,"문제에서 제시된 두 섬 (가)와 (나)의 공통점을 찾아야 합니다. 

- (가)는 화산활동으로 형성된 섬이며, 천혜의 자연풍광을 간직하고 있고, 강수가 연중 고른 분포를 보인다고 합니다.
- (나)는 현무암질과 조면암질 용암이 여러 차례 분출하여 형성된 섬으로, 해발고도에 따라 식생 경관이 다양하다고 합니다.

보기를 살펴보면:
ㄱ. 주변 해역에 조경 수역이 형성된다.
ㄴ. 직선 기선이 영해 설정의 기준이 된다.
ㄷ. 독특한 형태의 전통 가옥을 볼 수 있다."
CSAT_geography_07_2,0,B,,정답: D
CSAT_geography_07_3,0,E,E,E
CSAT_geography_07_4,0,B,,"정답은 C입니다. 한라산은 순상 화산이 아니라 복합 화산입니다. 순상 화산은 경사가 완만한 특징을 가지지만, 한라산은 경사가 비교적 가파른 복합 화산의 특징을 가지고 있습니다. 따라서 C 옵션은 옳지 않은 추론입니다."
CSAT_geography_07_5,0,B,,정답: C
CSAT_geography_07_6,0,E,,"정답: C

설명: 옵션 C의 주제어 탈공업화는 도시 기반이 서비스업에서 제조업 중심으로 변화되는 과정을 의미합니다. 이 개념은 수도권의 공장 면적 변화를 조사함으로써 적절하게 뒷받침될 수 있습니다. 다른 옵션들은 주제어와 조사 내용 간의 연관성이 덜 명확하거나 개념 정의가 부정확합니다."
CSAT_geography_09_2,0,D,,"정답은 B입니다. 

ᄀ 제주도의 ᄂ은 한라산을 의미하며, 한라산은 남한에서 가장 높은 산으로, 정상부에는 큰 분지인 백록담이 있습니다. 이는 중앙 화구구를 나타내는 것으로, 옵션 B ᄂ:정상부의 분지 내에는 중앙 화구구가 나타난다.가 정확한 설명입니다."
CSAT_geography_09_3,0,B,B,B: 공업의 과도한 집중에 따른 집적의 불이익
CSAT_geography_09_4,0,D,,"문제에서 설명된 내용을 바탕으로 각 보기의 설명을 분석해보겠습니다.

ᄀ: 절벽 - ᄀ의 후퇴 과정에서 시스택이 형성되기도 한다. 이 설명은 절벽이 파식 작용으로 인해 후퇴하면서 시스택이 형성될 수 있다는 것을 의미하므로 옳은 설명입니다.

ᄂ: 계단모양의 지형 - ᄂ은 지반 융기와 해수면 변동의 영향으로 형성된다. 이 설명은 계단모양의 지형이 지반 융기나 해수면 변동으로 인해 형성될 수 있다는 것을 의미하므로 옳은 설명입니다.

ᄃ: 퇴적된 모래 - ᄃ은 주로 양식장이나 염전으로 이용된다. 이 설"
CSAT_geography_09_5,0,D,,"문제에서 제시된 (가) 지역은 큰 못이 있고, 서쪽으로 흐르는 물이 압록강이 되며, 북쪽으로 흐르는 물이 혼동강이 되는 지역을 설명하고 있습니다. 이는 백두산을 설명하는 것으로 보이며, 백두산에는 분화구가 함몰되어 생긴 천지(호수)가 있습니다. 따라서 (가)에 대한 설명으로는 ᄂ이 맞습니다.

(나) 지역은 숙종 때 삼척 영장 장한상이 함경도 안변에서 배를 띄워 동남쪽을 향해 이틀 만에 발견한 큰 산이 바다 가운데 솟아 있는 지역을 설명하고 있습니다. 이는 울릉도를 설명하는 것으로 보이"
CSAT_geography_10_2,0,A,A,A
CSAT_geography_10_3,0,B,,"문제에서 (가)는 A 암석이 지하수나 땅속으로 스며든 빗물에 의해 녹아 형성된 동굴이고, (나)는 마그마가 지표로 분출하여 흘러가는 과정에서 형성된 동굴이라고 설명하고 있습니다. 이는 각각 침식과 화산 활동에 의한 동굴 형성을 의미합니다.

ᄀ. A 암석 분포 지역에는 용식 와지가 잘 나타난다. - 이는 A 암석이 침식에 의해 잘 녹는 성질을 가지고 있음을 나타내므로 적절합니다.
ᄂ. A 암석분포 지역의 토양은 대체로 흑갈색이며, B 암석 분"
CSAT_geography_10_4,0,D,,"문제에서 제시된 자료에 따르면, 2010년 여름의 평균 기온은 평년보다 높았고, 강수량은 비슷했으나 강수 일수가 많았으며, 1시간 강수량이 30mm 이상인 날도 증가했습니다. 이 정보를 바탕으로 학생들의 대답을 분석해보면:

- 갑: 일조 시간이 증가했을 것 같다고 했는데, 이는 자료에서 언급되지 않았습니다.
- 을: 열대야 발생 일수가 증가했을 것 같다고 했는데, 평균 기온이 높았다는 정보로 미루어 볼 때 가능성이 있습니다.
- 병: 북태평양 기단의 세력이 약했"
CSAT_geography_11_2,0,D,B,B: 마그마가 냉각될 때 수축에 의해 주상 절리가 발달된다.
CSAT_geography_11_3,0,A,,"문제에서 (가)는 국제 수준의 관광 단지 조성을 위해 정부와 한국관광공사가 주도하여 큰 규모의 투자를 한 사례이고, (나)는 지역 주민이 주도하는 생태 마을 체험 축제로서, 큰 비용을 들이지 않고 지역 주민과 관광객이 함께하는 축제를 만들어 가는 사례입니다. 이를 비교할 때, (나)의 상대적 특징은 지역 주민이 개발의 주체로서 참여 정도가 높다는 점입니다. 따라서 정답은 E입니다."
CSAT_geography_12_2,0,D,,정답: D
CSAT_geography_13_2,0,A,A,A
CSAT_geography_15_2,0,B,,"선생 1의 발언에 따르면, (가) 구는 최근에 신흥 주거 지역으로 개발되어 전입생이 증가하고 학교 규모가 커진 것으로 보입니다. 이는 (가) 구가 발전하고 인구가 증가하는 지역임을 나타냅니다. 반면, 선생 2의 발언에 따르면, (나) 구는 인구 공동화 현상으로 인해 학생 수가 급격히 감소하였습니다. 이는 (나) 구가 인구가 감소하고 있는 지역임을 나타냅니다.

보기 중에서 (나) 구의 상대적 특성을 추론할 수 있는 옵션을 찾아야 합니다. (나) 구의 인구 감소는 일반적으로 주간 인구 지수가 낮고, 대기업 본사 수가"
CSAT_geography_16_2,0,A,A,A
CSAT_geography_16_3,0,D,,"문제에서 제시된 내용을 바탕으로 각 항목의 정확성을 평가해야 합니다.

(가)는 협동 노동의 필요성이 큰 벼농사 지역에 주로 분포합니다. - 이 설명은 벼농사가 집중적인 노동력을 필요로 하고, 협동 노동이 필수적인 점을 고려할 때 타당합니다. 따라서 ᄀ은 옳습니다.

(나)는 혈연 중심의 동족촌에서 전형적으로 나타납니다. - 이 설명은 혈연 관계가 중요한 동족촌에서 가옥이 서로 거리를 유지하며 흩어져 있는 형태가 나타날 수 있음을 설명하므로 ᄂ도 옳습니다.

(가)는 (나)보다 가옥과"
CSAT_geography_17_2,0,A,B,B: (다)에는 칼데라 호가 형성되어 있다.
CSAT_geography_17_3,0,C,D,D
CSAT_geography_18_2,0,C,E,E
CSAT_geography_19_2,0,A,,정답은 B입니다.
CSAT_geography_19_3,0,C,C,C: (나)의 정상부에는 분화구가 함몰되어 형성된 칼데라호가 있다.
CSAT_geography_20_2,0,D,,"문제에서 제시된 설명을 바탕으로 각 보기를 분석해보겠습니다.

ㄱ 기온역전 현상에 대한 설명은 기온의 일교차가 크고 바람이 없는 맑은 날 밤에 잘 나타난다는 것이므로, ᄀ은 올바른 설명입니다.

ㄴ 기온 역전층이 형성되면 차가운 공기가 축적되어 저온에 따른 농작물 피해가 나타난다고 했으므로, ᄂ으로 인해 안개가 자주 발생한다는 설명은 맞지 않습니다.

ㄷ 도시기후에 대한 설명에서는 포장된 지표 면적이 넓어 도시 내부의 기온이 많이 상승한다고 했으므로, ᄃ으로 인해 도시는"
CSAT_geography_21_2,0,B,,"ㄱ에 대한 설명은 영해가 주권이 미치는 수역임을 명시하고 있으므로, 갑의 댓글은 옳습니다. ㄴ에 대한 설명은 없으나, 울릉도에서 직선 기선이 적용된다는 을의 댓글은 특별한 이유가 없는 한 옳다고 볼 수 있습니다. ㄷ에 대한 설명은 일정 수역에서 영해의 범위를 따로 정할 수 있다고 하며, 대한 해협이 그 사례로 병의 댓글도 옳습니다. ㄹ에 대한 설명은 내수에 대한 것이며, 간척 사업으로 내수의 면적이 확대된다는 정의 댓글도 옳습니다.

따라서, 갑, 을, 병, 정 모두 옳은 댓글을 달"
CSAT_geography_22_2,0,D,,"자료를 바탕으로 각 학생의 답글을 분석해 보겠습니다.

(가)는 독도를 나타내며, 동해에 위치한 섬입니다.
(나)는 마라도를 나타내며, 제주도에서 남쪽으로 약 11Km 떨어진 섬입니다.
(다)는 이어도를 나타내며, 수중 암초로 해양 과학기지가 설립되었습니다.
(라)는 울릉도를 나타내며, 주요 관광지로 해안 경관이 뛰어난 두무진이 있습니다.

갑의 답글: (나)는 마라도로, 국토 최남단에 위치하므로 가장 저위도에 위치한 것이 맞습니다.
을의 답글: (다)는 이어도로, 천연 보호 구역으로 지정된 정보"
CSAT_geography_22_3,0,C,C,C
CSAT_geography_22_4,0,C,C,C
KIIP_geography_1,0,C,C,C
KIIP_geography_2,0,B,C,C
KIIP_geography_3,0,B,B,B
KIIP_geography_4,0,D,D,D
KIIP_geography_5,0,C,C,C
