category,answer,pred,response
accounting,B,A,A: 25 60
accounting,A,B,B
accounting,A,A,A
accounting,B,A,A
accounting,B,C,C
accounting,D,A,A
accounting,A,B,B
accounting,A,B,B
accounting,A,C,C
accounting,B,D,D
accounting,A,C,C
accounting,D,A,A
accounting,A,C,C
accounting,B,D,D
accounting,D,C,C
accounting,B,D,D
accounting,D,A,A
accounting,C,B,B
accounting,B,A,A
accounting,A,A,A
accounting,D,D,D
accounting,D,C,C
accounting,D,A,A
accounting,C,C,C
accounting,A,B,"B: ￦1,932,100"
accounting,C,C,C
accounting,A,B,B
accounting,C,A,A
accounting,C,A,A
accounting,A,D,D
accounting,A,B,B
accounting,D,B,B
accounting,B,C,C
accounting,D,A,A
accounting,D,C,C
accounting,C,B,B
accounting,D,C,C
accounting,C,B,B
accounting,B,C,"C

(주)상 공이 포"
accounting,D,A,A
accounting,C,D,D
accounting,B,A,A
accounting,D,C,C
accounting,B,C,C
accounting,A,C,C
accounting,D,A,A
agricultural_sciences,B,D,D
agricultural_sciences,A,B,B
agricultural_sciences,C,B,B
agricultural_sciences,C,A,A
agricultural_sciences,D,C,C: 45%/day
agricultural_sciences,B,B,B
agricultural_sciences,B,A,A
agricultural_sciences,A,D,D
agricultural_sciences,B,A,A
agricultural_sciences,C,C,C
agricultural_sciences,D,D,D
agricultural_sciences,A,D,D
agricultural_sciences,D,D,D
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,C,B,B
agricultural_sciences,C,C,C
agricultural_sciences,D,B,B
agricultural_sciences,B,A,A
agricultural_sciences,C,C,C
agricultural_sciences,D,D,D
agricultural_sciences,D,B,B
agricultural_sciences,D,C,C
agricultural_sciences,D,A,A
agricultural_sciences,D,B,B
agricultural_sciences,B,A,A
agricultural_sciences,D,A,A
agricultural_sciences,A,D,D
agricultural_sciences,C,B,B
agricultural_sciences,C,A,A
agricultural_sciences,B,B,B
agricultural_sciences,A,C,C
agricultural_sciences,B,A,A
agricultural_sciences,B,B,B
agricultural_sciences,C,A,A
agricultural_sciences,D,C,C
agricultural_sciences,A,B,B
agricultural_sciences,D,B,B
agricultural_sciences,B,B,B
agricultural_sciences,B,A,A
agricultural_sciences,A,B,B
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B
agricultural_sciences,C,A,A
agricultural_sciences,B,B,B
agricultural_sciences,D,C,C
agricultural_sciences,C,B,B
agricultural_sciences,D,B,B
agricultural_sciences,B,A,A
agricultural_sciences,D,A,A
agricultural_sciences,B,B,B
agricultural_sciences,A,C,C
agricultural_sciences,D,C,C
agricultural_sciences,A,A,A
agricultural_sciences,D,B,B
agricultural_sciences,A,B,B
agricultural_sciences,B,A,A
agricultural_sciences,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,C,A,A
agricultural_sciences,C,B,B
agricultural_sciences,C,B,B
agricultural_sciences,A,B,B
agricultural_sciences,D,B,B
agricultural_sciences,D,B,B
agricultural_sciences,B,A,A
agricultural_sciences,D,B,B
agricultural_sciences,B,A,A
agricultural_sciences,B,C,C
agricultural_sciences,B,A,A
agricultural_sciences,D,B,B
agricultural_sciences,D,A,A
agricultural_sciences,D,B,B
agricultural_sciences,B,B,B
agricultural_sciences,B,B,B
agricultural_sciences,B,B,B: 수리전도도
agricultural_sciences,B,A,A
agricultural_sciences,A,A,A
agricultural_sciences,B,C,C
agricultural_sciences,A,C,C
agricultural_sciences,D,B,B
agricultural_sciences,A,B,B
agricultural_sciences,B,A,A
agricultural_sciences,A,D,D
agricultural_sciences,D,D,D
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B
agricultural_sciences,C,A,A
agricultural_sciences,C,B,B
agricultural_sciences,C,B,B
agricultural_sciences,B,A,A
agricultural_sciences,B,A,A
agricultural_sciences,C,B,B
agricultural_sciences,B,B,B
agricultural_sciences,C,B,B
agricultural_sciences,A,C,C
agricultural_sciences,B,A,A
agricultural_sciences,D,B,B
agricultural_sciences,A,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,B,C,C
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,A,B,B
aviation_engineering_and_maintenance,D,A,A
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,B,C,C
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,A,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,A,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,B,A,A
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,C,C
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,B,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,B,A,A
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,C,C
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,C,C,C
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,B,A,A
aviation_engineering_and_maintenance,A,B,B
aviation_engineering_and_maintenance,A,D,D
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,C,B,B
aviation_engineering_and_maintenance,D,D,D
aviation_engineering_and_maintenance,D,D,D
biology,B,D,D
biology,D,D,D
biology,B,D,D
biology,A,C,C
biology,C,D,D
biology,A,C,C
biology,B,C,C
biology,B,D,D
biology,B,C,C
biology,C,C,C
biology,D,D,D
biology,A,B,B
biology,C,C,C
biology,D,D,D
biology,A,D,D
biology,C,B,B
biology,C,D,D
biology,A,D,D
biology,D,D,D
biology,A,C,C
biology,C,D,D
biology,D,D,D
biology,D,C,C
biology,D,D,D
biology,C,D,D
biology,D,D,D
biology,B,C,C
biology,A,B,B
biology,A,C,C
biology,A,D,D
biology,D,C,C
biology,B,D,D
biology,C,D,D
biology,D,D,D
biology,B,D,D
biology,C,B,B
biology,D,D,D
biology,A,D,D
biology,D,A,A
biology,B,D,D
biology,B,D,D
biology,D,D,D
biology,D,D,D
biology,C,D,D
biology,D,B,B
biology,D,D,D
biology,C,C,C
biology,C,D,D
biology,B,D,D
biology,B,D,D
biology,D,A,A
biology,A,D,D
biology,C,C,C
biology,C,B,B
biology,A,D,D
biology,B,D,D
biology,A,D,D
biology,C,D,D
biology,A,D,D
biology,A,D,D
biology,D,C,C
biology,C,D,D
biology,B,D,D
biology,D,C,C
biology,B,C,C
biology,A,D,D
biology,D,C,C
biology,D,B,B
biology,A,D,D
biology,A,C,C
biology,A,D,D
biology,A,D,D
biology,C,D,D
biology,D,D,D
biology,C,D,D
biology,D,C,C
biology,A,C,C
biology,C,C,C
biology,D,D,D
biology,A,D,D
biology,B,C,C
biology,B,C,C
biology,A,B,B
biology,C,D,D
biology,B,D,D
biology,D,B,B
biology,C,D,D
biology,B,D,D
biology,A,D,D
biology,B,D,D
biology,D,D,D
biology,A,C,C
biology,B,C,C
biology,D,D,D
biology,D,D,D
biology,B,D,D
biology,B,D,D
biology,A,D,D
biology,D,D,D
biology,D,C,C
chemical_engineering,D,A,A
chemical_engineering,B,A,A
chemical_engineering,B,A,A
chemical_engineering,D,B,B
chemical_engineering,D,A,A
chemical_engineering,A,A,A
chemical_engineering,D,B,B
chemical_engineering,A,B,B
chemical_engineering,B,A,A
chemical_engineering,C,A,A
chemical_engineering,A,A,A
chemical_engineering,B,B,B
chemical_engineering,B,A,A
chemical_engineering,C,B,B
chemical_engineering,C,A,A
chemical_engineering,C,A,A: 3636kg
chemical_engineering,B,A,A
chemical_engineering,D,A,A
chemical_engineering,C,A,A
chemical_engineering,C,A,A
chemical_engineering,A,A,A
chemical_engineering,B,A,A
chemical_engineering,C,C,C
chemical_engineering,C,A,A
chemical_engineering,B,B,B
chemical_engineering,A,A,A
chemical_engineering,A,A,A
chemical_engineering,B,A,A
chemical_engineering,A,A,A
chemical_engineering,A,A,A
chemical_engineering,D,A,A
chemical_engineering,B,A,A
chemical_engineering,D,A,A
chemical_engineering,B,A,A
chemical_engineering,D,C,C
chemical_engineering,D,A,A
chemical_engineering,A,A,A
