category,answer,pred,response
Accounting,B,D,D
Accounting,A,B,B
Accounting,A,A,A
Accounting,D,D,D
Accounting,C,D,D
Accounting,D,D,D
Accounting,D,A,A
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,A
Accounting,B,A,A
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,D,D
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,C,C
Accounting,C,C,C
Accounting,C,C,C
Accounting,D,B,B
Accounting,A,B,B
Accounting,C,D,D
Accounting,C,D,D
Accounting,A,A,A
Accounting,A,B,B
Accounting,D,D,D
Accounting,D,D,D
Accounting,B,D,D
Accounting,A,A,A
Accounting,D,B,B
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,B,B
Accounting,B,D,D
Accounting,D,D,D
Accounting,B,D,D
Accounting,B,B,B
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,B,B
Accounting,B,D,D
Accounting,A,B,B
Accounting,D,D,D
Accounting,B,C,C
Accounting,C,B,B
Accounting,C,C,C
Accounting,B,B,B
Accounting,D,D,D
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,B,B
Accounting,C,A,A
Accounting,A,B,B
Accounting,C,B,B
Accounting,C,A,A
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,B,B
Accounting,C,D,D
Accounting,A,B,B
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,D,D
Accounting,A,D,D
Accounting,D,C,C
Accounting,B,B,B
Accounting,D,D,D
Accounting,B,B,B
Accounting,B,D,D
Accounting,B,D,D
Accounting,D,D,D
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,D,D
Accounting,C,D,D
Accounting,C,C,C
Accounting,D,B,B
Accounting,B,B,B
Accounting,C,C,C
Accounting,C,A,A
Accounting,B,C,C
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,C,C
Accounting,C,D,D
Accounting,B,D,D
Accounting,C,C,C
Accounting,A,B,B
Accounting,D,D,D
Accounting,B,B,B
Accounting,D,A,A
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,B,B
Agricultural-Sciences,A,C,C
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,A,A
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,A,A
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,A,A
Agricultural-Sciences,D,C,C
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C
