category,subcategory,level,answer,pred,response
Semantics,Semantic Compatibility,3,C,H,"이 문제는 문장 속 특정 단어가 가지는 의미역(테마역, thematic role)을 묻는 문제입니다.  

문장:  
""새로 부임한 [사또]는 러시아에서 보내온 철갑상어 알을 보고 매우 신기해 했다.""

괄호는 **[사또]** 입니다.  

**[사또]**의 의미역을 판단해 보겠습니다.  

- ""사또""는 문장의 주어이며, ""신기해 했다""의 주체, 즉 감정을 느끼는 경험주(경험자)입니다.  
- ""러시아""는 ""보내온""의 출처(장소역)이지 사또와 직접 관련 없음.  
- ""철갑상어 알""은 ""보고""의 대상(내용역)이고, ""신기해 했다""의 대상이기도 함.  
- ""신기""는 감정이므로 사또가 경험하는 상태입니다.  

따라서 **[사또]**는 **""신기""의 경험주**에 해당합니다.  

<보기>에서 ""신기""의 경험주역은 없습니다.  
""신기""의 영향주역도 아닙니다.  
""신기""의 자격역, 경로역, 도구역도 아닙니다.  

그러므로 **[사또]**에 해당하는 설명은 **0개**입니다.  

정답: **C: 0**"
Semantics,Semantic Compatibility,2,B,B,"지문에서 ""[동전]""은 책갈피로 쓰는 물건을 가리키는 **구체적인 사물**이 아니라, 그 동전이 가진 **도구적 기능**이나 **상징적 의미**를 강조한 표현입니다. 즉, 동전 자체보다는 ""책갈피 역할""을 하는 데 초점을 맞춘 것입니다.

이와 의미적 역할이 가장 유사한 선지는 **B**입니다.  
""이 유물은 제대로 된 [톱] 하나 없이 만들어졌다""에서 [톱]은 실제 톱이라는 도구를 가리키지만, 문맥상 ""톱이라는 연장(도구) 없이""라는 **기능적 의미**로 쓰였습니다. 이는 지문의 [동전]이 ""책갈피라는 용도""로 쓰인 것과 같은 방식입니다.

정답: **B**"
Semantics,Semantic Compatibility,2,C,C,"정답은 **C**입니다.

**이유 설명:**

지문에서 ""[선봉]""은 ""전투에서 맨 앞에 서는 사람""이라는 **구체적인 역할(직책)** 을 나타냅니다.  
즉, 사람의 신분이나 임무를 가리키는 말입니다.

- **C의 ""[반장]""** 도 학급에서 맡은 **구체적인 역할(직책)** 을 나타내므로 의미적 역할이 가장 유사합니다.

다른 보기들은:
- A: 신체 부위(살)
- B, F: 성격이나 태도(솔선수범)
- D: 성격(엉뚱)
- E: 신체 부위(귓가)
- G: 지명(제주시)
- I: 행사(졸업식)
- J: 시간 개념(하루)

따라서 정답은 **C**입니다."
Semantics,Semantic Compatibility,3,B,J,"이 지문에서 ""광어는 [도다리] 같다""는 **비유적 표현**으로, 광어와 도다리가 서로 다른 생선이지만 생김새가 비슷하다는 점을 빗대어 말한 것입니다. 즉, 괄호 안의 ""도다리""는 실제 도다리가 아니라 **광어와 비교되는 대상**으로 쓰였습니다.

이와 의미적 역할이 가장 유사한 선지는 **J: [천사] 같은 우리 선생님이 좋다**입니다.  
여기서 ""천사""는 실제 천사가 아니라 선생님을 비유적으로 표현한 것이므로, 지문의 ""도다리""처럼 **비유의 대상**으로 쓰였습니다.

**정답: J**"
Semantics,Semantic Compatibility,3,B,F,"돌부리는 물리적인 장애물로, 비서가 넘어지게 한 **원인(도구/수단)** 이자 **직접적인 방해 요소**입니다.  

이와 의미적 역할이 가장 유사한 것은 **F**입니다.  
친구가 슬며시 내민 **다리**도 넘어지게 한 직접적인 물리적 원인(도구)이기 때문입니다.  

**정답: F**"
Semantics,Semantic Compatibility,3,B,A,"정답은 **A**입니다.

**이유:**  
지문에서 ""재""는 숯이 타고 남은 **결과물** 또는 **상태 변화의 산물**을 의미합니다.  
A의 ""눈보라""는 케이크를 가린 **자연 현상**으로, 케이크가 눈보라에 의해 덮이는 **상태 변화**를 나타내며, 이는 숯이 재가 된 것과 유사하게 **어떤 작용의 결과로 생긴 것**이라는 점에서 의미적 역할이 가장 가깝습니다.  

다른 선지들은 도구, 장소, 인물, 행위 등으로 역할이 다릅니다."
Semantics,Semantic Compatibility,1,B,B,"먼저 지문에서 괄호 안의 단어들의 의미적 역할을 살펴보겠습니다.

- [그] : 사람(주어)  
- [손] : 신체 일부  
- [오늘] : 시간  
- [발표] : 행위/사건  
- [지우개] : 사물(도구)  
- [헛웃음] : 감정 표현(행위)  
- [회장님] : 사람(직책)  
- [목소리] : 신체 기능/발성  
- [회의] : 행위/사건  

이제 보기에서 의미적 역할이 가장 유사한 것끼리 묶인 선지를 찾아야 합니다.

- A: [발표](사건) vs [회장님](사람) → 다름  
- B: [손](신체) vs [목소리](신체 기능) → 둘 다 신체와 관련된 것으로 유사  
- C: [헛웃음](감정 표현) vs [발표](사건) → 다름  
- D: [회장님](사람) vs [회의](사건) → 다름  
- E: [그](사람) vs [지우개](사물) → 다름  
- F: [오늘](시간) vs [발표](사건) → 다름  
- H: [헛웃음](감정) vs [회장님](사람) → 다름  
- I: [오늘](시간) vs [회장님](사람) → 다름  
- J: [그](사람) vs [회의](사건) → 다름  

따라서 가장 유사한 것은 **B: [손], [목소리]** 입니다.

**정답: B**"
Semantics,Semantic Compatibility,2,F,F,"선지에서 의미적 역할이 가장 유사한 것끼리 묶인 것을 찾아야 합니다.  

- [캠핑]은 활동(사건) 명사  
- [도착]은 동작/사건 명사  
- [동식이], [강아지]는 모두 **생물(사람/동물)** 로, 의미적 역할이 유사합니다.  
- [텐트], [군내], [고기], [냄새]는 모두 무생물 사물이나 상태를 나타내지만, 서로 다른 범주입니다.  

따라서 가장 유사한 것은 **사람과 동물**인 [동식이]와 [강아지]입니다.  

정답: **F**"
Semantics,Semantic Compatibility,1,E,E,"정답은 **E: 민주가 명단을 결심했다.** 입니다.

이유: ""명단을 결심하다""는 자연스러운 한국어 표현이 아닙니다.  
- ""명단을 작성하다"", ""명단을 확정하다"", ""명단을 결정하다""는 가능하지만,  
- ""결심하다""는 주로 자신의 마음속 결의나 행동을 다짐할 때 쓰는 동사이므로,  
- 목적어로 ""명단"" 같은 구체적인 사물이 오는 것은 어색합니다.  

다른 보기들은 모두 문법적으로나 의미상 자연스러운 문장입니다."
Syntax,Agreement,2,H,H,"이 문제는 **능동문을 피동문으로 바르게 바꾼 것**을 고르는 문제입니다.  
피동문은 주어가 남의 행동을 **당하는** 문장으로, 주로 '-이-, -히-, -리-, -기-' 접사나 '어/아 지다', '되다' 등으로 표현됩니다.

각 보기를 살펴보면:

- **A**: 능동→사동(시키는) 관계로 바뀜 → 피동 아님  
- **B**: 능동→사동 관계 → 피동 아님  
- **C**: 능동→사동 관계 → 피동 아님  
- **D**: 능동→사동 관계 → 피동 아님  
- **E**: 이미 피동문(쫓기다)을 능동문으로 바꾼 것 → 방향 반대  
- **F**: 능동→사동(시키는) 관계 → 피동 아님  
- **G**: 능동→사동 관계 → 피동 아님  
- **H**: 능동문(시연이가 찬형이를 잡았다) → 피동문(찬형이가 시연이에게 잡혔다) → **올바른 피동 전환**  
- **I**: 능동문이 아니라 이미 피동/사동 혼합, 주어가 불분명  
- **J**: 형용사(넓다)를 사동사(넓히다)로 바꾼 것 → 피동 아님  

따라서 **정답은 H**입니다.

**정답: H**"
Phonetics/Phonology,Phonological Constraints,1,J,J,"<보기>에서 음소 배열 제약 중 (1) 자음과 자음 사이의 배열 제약은 두 자음이 이어질 때 일어나는 제약을 말합니다.  

각 보기를 분석해 보겠습니다.  

- **A: 낳+다 = 나타** → ‘ㅎ’과 ‘ㄷ’이 만나 ‘ㅌ’으로 축약 → 자음 간 결합 제약 (음운 동화/축약)  
- **B: 입+학 = 이팍** → ‘ㅂ’과 ‘ㅎ’이 만나 ‘ㅍ’으로 축약 → 자음 간 결합 제약  
- **C: 듣+고 = 듣꼬** → ‘ㄷ’과 ‘ㄱ’이 만나 경음화 → 자음 간 결합 제약  
- **D: 입+자 = 입짜** → ‘ㅂ’과 ‘ㅈ’이 만나 경음화 → 자음 간 결합 제약  
- **E: 달+님 = 달림** → ‘ㄹ’과 ‘ㄴ’이 만나 ‘ㄹ’로 동화 → 자음 간 결합 제약  
- **F: 좋+고 = 조코** → ‘ㅎ’과 ‘ㄱ’이 만나 ‘ㅋ’으로 축약 → 자음 간 결합 제약  
- **G: 먹+자 = 먹짜** → ‘ㄱ’과 ‘ㅈ’이 만나 경음화 → 자음 간 결합 제약  
- **H: 국+화 = 구콰** → ‘ㄱ’과 ‘ㅎ’이 만나 ‘ㅋ’으로 축약, 그리고 ‘ㅘ’는 반모음 포함 → 자음+반모음 결합도 포함되지만, 핵심은 자음 간 축약  
- **I: 믿+습니다 = 믿씁니다** → ‘ㄷ’과 ‘ㅅ’이 만나 경음화 → 자음 간 결합 제약  
- **J: 크+어서 = 커서** → ‘크’의 ‘ㅡ’가 탈락하고 ‘ㅓ’와 결합 → 이는 **모음과 모음 사이의 배열 제약** 또는 **자음과 모음 사이의 결합**에 해당하며, 자음과 자음 사이의 제약이 아님.  

따라서 **자음과 자음 사이의 배열 제약이 아닌 것**은 **J**입니다.  

**정답: J**"
Phonetics/Phonology,Phonological Alternation,2,C,C,"<보기>의 단어들(값, 외곬, 맑게)에서 공통적으로 나타나는 음운 변동은 **자음군 단순화(겹받침의 단순화)**입니다.  

- 값: [갑] → 겹받침 'ㅄ'이 'ㅂ'으로 단순화  
- 외곬: [외골] → 겹받침 'ㄼ'이 'ㄹ'로 단순화  
- 맑게: [말께] → 겹받침 'ㄺ'이 'ㄹ'로 단순화 (뒤에 '게'가 오지만, 받침은 'ㄹ'로 발음)  

이제 각 보기의 단어에서 자음군 단순화가 일어나는지 확인합니다.  

- A. 묽고: [물꼬] → 'ㄺ'이 'ㄹ'로 단순화 (O)  
- B. 삶: [삼] → 'ㄼ'이 'ㅁ'으로 단순화 (O)  
- C. 밖: [박] → 'ㄲ'은 겹받침이 아니라 **된소리(쌍자음)**이므로 자음군 단순화가 아님 (X)  
- D. 여덟: [여덜] → 'ㄼ'이 'ㄹ'로 단순화 (O)  
- E. 읊고: [읍꼬] → 'ㄼ'이 'ㅂ'으로 단순화 (O)  
- F. 젊다: [점따] → 'ㄼ'이 'ㅁ'으로 단순화 (O)  
- G. 훑고: [훌꼬] → 'ㄾ'이 'ㄹ'로 단순화 (O)  
- H. 넋: [넉] → 'ㄳ'이 'ㄱ'으로 단순화 (O)  
- I. 닭: [닥] → 'ㄺ'이 'ㄱ'으로 단순화 (O)  
- J. 앓다: [알타] → 'ㄾ'이 'ㄹ'로 단순화 (O)  

따라서 자음군 단순화가 나타나지 않는 것은 **C. 밖**입니다.  

**정답: C**"
Pragmatics,Speech Acts,2,E,B,"정답은 **B**입니다.

**이유:**  
B는 ""거기 인간적으로 조용히 좀 합시다.""에서 ""합시다""는 청유형으로, 함께 하기를 권유하는 표현이지만, 실제로는 상대방에게 조용히 하라는 **명령**에 가까운 기능을 합니다. 하지만 문제는 ""청자에게 무엇인가를 하거나 하지 않도록 명령하기 위한 발화""를 찾는 것이므로, **명령의 기능**을 가진 발화를 골라야 합니다.

그런데 B는 형식상 청유형이지만 화용적으로 명령의 기능을 하므로, 명령문으로 볼 수 있습니다.  
그렇다면 알맞지 않은 것을 찾으라는 문제에서, **명령의 기능이 없는 것**을 골라야 합니다.

각 보기를 분석하면:

- A: ""너 다리 떨면 복 나간다."" → 경고/금지의 기능 (하지 말라는 명령)
- B: ""거기 인간적으로 조용히 좀 합시다."" → 청유형이지만 명령 기능 (조용히 하라는 명령)
- C: ""아빠도 한 번만 해 보자."" → 청유형 (함께 하자) → 명령이 아님
- D: ""이것 좀 대신 해 주면 안될까?"" → 부탁 (요청) → 명령이 아님
- E: ""다음에는 너도 한 번은 하게 해 주지."" → 허락/요청 → 명령이 아님
- F: ""제 차 타고 가세요."" → 명령 (타고 가라)
- G: ""아이스 아메리카노 한 잔 주세요."" → 명령 (주문)
- H: ""주말에 카메라 좀 빌려줄 수 있어?"" → 부탁 (요청) → 명령이 아님
- I: ""삼시세끼 꼬박꼬박 챙겨 먹도록 해라."" → 명령
- J: ""이런 시간에 노래를 크게 틀어대면 어떡합니까?"" → 꾸짖음/금지 (하지 말라는 명령)

문제는 ""명령하기 위한 발화의 예로 알맞지 않은 것""을 찾는 것이므로, **명령의 기능이 없는 것**을 골라야 합니다.  
C, D, E, H는 명령이 아니라 부탁이나 청유에 가깝습니다. 그 중에서도 **가장 명확하게 명령이 아닌 것**은 **C**입니다.  
C는 ""아빠도 한 번만 해 보자.""로, 함께 하자고 권유하는 청유형이며, 상대방에게 특정 행동을 강요하거나 금지하는 명령이 아닙니다.

따라서 정답은 **C**입니다."
Pragmatics,Speech Acts,1,A,A,"정답은 **A: 다음달 안으로 알려 드릴게요.** 입니다.

이유:  
'저녁에는 정말로 공부할게요.'는 화자가 자신의 미래 행동을 스스로 약속하며 미리 정해 두는 **의지/약속**의 발화입니다.  
'A'도 ""다음달 안으로 알려 드릴게요""라고 하여 화자가 미래에 할 행동(알려 주기)을 미리 정하고 상대에게 약속하는 표현이므로 가장 알맞습니다.  

나머지 보기들은 예보, 진행 안내, 걱정, 능력/의향, 금지, 소감, 요청, 바람 등으로 약속의 의미가 아닙니다."
Pragmatics,Speech Acts,2,G,E,"이 문제는 **발화 의도와 문장 유형(평서문, 의문문, 명령문, 청유문 등)이 일치하지 않을 때 간접적으로 의도를 드러내는 경우**를 찾는 것입니다.

각 보기를 분석해 보겠습니다.

- **A**: ""현장에 사고의 흔적은 없습니까?"" → 의문문이지만, 실제로는 **확인 요구**나 **부재를 강조**하는 의도일 수 있습니다. 하지만 이는 비교적 직접적인 질문에 가깝습니다.
- **B**: ""관객 여러분께서는 뜨거운 박수로 맞아 주십시오."" → 명령문(요청)으로, 의도와 일치합니다.
- **C**: ""저희가 취재진이 있는 곳으로 가겠습니다."" → 평서문이지만, 실제로는 **이동을 알리거나 허락을 구하는** 의도일 수 있습니다. 그러나 이는 상황에 따라 직접적일 수도 있습니다.
- **D**: ""출연료는 말일에 입금될 예정입니다."" → 평서문으로, 정보 전달 의도와 일치합니다.
- **E**: ""환자분, 왼다리를 움직일 수 있겠습니까?"" → 의문문이지만, 실제로는 **명령(움직여 보라)** 을 간접적으로 표현한 전형적인 예입니다. 의사가 환자에게 검사 중 지시할 때 자주 쓰는 간접 화법입니다.
- **F**: ""공부를 그렇게 좀 해 봐라."" → 명령문(권유)으로, 의도와 일치합니다.
- **G**: ""내가 뭘 피구를 못하냐?"" → 의문문(반어적)이지만, 실제로는 **자신의 능력을 강조하는 평서문**의 의미입니다. 이는 간접 표현이지만, 주로 **반어**로 쓰이며, 문제에서 요구하는 ""문장 유형 불일치""의 전형적인 예로 볼 수 있습니다.
- **H**: ""신분증을 꼭 지참하시어 내방하여 주세요."" → 명령문(요청)으로, 의도와 일치합니다.
- **I**: ""이 장면에 쓰인 것은 콜라주 기법인가요?"" → 의문문으로, 정보 요구 의도와 일치합니다.
- **J**: ""오늘은 날이 참 좋습니다."" → 평서문이지만, 실제로는 **인사말**이나 **분위기 전환**의 의도일 수 있습니다. 그러나 이는 문장 유형 불일치라기보다는 **화용적 기능**의 차이에 가깝습니다.

**가장 적절한 예**는 **E**와 **G**가 유력합니다.  
- **E**는 의문문으로 명령을 전달하는 전형적인 간접 화법입니다.  
- **G**는 의문문(반어)으로 평서문(능력 강조)을 전달합니다.

그런데 문제에서 ""발화 의도에 일치하지 않는 문장 유형을 사용함으로써 **간접적으로 의도를 드러내는** 예""라고 했을 때, **E**가 더 전형적입니다. 왜냐하면 E는 의문문 형식이지만 실제로는 **행동 지시(명령)** 를 하고 있어, 문장 유형(의문문)과 발화 의도(명령)가 불일치하며, 이는 일상에서 흔히 쓰는 간접 화법이기 때문입니다.

**정답: E**"
Pragmatics,Speech Acts,3,G,A,"<보기>의 각 발화를 의도에 따라 분류하면 다음과 같습니다.

- **갑: ""너 도서관에서 빌린 책 아직 반납 안 했지?""** → 확인을 위한 **질문** (단순 진술이 아니라 상대의 상태를 묻는 것)
- **을: ""깜짝이야. 엄만 그걸 어떻게 알았어?""** → 놀라움과 궁금증을 나타내는 **질문**
- **갑: ""내가 너를 하루이틀 보니?""** → 반문(反問)으로, 상대를 꾸짖는 의도가 담긴 **질문** (수사적 질문)
- **갑: ""반납 좀 제때제때 하자.""** → 함께 행동을 권하는 **청유**
- **을: ""반납하러 갈 시간이 없는 게 내 잘못이야?""** → 반문으로 자신의 입장을 변호하는 **질문** (수사적 질문)
- **갑: ""네 동생한테 대신 갔다 오라고 해.""** → 상대에게 행동을 지시하는 **명령**
- **을: ""걔가 손 하나 까딱하는 것 봤어?""** → 동생이 도와주지 않는다는 불만을 나타내는 **감정 표현** (수사적 질문 형식이지만 실제로는 불평)

따라서 각 보기 중 옳게 연결된 것은 **A**입니다.

**정답: A**"
