category,subcategory,level,answer,pred,response
Semantics,Semantic Compatibility,1,E,E,"정답: **E: 민주가 명단을 결심했다.**

‘결심하다’는 보통 **어떤 행동을 하기로 마음먹다**라는 뜻이므로, 목적어로 ‘명단’ 자체를 바로 받는 것은 어색합니다.

- 자연스러운 표현: **민주가 명단을 작성하기로 결심했다.**
- 또는: **민주가 명단 작성을 결심했다.**

나머지 문장들은 다소 문맥에 따라 차이는 있어도 의미상 성립합니다."
Syntax,Agreement,2,H,H,"정답은 **H**입니다.

- 능동문: **시연이가 찬형이를 잡았다.**
- 피동문: **찬형이가 시연이에게 잡혔다.**

능동문의 목적어인 ‘찬형이’가 피동문의 주어가 되고, ‘시연이’는 행위 주체로서 ‘시연이에게’가 되었습니다.

나머지는 대부분 **사동문**(웃기다, 먹이다, 읽히다 등)이거나, 능동·피동의 방향이 반대입니다."
Phonetics/Phonology,Phonological Constraints,1,J,J,"정답: **J. 크+어서 → 커서**

‘크+어서’에서는 어간 모음 **ㅡ**와 어미의 모음 **ㅓ**가 결합하면서 **ㅡ가 탈락**한 현상으로, **모음과 모음 사이의 배열 제약**과 관련된다.

나머지는 모두 자음과 자음이 만날 때 일어나는 탈락, 축약, 된소리되기, 유음화 등의 현상이다."
Phonetics/Phonology,Phonological Alternation,2,C,C,"정답: **C. 밖**

<보기>의 **값[갑], 외곬[외골], 맑게[말께]**에는 겹받침 중 하나의 자음이 탈락하는 **자음군 단순화**가 공통적으로 나타납니다.

- 값: ㅄ → ㅂ
- 외곬: ㄼ → ㄹ
- 맑게: ㄺ → ㄹ

반면 **밖[박]**은 겹받침이 아니라 홑받침 **ㄲ**이 음절 끝에서 대표음 [ㄱ]으로 발음되는 경우이므로 자음군 단순화가 나타나지 않습니다."
Pragmatics,Speech Acts,2,E,E,"정답: **E**

**“다음에는 너도 한 번은 하게 해 주지.”**는 화자가 청자에게 행동을 요구하는 것이 아니라, 화자가 앞으로 청자에게 기회를 주겠다는 **약속·허락의 발화**에 가깝습니다.

나머지는 명령, 요청, 권유, 경고, 불평 등의 방식으로 청자에게 어떤 행동을 하거나 하지 말 것을 요구하는 발화입니다."
Pragmatics,Speech Acts,1,A,A,"정답: **A: 다음달 안으로 알려 드릴게요.**

‘저녁에는 정말로 공부할게요.’처럼 화자가 앞으로 할 행동을 미리 정하고 약속하는 발화는 **“-ㄹ게요”**가 쓰인 A가 가장 알맞습니다.

- **A**: 화자가 ‘알려 드리겠다’는 행동을 하기로 약속함.
- B, C, E 등은 미래의 상황을 예측하거나 진행을 알리는 표현입니다.
- F, I는 상대에게 요청하는 표현입니다.
- H는 ‘못 보겠다’는 의지 또는 상태 표현이지만, 특정 행동을 하기로 약속하는 발화와는 다릅니다."
Pragmatics,Speech Acts,2,G,G,"정답: **G. 내가 뭘 피구를 못하냐?**

의문문 형식을 사용하고 있지만, 실제 의도는 질문이 아니라 **“나는 피구를 못하는 것이 아니다(피구를 잘한다)”**라는 강한 주장·반박을 드러내는 것입니다. 따라서 문장 유형과 발화 의도가 일치하지 않는 간접 표현에 해당합니다."
Pragmatics,Speech Acts,3,G,F,"정답: **F**

- **‘반납 좀 제때제때 하자.’**는 상대방에게 함께 어떤 행동을 하자고 권유하는 말이므로 **청유**에 해당합니다.

다른 선택지의 주요 오류:
- ‘걔가 손 하나 까딱하는 것 봤어?’, ‘내가 너를 하루이틀 보니?’ 등은 실제 답을 요구하는 질문이라기보다 뜻을 강조하는 표현입니다.
- ‘네 동생한테 대신 갔다 오라고 해.’는 상대에게 행동을 시키는 **명령**입니다.
- ‘엄만 그걸 어떻게 알았어?’는 **질문**입니다."
Semantics,Inter-sentence Relations,3,H,H,"정답은 **H**입니다.

- (ㄱ) **꾸미길래**: “무슨 일을 꾸미길래?” = 어떤 일을 계획하고 있기에 부탁하려는지 묻는 표현
- (ㄴ) **졌어서**: “신세를 졌어서” = 이전에 도움을 받았기 때문에
- (ㄷ) **들어봐야지**: “일단 들어봐야지” = 우선 부탁 내용을 들어 보겠다는 자연스러운 반응

따라서 완성된 대화는 다음과 같습니다.

> 수빈: 무슨 일을 **꾸미길래**? 뭐, 생각해보니 저번에 나도 너한테 신세를 **졌어서** 일단 **들어봐야지**."
Semantics,Conjunctions,1,E,E,"정답은 **E: 그러나, 어쩌면, 그 이유는, 아울러**입니다.

완성된 문장:

> 대부분의 사람들이 지구 역사상 가장 큰 동물은 공룡이라고 한다. **그러나** 가장 큰 동물은 현재 우리와 함께 살아가고 있다. 바로 대왕 고래 혹은 흰긴수염 고래라고 불리우는 종이다. **어쩌면** 우리는 지구 역사의 소중한 순간을 살아가고 있을지도 모른다. **그 이유는** 같은 포유류로서 살아있는 전설과 같은 시대에 공존하고 있기 때문이다. **아울러** 이 고래는 큰 체구에 어울리지 않는 민첩함과 지구력으로도 유명하다.

- 공룡이라는 일반적 생각과 현재의 사실이 대비되므로 **그러나**
- 추측의 의미이므로 **어쩌면**
- 앞 문장의 이유를 설명하므로 **그 이유는**
- 추가 정보를 덧붙이므로 **아울러**가 적절합니다."
