id,trial,answer,pred,response
KIIP_economy_1,0,C,B,B
KIIP_economy_2,0,A,A,A
KIIP_economy_3,0,C,C,C
KIIP_economy_4,0,D,D,D
KIIP_economy_5,0,C,C,C
KIIP_economy_6,0,B,B,B
KIIP_economy_7,0,B,B,B
KIIP_economy_8,0,A,A,A
KIIP_economy_9,0,C,A,A
KIIP_economy_10,0,C,C,C
KIIP_economy_11,0,D,A,A
KIIP_economy_12,0,A,A,A
KIIP_economy_13,0,C,B,B
KIIP_economy_14,0,C,C,C
KIIP_economy_15,0,D,C,C
KIIP_economy_16,0,A,A,A
KIIP_economy_17,0,A,A,A
KIIP_economy_18,0,C,C,C
KIIP_economy_19,0,A,A,A
KIIP_economy_20,0,B,A,A
