id,category,trial,answer,pred,response
doctor_0,doctor,0,C,C,C
doctor_1,doctor,0,C,C,C
doctor_2,doctor,0,A,A,A
doctor_3,doctor,0,C,C,C
dentist_210,dentist,0,D,D,D
dentist_211,dentist,0,D,D,D
dentist_212,dentist,0,D,D,D
dentist_213,dentist,0,A,A,A
pharm_493,pharm,0,C,C,C
pharm_494,pharm,0,B,B,B
pharm_495,pharm,0,E,E,E
pharm_496,pharm,0,B,B,B
nurse_769,nurse,0,A,A,A
nurse_770,nurse,0,D,D,D
nurse_771,nurse,0,A,A,A
nurse_772,nurse,0,B,B,B
nurse_167,nurse,0,C,C,C
nurse_168,nurse,0,B,B,B
nurse_169,nurse,0,A,A,A
nurse_170,nurse,0,D,D,D
nurse_171,nurse,0,A,D,D
nurse_172,nurse,0,D,D,D
nurse_173,nurse,0,A,B,B
nurse_174,nurse,0,B,B,B
