category,answer,pred,response
General Knowledge,B,C,C
General Knowledge,C,C,C
General Knowledge,E,E,E
General Knowledge,B,B,B
General Knowledge,E,E,E
General Knowledge,E,E,E
General Knowledge,C,C,C
General Knowledge,D,D,D
General Knowledge,D,D,D
General Knowledge,E,E,E
General Knowledge,D,D,D
General Knowledge,A,E,E
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,D,B,B
General Knowledge,A,A,A
General Knowledge,B,B,B
General Knowledge,E,E,E
General Knowledge,A,B,B
General Knowledge,B,B,B
General Knowledge,D,D,D
General Knowledge,B,B,B
General Knowledge,B,B,B
General Knowledge,B,E,E
General Knowledge,C,E,E
General Knowledge,A,A,A
General Knowledge,A,B,B
General Knowledge,B,A,A
General Knowledge,A,B,B
General Knowledge,C,C,C
General Knowledge,B,E,E
General Knowledge,A,B,B
General Knowledge,A,B,B
General Knowledge,C,B,B
General Knowledge,E,A,A
General Knowledge,D,D,D
General Knowledge,B,D,D
General Knowledge,D,D,D
General Knowledge,D,D,D
General Knowledge,E,D,D
General Knowledge,C,E,E
General Knowledge,B,A,A
General Knowledge,D,D,D
General Knowledge,B,B,B
General Knowledge,C,E,E
General Knowledge,A,E,E
General Knowledge,D,A,A
General Knowledge,E,D,D
General Knowledge,A,D,D
General Knowledge,D,D,D
General Knowledge,A,C,C
General Knowledge,B,D,D
General Knowledge,E,E,E
General Knowledge,B,D,D
General Knowledge,D,D,D
General Knowledge,A,B,B
General Knowledge,E,E,E
General Knowledge,C,C,C
General Knowledge,B,C,C
General Knowledge,E,D,D
General Knowledge,A,C,C
General Knowledge,D,C,C
General Knowledge,B,A,A
General Knowledge,C,D,D
General Knowledge,C,C,C
General Knowledge,C,B,B
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,C,E,E
General Knowledge,C,E,E
General Knowledge,C,C,C
General Knowledge,A,C,C
General Knowledge,E,E,E
General Knowledge,B,A,A
General Knowledge,C,E,E
General Knowledge,D,B,B
General Knowledge,C,C,C
General Knowledge,B,E,E
General Knowledge,C,D,D
General Knowledge,C,D,D
General Knowledge,C,E,"E
```"
General Knowledge,B,D,D
General Knowledge,C,D,D
General Knowledge,D,E,E
General Knowledge,C,E,E
General Knowledge,B,C,C
General Knowledge,C,C,C
General Knowledge,A,B,B
General Knowledge,C,E,E
General Knowledge,B,C,C
General Knowledge,C,E,E
General Knowledge,D,B,B
General Knowledge,C,B,B
General Knowledge,B,C,C
General Knowledge,C,D,D
General Knowledge,D,D,D
General Knowledge,C,E,E
General Knowledge,D,E,E
