category,answer,pred,response
General Knowledge,B,A,A
General Knowledge,C,C,C
General Knowledge,E,E,E
General Knowledge,B,B,B
General Knowledge,E,E,E
General Knowledge,E,E,E
General Knowledge,C,C,C
General Knowledge,D,D,D
General Knowledge,D,D,D
General Knowledge,E,E,E
General Knowledge,D,D,D
General Knowledge,A,E,E
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,D,B,B
General Knowledge,A,B,B
General Knowledge,B,B,B
General Knowledge,E,E,E
General Knowledge,A,A,A
General Knowledge,B,B,B
General Knowledge,D,D,D
General Knowledge,B,B,B
General Knowledge,B,A,A
General Knowledge,B,E,E
General Knowledge,C,E,E
General Knowledge,A,E,E
General Knowledge,A,D,D
General Knowledge,B,E,E
General Knowledge,A,B,B
General Knowledge,C,C,C
General Knowledge,B,C,C
General Knowledge,A,B,B
General Knowledge,A,B,B
General Knowledge,C,B,B
General Knowledge,E,D,D
General Knowledge,D,D,D
General Knowledge,B,E,E
General Knowledge,D,D,D
General Knowledge,D,D,D
General Knowledge,E,C,C
General Knowledge,C,A,A
General Knowledge,B,B,B
General Knowledge,D,D,D
General Knowledge,B,B,B
General Knowledge,C,E,E
General Knowledge,A,A,A
General Knowledge,D,E,E
General Knowledge,E,D,D
General Knowledge,A,D,D
General Knowledge,D,E,E
General Knowledge,A,D,D
General Knowledge,B,A,A
General Knowledge,E,B,B
General Knowledge,B,B,B
General Knowledge,D,B,B
General Knowledge,A,E,E
General Knowledge,E,C,C
General Knowledge,C,C,C
General Knowledge,B,D,D
General Knowledge,E,E,E
General Knowledge,A,C,C
General Knowledge,D,C,C
General Knowledge,B,C,C
General Knowledge,C,B,B
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,C,A,A
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,C,A,A
General Knowledge,C,D,D
General Knowledge,C,B,B
General Knowledge,A,C,C
General Knowledge,E,C,C
General Knowledge,B,A,A
General Knowledge,C,B,B
General Knowledge,D,E,E
General Knowledge,C,B,B
General Knowledge,B,C,C
General Knowledge,C,D,D
General Knowledge,C,C,C
General Knowledge,C,A,A
General Knowledge,B,E,E
General Knowledge,C,C,C
General Knowledge,D,E,E
General Knowledge,C,A,A
General Knowledge,B,C,C
General Knowledge,C,C,C
General Knowledge,A,C,C
General Knowledge,C,C,C
General Knowledge,B,C,C
General Knowledge,C,D,D
General Knowledge,D,C,C
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,C,E,E
General Knowledge,D,E,E
General Knowledge,C,C,C
General Knowledge,D,C,C
General Knowledge,C,C,C
General Knowledge,C,E,E
General Knowledge,B,A,A
General Knowledge,E,B,B
General Knowledge,D,D,D
General Knowledge,A,C,C
General Knowledge,A,D,D
General Knowledge,C,B,B
General Knowledge,E,D,D
General Knowledge,D,D,D
General Knowledge,C,D,D
General Knowledge,B,D,D
General Knowledge,A,C,C
General Knowledge,E,C,C
General Knowledge,D,D,D
General Knowledge,B,E,E
General Knowledge,C,B,B
General Knowledge,A,D,D
General Knowledge,E,A,A
General Knowledge,D,D,D
General Knowledge,B,E,E
General Knowledge,D,A,A
General Knowledge,C,C,C
General Knowledge,D,E,E
General Knowledge,A,C,C
General Knowledge,B,A,A
General Knowledge,E,D,D
General Knowledge,C,D,D
General Knowledge,B,B,B
General Knowledge,A,D,D
General Knowledge,C,A,A
General Knowledge,B,B,B
General Knowledge,D,D,D
General Knowledge,E,A,A
General Knowledge,B,B,B
General Knowledge,C,C,C
General Knowledge,A,B,B
General Knowledge,C,D,D
General Knowledge,B,E,E
General Knowledge,E,D,D
General Knowledge,C,D,D
General Knowledge,A,B,B
General Knowledge,D,C,C
General Knowledge,C,C,C
General Knowledge,D,D,D
General Knowledge,B,B,B
General Knowledge,E,D,D
General Knowledge,A,C,C
General Knowledge,C,E,E
General Knowledge,C,C,C
General Knowledge,D,A,A
General Knowledge,A,A,A
General Knowledge,E,A,A
General Knowledge,B,B,B
General Knowledge,E,D,D
General Knowledge,E,E,E
General Knowledge,A,D,D
General Knowledge,D,D,D
General Knowledge,E,B,B
General Knowledge,A,E,E
General Knowledge,C,C,C
General Knowledge,C,A,A
General Knowledge,D,E,E
General Knowledge,B,B,B
General Knowledge,C,A,A
General Knowledge,A,A,A
General Knowledge,B,D,D
General Knowledge,B,E,E
General Knowledge,A,D,D
General Knowledge,D,D,D
General Knowledge,A,E,E
General Knowledge,E,E,E
General Knowledge,A,D,D
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,B,D,D
General Knowledge,C,C,C
History,B,C,C
History,E,E,E
History,E,E,E
History,C,C,C
History,C,A,A
History,C,D,D
History,D,D,D
History,B,B,B
History,E,C,C
History,E,E,E
History,D,E,E
History,E,E,E
History,C,C,C
History,C,A,A
History,C,C,C
History,E,E,E
History,B,C,C
History,E,B,B
History,D,C,C
History,D,A,A
History,E,E,E
History,B,B,B
History,A,A,A
History,D,C,C
History,B,B,B
History,B,B,B
History,C,C,C
History,E,D,D
History,C,C,C
History,A,E,E
History,B,B,B
History,A,B,B
History,E,E,E
History,C,B,B
History,A,C,C
History,C,C,C
History,C,C,C
History,E,D,D
History,B,B,B
History,C,D,D
History,A,C,C
History,D,D,D
History,B,E,E
History,D,A,A
History,B,C,C
History,E,D,D
History,B,E,E
History,C,D,D
History,B,B,B
History,B,B,B
History,C,E,E
History,E,E,E
History,A,E,E
History,E,E,E
History,B,E,E
History,E,C,C
History,D,D,D
History,D,D,D
History,D,D,D
History,D,D,D
History,C,D,D
History,D,A,A
History,B,B,B
History,B,A,A
History,C,B,B
History,A,C,C
History,B,C,C
History,B,D,D
History,D,A,A
History,E,C,C
History,B,D,D
History,B,C,C
History,A,C,C
History,D,D,D
History,E,C,C
History,E,B,B
History,D,A,A
History,B,C,C
History,E,E,E
History,C,D,D
History,E,B,B
History,C,A,A
History,C,E,E
History,D,C,C
History,D,A,A
History,E,E,E
History,A,A,A
History,D,A,A
History,A,A,A
History,B,A,A
History,D,C,C
History,C,D,D
History,C,C,C
History,C,D,D
History,E,B,B
History,C,A,A
History,B,E,E
History,D,B,B
History,D,A,A
History,C,C,C
History,A,A,A
History,C,C,C
History,B,E,E
History,E,E,E
History,A,B,B
History,C,B,B
History,B,C,C
History,E,C,C
History,E,C,C
History,C,C,C
History,B,C,C
History,A,B,B
History,D,C,C
History,B,C,C
History,B,B,B
History,B,D,D
History,A,B,B
History,C,C,C
History,C,C,C
History,A,A,A
History,B,C,C
History,E,D,D
History,B,B,B
History,A,E,E
History,E,D,D
History,B,C,C
History,D,D,D
History,E,D,D
History,D,C,C
History,C,B,B
History,A,A,A
History,E,D,D
History,A,C,C
History,A,A,A
History,A,B,B
History,B,B,B
History,C,C,C
History,A,D,D
History,D,D,D
History,D,C,C
History,C,D,D
History,A,D,D
History,A,B,B
History,E,B,B
History,D,D,D
History,B,A,A
History,D,D,D
History,B,B,B
History,E,B,B
History,A,C,C
History,A,D,D
History,E,C,C
History,E,D,D
History,D,D,D
History,B,B,B
History,E,D,D
History,A,E,E
History,D,B,B
History,E,C,C
History,E,D,D
History,D,D,D
History,D,D,D
History,D,A,A
History,B,D,D: 이상
History,A,B,B
History,B,D,D
History,E,C,C
History,D,C,C
History,D,C,C
History,C,C,C
History,E,E,E
History,E,D,D
History,D,B,B
History,B,E,E
History,D,D,D
History,C,C,C
History,C,C,C
History,B,E,E
History,D,D,D
History,C,C,C
History,D,A,A
History,E,D,D
History,C,B,B
History,E,E,E
History,A,A,A
History,E,D,D
History,D,D,D
History,E,B,B
Loan Words,E,E,E
Loan Words,C,C,C
Loan Words,D,D,D
Loan Words,A,A,A
Loan Words,E,E,E
Loan Words,E,E,E
Loan Words,D,D,D
Loan Words,B,B,B
Loan Words,D,D,D
Loan Words,E,E,E
Loan Words,A,A,A
Loan Words,A,A,A
Loan Words,A,A,A
Loan Words,C,A,A
Loan Words,E,E,E
Loan Words,C,C,C
Loan Words,C,C,C
Loan Words,A,A,A
Loan Words,E,C,C
Loan Words,D,D,D
Loan Words,E,A,A
Loan Words,A,E,E
Loan Words,E,A,A
Loan Words,A,A,A
Loan Words,E,E,E
Loan Words,E,A,A
Loan Words,D,D,D
Loan Words,E,E,E
Loan Words,A,A,A
Loan Words,B,B,B
Loan Words,D,D,D: 낚시
Loan Words,C,C,C
Loan Words,D,D,D
Loan Words,D,D,D
Loan Words,C,A,A
Loan Words,C,C,C
Loan Words,A,A,A
Loan Words,B,A,A
Loan Words,C,C,C
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,B,A,A
Loan Words,A,C,C
Loan Words,E,E,E
Loan Words,D,C,C
Loan Words,D,D,D
Loan Words,C,C,C
Loan Words,D,D,D
Loan Words,D,A,A
Loan Words,B,C,C
Loan Words,B,B,B
Loan Words,E,E,E
Loan Words,E,E,E
Loan Words,E,B,B
Loan Words,C,C,C
Loan Words,C,C,C
Loan Words,A,A,A
Loan Words,C,B,B
Loan Words,B,D,D
Loan Words,C,D,D
Loan Words,D,C,C
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,E,E,E
Loan Words,D,D,D
Loan Words,E,D,D
Loan Words,C,B,B
Loan Words,D,D,D
Loan Words,D,D,D
Loan Words,B,B,B
Loan Words,D,D,D
Loan Words,B,C,C
Loan Words,C,C,C
Loan Words,B,D,D
Loan Words,C,D,D
Loan Words,A,C,C
Loan Words,C,C,C
Loan Words,C,C,C
Loan Words,E,C,C
Loan Words,A,A,A
Loan Words,D,A,A
Loan Words,B,A,A
Loan Words,B,B,B
Loan Words,D,B,B
Loan Words,D,D,D
Loan Words,A,A,A
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,E,E,E
Loan Words,B,A,A
Loan Words,D,A,A
Loan Words,C,E,E
Loan Words,D,D,D
Loan Words,E,B,B
Loan Words,A,B,B
Loan Words,E,A,A
Loan Words,E,E,E
Loan Words,D,D,D
Loan Words,C,C,C
Loan Words,E,D,D
Loan Words,A,C,C
Loan Words,D,D,D
Loan Words,B,B,B
Loan Words,C,C,C
Loan Words,A,A,A
Loan Words,A,E,E
Loan Words,C,C,C
Loan Words,C,C,C
Loan Words,A,D,D
Loan Words,E,A,A
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,B,D,D
Loan Words,A,A,A
Loan Words,D,B,B
Loan Words,A,A,A
Loan Words,D,B,B
Loan Words,E,E,E
Loan Words,D,A,A
Loan Words,D,B,B
Loan Words,A,A,A
Loan Words,B,B,B
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,A,E,E
Loan Words,E,E,E
Loan Words,C,C,C
Loan Words,D,D,D
Loan Words,E,C,C
Loan Words,A,D,D
Loan Words,B,A,A
Loan Words,E,E,E
Loan Words,C,E,E
Loan Words,A,C,C
Loan Words,C,C,C
Loan Words,A,A,A
Loan Words,A,A,A
Loan Words,E,E,E
Loan Words,D,B,B
Loan Words,C,C,C
Loan Words,E,A,A
Loan Words,B,A,A
Loan Words,C,C,C
Loan Words,C,C,C
Loan Words,D,B,B
Loan Words,E,E,E
Loan Words,C,D,D
Loan Words,E,A,A
Loan Words,D,B,B
Loan Words,B,A,A
Loan Words,C,E,E
Loan Words,E,E,E
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,E,C,C
Loan Words,D,A,A
Loan Words,C,C,C
Loan Words,B,A,A
Loan Words,D,A,A
Loan Words,A,A,A
Loan Words,D,D,D
Loan Words,D,D,D
Loan Words,D,D,D
Loan Words,E,E,E
Loan Words,D,D,D
Loan Words,A,A,A
Loan Words,D,A,A
Loan Words,A,D,D
Loan Words,C,C,C
Rare Words,D,C,C
Rare Words,A,B,B
Rare Words,C,C,C
Rare Words,A,C,C
Rare Words,D,D,D
Rare Words,E,C,C
Rare Words,A,A,A
Rare Words,E,E,E
Rare Words,A,C,C
Rare Words,A,D,D
Rare Words,C,A,A
Rare Words,D,D,D
Rare Words,A,D,D
Rare Words,B,B,B
Rare Words,E,E,E
Rare Words,D,B,B
Rare Words,E,E,E
Rare Words,D,D,D
Rare Words,D,D,D
Rare Words,D,D,D
Rare Words,C,C,C
Rare Words,B,A,A
Rare Words,D,A,A
Rare Words,B,B,B
Rare Words,E,E,E
Rare Words,E,E,E
Rare Words,E,C,C
Rare Words,A,A,A
Rare Words,D,D,D
Rare Words,B,B,B
Rare Words,D,D,D
Rare Words,E,E,E
Rare Words,D,D,D
Rare Words,E,E,E
Rare Words,A,A,A
Rare Words,E,E,E
Rare Words,B,B,B
Rare Words,D,D,D
Rare Words,C,C,C
Rare Words,A,A,A
Rare Words,B,B,B
Rare Words,E,E,E
Rare Words,C,C,C
Rare Words,B,B,B
Rare Words,D,D,D
Rare Words,B,B,B
Rare Words,D,A,A
Rare Words,A,B,B
Rare Words,B,B,B
Rare Words,E,E,E
Rare Words,A,A,A
Rare Words,E,E,E
Rare Words,D,D,D
Rare Words,E,E,E
Rare Words,C,C,C
Rare Words,A,A,A
Rare Words,E,E,E
Rare Words,A,A,A
Rare Words,A,A,A
Rare Words,B,B,B
Rare Words,B,B,B: 이력
Rare Words,A,C,C
Rare Words,A,B,B
Rare Words,B,B,B
Rare Words,C,C,C
Rare Words,B,B,B
Rare Words,A,A,A
Rare Words,C,B,B
Rare Words,C,B,B
Rare Words,B,B,B
Rare Words,C,C,C
Rare Words,B,E,E
Rare Words,D,D,D
Rare Words,A,B,B
Rare Words,A,B,B
Rare Words,A,A,A
Rare Words,D,D,D
Rare Words,B,B,B
Rare Words,E,E,E
