category,answer,pred,response
Accounting,B,C,C: 25 60\n\n이유:
Accounting,A,C,"C: ￦ 585,000"
Accounting,A,A,A
Accounting,D,C,"C

정답은 D로, 실제"
Accounting,C,C,"C: ￦100,000"
Accounting,D,D,D
Accounting,D,B,B
Accounting,C,C,C: 보고 기업은 반드
Accounting,D,D,D
Accounting,A,A,A
Accounting,B,D,D
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,B,B
Accounting,A,A,A
Accounting,D,B,B: 비교 가능성은 통
Accounting,B,D,D
Accounting,C,C,C
Accounting,C,C,C
Accounting,D,B,B
Accounting,A,B,"B: ￦340,000"
Accounting,C,D,D
Accounting,C,C,C: 만기까지 인식해야
Accounting,A,D,D: 20× 3년 말 해
Accounting,A,B,B: 정부가 부과하는 방식의
Accounting,D,B,B: 지방자치단체 회
Accounting,D,C,"C

설명: 유형자산에"
Accounting,B,D,D: 자산은 과 소계상
Accounting,A,D,"D: ￦1,000 과소"
Accounting,D,C,C: 금융자산 평가
Accounting,C,B,B
Accounting,C,B,B: 몰수품이 화폐
Accounting,A,C,"C: ￦ 12,200"
Accounting,B,D,D
Accounting,D,C,C
Accounting,B,C,C
Accounting,B,C,"C: ￦25,000"
Accounting,B,D,D: 전환사채의 만기
Accounting,D,B,B: 당기손실
Accounting,C,D,D
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,B,B: 비용의 성격별
Accounting,B,B,B: 평가이익 ￦
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,C,C
Accounting,C,D,D: 배당성향은 2
Accounting,C,C,C
Accounting,B,B,B: 자기주식을 현금으
Accounting,D,D,D: 20× 1년 말 인식
Accounting,D,D,D: 20× 3년 말
Accounting,C,B,B
Accounting,D,B,B
Accounting,C,D,"D: ￦ 100,000"
Accounting,A,B,"B: ￦1, 932,100"
Accounting,C,B,B: 감가상각 누
Accounting,C,C,C
Accounting,A,D,D: 현금과 부족￦
Accounting,D,B,B: 당기손실
Accounting,B,D,D
Accounting,D,A,A
Accounting,C,C,C: 한국 채택 국제회
Accounting,C,D,D
Accounting,A,D,D
Accounting,D,D,"D: ￦2,986,800"
Accounting,A,D,D
Accounting,C,B,B
Accounting,D,D,D
Accounting,C,C,"C: ￦1,900

이유:"
Accounting,A,D,D
Accounting,D,B,B: (차) 선급보험
Accounting,B,D,D: 만기보유금융자산
Accounting,D,D,D
Accounting,B,A,A: 배당 후 자
Accounting,B,C,C: 종업원의 출장을
Accounting,B,D,D: 당기순이익 과
Accounting,D,C,C
Accounting,C,C,"C

정답 (Answer): 유동성장기"
Accounting,D,D,D
Accounting,C,B,B: 매출원가에서 차
Accounting,D,B,"B: ￦45,000"
Accounting,C,B,B: 건물
Accounting,C,B,"B: 대여금, 미수금,"
Accounting,D,B,"B: ￦30,000

해"
Accounting,B,B,"B: ￦200,000"
Accounting,C,C,C
Accounting,C,D,D
Accounting,B,B,"B: ￦475,000

진"
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,C,C: 주요 성공요인 도출
Accounting,C,B,"B: 510,000원"
Accounting,B,D,D
Accounting,C,C,C
Accounting,A,C,"C: ₩1,250,000"
Accounting,D,D,D: 미지급금
Accounting,B,C,C
Accounting,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D: 부분형질
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,D,D: 치상조건
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,C: NMSMS
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,D,D: 품종당 10만원
Agricultural-Sciences,D,B,B: 5
Agricultural-Sciences,B,A,A: 1 ~ 2 과
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,B,B: 16
Agricultural-Sciences,B,B,B: 3
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,C,C: 보증종( II )
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,D,D,D: 1년 이내
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,B,B: 2회
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,A,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,C,C: 시안 : 0.2 mg/L 이
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,A,A
Agricultural-Sciences,C,C,C: 보호품종과 제14종(
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,B,B: 15일
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,D,D: 사염화탄소
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B: 품종보호권을
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,B,B: 25
Agricultural-Sciences,D,B,B: 약 44.1%
Agricultural-Sciences,C,C,C: 16T^2ℓ/GπD^4
Agricultural-Sciences,C,B,B: 1/8
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D: 두 유전자 간의
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,D,D: 메틸디메
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,D,D: F5
Agricultural-Sciences,D,D,D: SMSMS
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B: 2m²
Agricultural-Sciences,C,B,B: 아스코르빈산
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C: 통계적 방
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,D,D
Agricultural-Sciences,A,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,B,B: 토양투수계
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D: 8
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D: 60일
Agricultural-Sciences,C,B,B: 온도
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D: 약 103포기
Agricultural-Sciences,C,A,A
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,C,C: 이앙기로부터 유효
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,C,C: 출원 → 심사 →
Agricultural-Sciences,D,D,D: 2년 이하 징역
Agricultural-Sciences,B,C,C: pH 5.8~8.5
Agricultural-Sciences,D,D,D: 1일 100톤 이상
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,B,B: MEP 실험법
Agricultural-Sciences,C,B,B: 핵과류 소형
Agricultural-Sciences,C,B,B: 2개월
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B: 50 - 60℃
Agricultural-Sciences,C,C,C: 1.0~7.0% 정도
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,B,B: 국립농산물
Agricultural-Sciences,C,B,B: 약 118 kg/day
Agricultural-Sciences,B,B,B: 2년 이하의 징역
Agricultural-Sciences,C,B,B: 2년
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,B,B: 99.7%
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C: 등재신청-심사
Agricultural-Sciences,B,B,B: 0.324 cal/g℃
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,D,D: 610㎚
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B: 0.55
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,B,B: 0.0084 g
Agricultural-Sciences,D,C,C: 177~250 μm
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D: 23~44 μm
Agricultural-Sciences,B,D,D: 정기적으로 교정
Agricultural-Sciences,C,B,B: 2.5mg/kg
Agricultural-Sciences,D,B,B: 35%/day
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B: 가압 후 유지시
Agricultural-Sciences,C,D,D: 재원조달방법
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,D,D: 5년
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,B,B: 한천. 인공토양
Agricultural-Sciences,A,C,C
Agricultural-Sciences,B,B,B: 7~10%
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,B,B: 8kg
Agricultural-Sciences,B,B,B: 국립종자원장
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,B,B: 파이토플라스마
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D: 농림수산식품부
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D: 평균발아율
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,A,A
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,"C: 1,000만원"
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,D,D: 오염물질의
Agricultural-Sciences,D,B,B: 10-3~10-4
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C: 살분법
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,C,C: 10 μgF-/mL
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,B,B: 품종보호심사수수
Agricultural-Sciences,D,B,B: 0~4℃ 냉암
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,C,C: 3시간
Agricultural-Sciences,B,A,A: 황화
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,A,D,D
Agricultural-Sciences,D,D,D: 21
