category,answer,pred,response
Reading Comprehension,A,A,"The sentence says ""I am nineteen this year; <blank> I will be twenty,"" which requires ""next year"" (내년).

### ANSWER
A"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,C,C,"Phone numbers in Korean use the counter 번 (number), so ""730-0206번이에요"" is correct.

### ANSWER
C"
Reading Comprehension,A,A,"The answer asks about location (""near the school""), so the interrogative must be ""where.""

### ANSWER
A"
Reading Comprehension,B,B,"The passage mentions strawberries and grapes, which are fruits.

### ANSWER
B"
Reading Comprehension,C,A,"### ANSWER
A"
Reading Comprehension,A,A,"**### ANSWER
A**"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,C,C,"C matches: growth speed differences cause density and color differences in wood tissue.

### ANSWER
C"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,D,D,"Aba는 부모가 관심을 가지고 지켜봐야 한다고 했으므로, 간섭하지 말아야 한다는 D는 그의 생각이 아니다.

### ANSWER
D"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,B,B,"### ANSWER
B"
General Knowledge,B,C,"### ANSWER
C"
General Knowledge,C,C,"### ANSWER
C"
General Knowledge,E,E,"말이 많다 = talkative, which corresponds to 수다쟁이 (chatterbox).

### ANSWER
E"
General Knowledge,B,B,"Arresting a group of thieves who stole goods from shops is a law enforcement action, which falls under the National Police Agency's duties, not tax, statistics, forestry, or weather agencies.

### ANSWER
B"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,E,E,"자동차와 반도체는 한국의 대표적인 세계적 수출 품목이다.

### ANSWER
E"
General Knowledge,C,C,"### ANSWER
C"
General Knowledge,D,D,"### ANSWER
D"
Rare Words,D,D,"""간대로""는 '그리 쉽사리'라는 뜻의 부사로, 주로 부정어와 함께 쓰인다.

### ANSWER
D"
Rare Words,A,A,"Reasoning: ""이런 까닭으로""는 '그러므로'의 뜻으로, 이에 해당하는 부사는 '시고로'이다. 나머지는 명사이거나 다른 뜻의 부사이다.

### ANSWER
A"
Rare Words,B,B,"딴죽은 이미 동의하거나 약속한 일을 딴소리·딴 행동으로 뒤집는 것을 비유하는 말로, ""딴죽을 걸다/치다""로 쓰인다.

### ANSWER
B"
Rare Words,E,E,"혜성은 우리말로 '살별' 또는 '길쓸별'이라 부르며, 이는 하늘의 길을 쓸고 다니는 별이라는 뜻입니다.

### ANSWER
E"
Rare Words,A,A,"도통 has the noun sense ""the total sum"" (都統) and the adverbial sense equivalent to 도무지, ""no matter how (one tries).""

### ANSWER
A"
Rare Words,E,E,"지푸라기는 낱낱의 짚 또는 부서진 짚의 부스러기를 뜻하는 단어입니다. 싸라기는 부스러진 쌀알을 의미하므로 해당되지 않습니다.

### ANSWER
E"
Rare Words,D,D,"### ANSWER
D"
Rare Words,E,E,"병구완은 앓는 사람을 돌보아 주는 일을 뜻하는 단어입니다. 다른 선택지들은 신발, 도구, 상태 등을 나타냅니다.

### ANSWER
E"
Rare Words,A,A,"꽃달임(화전놀이)은 삼월 삼일에 진달래꽃으로 화전을 부쳐 먹으며 노는 놀이를 뜻하는 우리말이다.

### ANSWER
A"
Rare Words,A,A,"말·소의 등에 잔뜩 실은 짐을 뜻하는 단위·명사는 '바리'이며, 이와 관련된 낱말은 '꽃바리'입니다.

### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
Rare Words,B,B,"뜨내기 means both an occasional/irregular occurrence and a wanderer without fixed residence.

### ANSWER
B"
Rare Words,D,D,"이등분(二等分)은 둘로 똑같이 나눈다는 뜻입니다.

### ANSWER
D"
Rare Words,C,C,"분실물은 자기도 모르게 잃어버린 물건을 뜻하는 단어입니다. 나머지 선택지는 관련 없는 의미입니다.

### ANSWER
C"
Rare Words,A,A,"물신선은 좋은 말에도 기뻐하지 않고 언짢은 말에도 성내지 않는 무덤덤한 사람을 비유하는 말입니다. 나머지는 배(연락선), 곡선, 수지, 직업 관련 단어로 의미가 맞지 않습니다.

### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
History,E,E,"한자의 음과 훈을 차용하여 우리말을 표기한 차자표기법은 이두(이두문)이다.

### ANSWER
E"
History,D,D,"측우기 is the rain gauge invented during King Sejong's reign to measure rainfall amounts.

### ANSWER
D"
History,D,D,"설총은 신라 시대 인물로, 이두(향찰) 표기를 모아 체계화하여 백성들이 한자를 쉽게 활용할 수 있게 했다고 전해진다. 세종은 훈민정음 창제, 장영실은 과학기구, 정약용은 실학자이므로 해당하지 않는다.

### ANSWER
D"
History,E,E,"용비어천가는 세종 대에 훈민정음으로 편찬된 최초의 작품으로, 조선 왕실 조상들의 업적을 찬양한 악장이다.

### ANSWER
E"
History,B,B,"실학(Practical Learning) is the late Joseon scholarship aimed at improving people's livelihoods and strengthening the nation.

### ANSWER
B"
History,A,A,"고려 말 최무선의 건의로 1377년에 설치되어 화약과 화기 제조를 담당한 임시 관청은 화통도감이다.

### ANSWER
A"
History,D,D,"신사임당의 아들은 율곡 이이이며, 10만 양병설을 주장한 조선의 대표 유학자이다.

### ANSWER
D"
History,B,B,"Cheonghaejin was established on Wando island.

### ANSWER
B"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,C,C,"The poster says visitors to the club room receive snacks and drinks, so snacks and beverages are prepared there. The location is basement floor 1, instruments/skill are not required, and they need people to handle vocals, guitar, keyboard, drums (not the instruments themselves).

### ANSWER
C"
Reading Comprehension,D,D,"본문은 거꾸로 수업이 질문·토론 중심 교실 수업과 동영상 가정 학습이 함께 이루어지는 방식이라고 설명하며, 동영상 수업이 교실 수업보다 많다는 내용은 없다.

### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,C,C,"### ANSWER
C"
General Knowledge,D,D,"후지산(Mt. Fuji)은 일본에 있는 산이고, 지리산·태백산·북한산·한라산은 우리나라의 산입니다.

### ANSWER
D"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,D,D,"자동차와 관련된 도로, 신호등, 교통 표지, 교통경찰은 모두 자동차 운행 때문에 필요한 것이지만, 구명조끼는 물에서의 안전을 위한 장비로 자동차와 무관하다.

### ANSWER
D"
General Knowledge,A,E,"E is incorrect because Korea's legal standard workday is 8 hours, not 10 hours.

### ANSWER
E"
General Knowledge,C,C,"우체국은 공과금 수납 업무와 국제 우편·택배 발송을 모두 처리하는 곳입니다.

### ANSWER
C"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,D,B,"National/public kindergartens' advantage is lower fees compared to private ones.

### ANSWER
B"
General Knowledge,A,A,"귀성(歸省)은 명절에 고향으로 내려가는 것을 뜻하며, 이때 도로가 막혀 고생하는 상황을 '귀성전쟁'이라 비유한다. 귀경은 반대로 고향에서 서울로 돌아오는 것이다.

### ANSWER
A"
Reading Comprehension,A,A,"**A** — 빛은 파장이 짧고 열은 파장이 길다고 명시되어 있다. B는 대기 유무 비교를 왜곡했고, C는 온실효과가 생존의 전제조건이라는 내용과 어긋나며, D는 실제 온실 개수와 무관하다.

### ANSWER
A"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,B,B,"Main idea: if both refuse to yield, catastrophe results — dangerous outcomes possible, applies to international politics too.

### ANSWER
B"
