category,answer,pred,response
Accounting,B,C,C
Accounting,A,C,"C: ￦ 585,000"
Accounting,A,B,B
Accounting,D,C,C
Accounting,C,C,"C: ￦ 100,000 ￦ 50,000"
Accounting,D,C,C
Accounting,D,A,A
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,B,B
Accounting,B,B,B
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,B,B
Accounting,A,A,A: 회사의 대표이사와 회계담당 임원(회계담당 임원이 없는 경우에는 회계업무를 집행하는 직원) (A: The representative director of the company and the accounting officer (or the employee in charge of accounting if there is no accounting officer))
Accounting,D,C,C
Accounting,B,C,C
Accounting,C,C,C
Accounting,C,C,C
Accounting,D,C,C
Accounting,A,B,"B: ￦ 340,000"
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,C,C
Accounting,A,C,C
Accounting,D,B,B
Accounting,D,B,B
Accounting,B,B,B
Accounting,A,C,"C: ￦1,000 과소계상 ￦1,000 과소계상"
Accounting,D,C,"C: 금융자산 평가손실 (당기손익 ) ￦2,500"
Accounting,C,A,A
Accounting,C,C,C
Accounting,A,C,"C: ￦ 12,200"
Accounting,B,C,C
Accounting,D,D,D
Accounting,B,C,C
Accounting,B,C,"C: ￦ 25,000"
Accounting,B,B,B: 전환에 따른 당기손익으로 인식한다.
Accounting,D,C,"C: 기타 포괄손실 ￦ 20,000,000"
Accounting,C,A,A
Accounting,D,D,D
Accounting,A,C,C
Accounting,C,B,B
Accounting,B,C,C
Accounting,A,C,C
Accounting,D,C,C
Accounting,B,B,B
Accounting,C,C,C: 보통주의 배당 수익률은 5%이다.
Accounting,C,D,D
Accounting,B,A,A
Accounting,D,C,C
Accounting,D,C,C
Accounting,C,B,B
Accounting,D,C,C
Accounting,C,B,"B: ￦40,000"
Accounting,A,C,"C: ￦1, 992, 230"
Accounting,C,A,A
Accounting,C,C,C
Accounting,A,B,B
Accounting,D,C,"C: 기타 포괄손실 ￦ 20,000,000"
Accounting,B,C,C
Accounting,D,B,B
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,C,C
Accounting,D,C,"C: ￦2, 986,800 ￦ 75, 130"
Accounting,A,C,C: 자기주식 처분이익
Accounting,C,B,B
Accounting,D,A,A
Accounting,C,C,"C: ￦1,900"
Accounting,A,C,C
Accounting,D,B,B
Accounting,B,B,B: 재고자산
Accounting,D,D,D
Accounting,B,C,C
Accounting,B,D,D
Accounting,B,C,C: 감가상각비 과소계상
Accounting,D,C,C
Accounting,C,C,C
Accounting,D,B,B
Accounting,C,B,B
Accounting,D,C,"C: ￦50,000"
Accounting,C,B,B: 건물
Accounting,C,A,A
Accounting,D,C,"C: ￦50,000"
Accounting,B,C,"C: ￦250,000"
Accounting,C,C,C
Accounting,C,A,A
Accounting,B,C,"C: ￦850,000"
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,C,C
Accounting,C,D,"D: 610,000원"
Accounting,B,C,C
Accounting,C,C,C
Accounting,A,C,"C: ₩1,250,000"
Accounting,D,B,B: 보통예금 (B: Cash in Bank)
Accounting,B,C,C
Accounting,D,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,D,D: 정화식물
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,C,C: NMSMS
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,D,"D: 생장점배양, 화분배양"
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,C,C: 보급종(I)
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,C,C: 보증종( I )
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,D,B,B: 6개월 이내 (B: Within 6 months)
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,B,B
Agricultural-Sciences,A,A,A
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,C,C: 애멸구 (Rice planthopper)
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,D,D: 사염화탄소 (D: Carbon tetrachloride)
Agricultural-Sciences,C,A,A
