qid,id,category,trial,answer,pred,response
KIIP_society_185,KIIP_society_185,Society,0,A,A,"### ANSWER
A"
KIIP_society_186,KIIP_society_186,Society,0,A,A,"### ANSWER
A"
KIIP_society_187,KIIP_society_187,Society,0,A,A,"### ANSWER
A"
KIIP_society_188,KIIP_society_188,Society,0,A,A,"### ANSWER
A"
KIIP_economy_1,KIIP_economy_1,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_2,KIIP_economy_2,Economy,0,A,A,"### ANSWER
A"
KIIP_economy_3,KIIP_economy_3,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_4,KIIP_economy_4,Economy,0,D,D,"### ANSWER
D"
KIIP_law_30,KIIP_law_30,Law,0,A,A,"### ANSWER
A"
KIIP_law_31,KIIP_law_31,Law,0,A,A,"### ANSWER
A"
KIIP_law_32,KIIP_law_32,Law,0,A,A,"### ANSWER
A"
KIIP_law_33,KIIP_law_33,Law,0,A,A,"### ANSWER
A"
KIIP_society_189,KIIP_society_189,Society,0,C,C,"### ANSWER
C"
KIIP_society_190,KIIP_society_190,Society,0,A,A,"### ANSWER
A"
KIIP_society_191,KIIP_society_191,Society,0,C,C,"### ANSWER
C"
KIIP_society_192,KIIP_society_192,Society,0,C,C,"### ANSWER
C"
KIIP_economy_5,KIIP_economy_5,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_6,KIIP_economy_6,Economy,0,B,B,"### ANSWER
B"
KIIP_economy_7,KIIP_economy_7,Economy,0,B,B,"### ANSWER
B"
KIIP_economy_8,KIIP_economy_8,Economy,0,A,A,"### ANSWER
A"
KIIP_economy_9,KIIP_economy_9,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_10,KIIP_economy_10,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_11,KIIP_economy_11,Economy,0,D,C,"### ANSWER
C"
KIIP_economy_12,KIIP_economy_12,Economy,0,A,A,"### ANSWER
A"
KIIP_society_193,KIIP_society_193,Society,0,A,A,"### ANSWER
A"
KIIP_society_194,KIIP_society_194,Society,0,D,D,"### ANSWER
D"
KIIP_society_195,KIIP_society_195,Society,0,C,C,"### ANSWER
C"
