category,answer,pred,response
General Knowledge,B,B,B
General Knowledge,C,C,C
General Knowledge,E,E,E
General Knowledge,B,B,B
General Knowledge,E,E,E
General Knowledge,E,E,E
General Knowledge,C,C,C
General Knowledge,D,D,D
General Knowledge,D,D,D
General Knowledge,E,E,E
General Knowledge,D,B,B
General Knowledge,A,A,A
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,D,A,A
General Knowledge,A,B,B
General Knowledge,B,B,B
General Knowledge,E,B,B
General Knowledge,A,A,A
General Knowledge,B,B,B
General Knowledge,D,D,D
General Knowledge,B,B,B
General Knowledge,B,B,B
General Knowledge,B,E,E
General Knowledge,C,E,E
General Knowledge,A,A,A
General Knowledge,A,C,C
General Knowledge,B,C,C
General Knowledge,A,C,C
General Knowledge,C,C,C
General Knowledge,B,C,C
General Knowledge,A,C,C
General Knowledge,A,E,E
General Knowledge,C,C,C
General Knowledge,E,C,C
General Knowledge,D,C,C
General Knowledge,B,C,C
General Knowledge,D,C,C
General Knowledge,D,B,B
General Knowledge,E,D,D
General Knowledge,C,C,C
General Knowledge,B,C,C
General Knowledge,D,D,D
General Knowledge,B,A,A
General Knowledge,C,C,C
General Knowledge,A,B,B
General Knowledge,D,D,D
General Knowledge,E,A,A
General Knowledge,A,B,B
General Knowledge,D,D,D
General Knowledge,A,D,D
General Knowledge,B,D,D
General Knowledge,E,E,E
General Knowledge,B,A,A
General Knowledge,D,B,B
General Knowledge,A,A,A
General Knowledge,E,B,B
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,E,B,B
General Knowledge,A,C,C
General Knowledge,D,A,A
General Knowledge,B,A,A
General Knowledge,C,B,B
General Knowledge,C,C,C
General Knowledge,C,A,A
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,C,A,A
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,A,,지드래곤 (A)
General Knowledge,E,B,B
General Knowledge,B,A,A
General Knowledge,C,C,C
General Knowledge,D,A,A
General Knowledge,C,A,A
General Knowledge,B,E,E
General Knowledge,C,A,A
General Knowledge,C,C,C
General Knowledge,C,C,C
General Knowledge,B,C,C
General Knowledge,C,B,B
General Knowledge,D,B,B
General Knowledge,C,A,A
General Knowledge,B,C,C
General Knowledge,C,C,C
General Knowledge,A,A,A
General Knowledge,C,C,C
General Knowledge,B,A,A
General Knowledge,C,,빨간맛 (D)
General Knowledge,D,C,C
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,C,A,A
General Knowledge,D,C,C
General Knowledge,C,E,E
General Knowledge,D,B,B
General Knowledge,C,C,C
General Knowledge,C,E,E
General Knowledge,B,A,A
General Knowledge,E,C,C
General Knowledge,D,B,B
General Knowledge,A,C,C
General Knowledge,A,C,C
General Knowledge,C,B,B
General Knowledge,E,D,D
General Knowledge,D,B,B
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,A,C,C
General Knowledge,E,A,A
General Knowledge,D,C,C
General Knowledge,B,B,B
General Knowledge,C,B,B
General Knowledge,A,C,C
General Knowledge,E,C,C
General Knowledge,D,B,B
General Knowledge,B,C,C
General Knowledge,D,A,A
General Knowledge,C,C,C
General Knowledge,D,E,E
General Knowledge,A,C,C
General Knowledge,B,A,A
General Knowledge,E,C,C
General Knowledge,C,B,B
General Knowledge,B,B,B
General Knowledge,A,C,C
General Knowledge,C,A,A
General Knowledge,B,B,B
General Knowledge,D,A,A
General Knowledge,E,A,A
General Knowledge,B,B,B
General Knowledge,C,C,C
General Knowledge,A,A,A: 남매 (Siblings)
General Knowledge,C,C,C
General Knowledge,B,B,B
General Knowledge,E,D,D
General Knowledge,C,C,C
General Knowledge,A,B,B
General Knowledge,D,D,D
General Knowledge,C,B,B
General Knowledge,D,C,C
General Knowledge,B,B,B
General Knowledge,E,C,C
General Knowledge,A,A,A
General Knowledge,C,A,A
General Knowledge,C,E,E
General Knowledge,D,D,D
General Knowledge,A,A,A
General Knowledge,E,C,C
General Knowledge,B,B,B
General Knowledge,E,A,A
General Knowledge,E,C,C
General Knowledge,A,B,B
General Knowledge,D,B,B
General Knowledge,E,A,A
General Knowledge,A,B,B
General Knowledge,C,C,C
General Knowledge,C,E,E
General Knowledge,D,E,E
General Knowledge,B,C,C
General Knowledge,C,A,A
General Knowledge,A,A,A
General Knowledge,B,B,B
General Knowledge,B,A,A
General Knowledge,A,B,B
General Knowledge,D,D,D
General Knowledge,A,A,A
General Knowledge,E,E,E
General Knowledge,A,A,A
General Knowledge,C,A,A
General Knowledge,C,C,C
General Knowledge,B,D,D
General Knowledge,C,C,C
History,B,B,B
History,E,E,E
History,E,C,C
History,C,A,A
History,C,C,C
History,C,E,E
History,D,A,A
History,B,A,A
History,E,B,B
History,E,C,C
History,D,B,B
History,E,E,E
History,C,A,A
History,C,B,B
History,C,C,C
History,E,E,E
History,B,C,C
History,E,C,C
History,D,C,C
History,D,A,A
History,E,A,A
History,B,C,C
History,A,A,A
History,D,C,C
History,B,D,D
History,B,B,B
