id,category,trial,answer,pred,response
dentist_210,dentist,0,D,D,D
dentist_211,dentist,0,D,D,D
dentist_212,dentist,0,D,D,D
dentist_213,dentist,0,A,A,A
doctor_0,doctor,0,C,C,C
doctor_1,doctor,0,C,C,C
doctor_2,doctor,0,A,A,A
doctor_3,doctor,0,C,C,C
nurse_167,nurse,0,C,C,C
nurse_168,nurse,0,B,B,B
nurse_169,nurse,0,A,A,A
nurse_170,nurse,0,D,D,D
pharm_493,pharm,0,C,C,C
pharm_494,pharm,0,B,B,B
pharm_495,pharm,0,E,E,E
pharm_496,pharm,0,B,B,B
doctor_0,doctor,0,C,C,C
doctor_1,doctor,0,C,C,C
doctor_2,doctor,0,A,A,A
doctor_3,doctor,0,C,C,C
pharm_493,pharm,0,C,C,C
pharm_494,pharm,0,B,B,B
pharm_495,pharm,0,E,E,E
pharm_496,pharm,0,B,B,B
dentist_210,dentist,0,D,D,D
dentist_211,dentist,0,D,D,D
dentist_212,dentist,0,D,D,D
dentist_213,dentist,0,A,A,A
nurse_769,nurse,0,A,A,A
nurse_770,nurse,0,D,D,D
nurse_771,nurse,0,A,A,A
nurse_772,nurse,0,B,B,B
nurse_167,nurse,0,C,C,C
nurse_168,nurse,0,B,B,B
nurse_169,nurse,0,A,A,A
nurse_170,nurse,0,D,D,D
nurse_167,nurse,0,C,C,C
nurse_168,nurse,0,B,B,B
nurse_169,nurse,0,A,A,A
nurse_170,nurse,0,D,D,D
pharm_493,pharm,0,C,C,C
pharm_494,pharm,0,B,B,B
pharm_495,pharm,0,E,E,E
pharm_496,pharm,0,B,B,B
doctor_0,doctor,0,C,C,C
doctor_1,doctor,0,C,C,C
doctor_2,doctor,0,A,A,A
doctor_3,doctor,0,C,C,C
nurse_769,nurse,0,A,A,A
nurse_770,nurse,0,D,D,D
nurse_771,nurse,0,A,A,A
nurse_772,nurse,0,B,B,B
nurse_769,nurse,0,A,A,A
nurse_770,nurse,0,D,D,D
nurse_771,nurse,0,A,A,A
nurse_772,nurse,0,B,B,B
nurse_167,nurse,0,C,C,C
nurse_168,nurse,0,B,B,B
nurse_169,nurse,0,A,A,A
nurse_170,nurse,0,D,D,D
pharm_493,pharm,0,C,C,C
pharm_494,pharm,0,B,B,B
pharm_495,pharm,0,E,E,E
pharm_496,pharm,0,B,B,B
doctor_0,doctor,0,C,C,C
doctor_1,doctor,0,C,C,C
doctor_2,doctor,0,A,A,A
doctor_3,doctor,0,C,C,C
dentist_210,dentist,0,D,D,D
dentist_211,dentist,0,D,D,D
dentist_212,dentist,0,D,D,D
dentist_213,dentist,0,A,A,A
nurse_773,nurse,0,D,D,D
nurse_774,nurse,0,B,B,B
nurse_775,nurse,0,E,E,E
nurse_776,nurse,0,A,A,A
pharm_497,pharm,0,C,C,C
pharm_498,pharm,0,B,B,B
pharm_499,pharm,0,E,C,C
pharm_500,pharm,0,D,D,D
nurse_171,nurse,0,A,D,D
nurse_172,nurse,0,D,D,D
nurse_173,nurse,0,A,A,A
nurse_174,nurse,0,B,B,B
doctor_4,doctor,0,E,D,D
doctor_5,doctor,0,A,A,A
doctor_6,doctor,0,D,E,E
doctor_7,doctor,0,B,B,B
dentist_214,dentist,0,E,E,E
dentist_215,dentist,0,D,C,C
dentist_216,dentist,0,C,C,C
dentist_217,dentist,0,C,C,C
nurse_777,nurse,0,E,E,E
nurse_778,nurse,0,C,C,C
nurse_779,nurse,0,C,D,D
nurse_780,nurse,0,B,B,B
nurse_175,nurse,0,B,B,B
nurse_176,nurse,0,A,A,A
nurse_177,nurse,0,E,E,E
nurse_178,nurse,0,A,A,A
doctor_8,doctor,0,C,E,E
doctor_9,doctor,0,C,C,C
doctor_10,doctor,0,A,B,B
doctor_11,doctor,0,B,B,B
pharm_501,pharm,0,E,E,E
pharm_502,pharm,0,D,D,D
pharm_503,pharm,0,A,A,A
pharm_504,pharm,0,D,D,D
dentist_218,dentist,0,C,B,B
dentist_219,dentist,0,C,C,C
dentist_220,dentist,0,E,E,E
dentist_221,dentist,0,D,D,D
nurse_781,nurse,0,C,C,C
nurse_782,nurse,0,B,B,B
nurse_783,nurse,0,E,E,E
nurse_784,nurse,0,A,A,A
nurse_179,nurse,0,C,C,C
nurse_180,nurse,0,E,E,E
nurse_181,nurse,0,C,C,C
nurse_182,nurse,0,D,D,D
doctor_12,doctor,0,A,A,A
doctor_13,doctor,0,A,C,C
doctor_14,doctor,0,E,E,E
doctor_15,doctor,0,E,C,C
pharm_505,pharm,0,C,C,C
pharm_506,pharm,0,E,E,E
pharm_507,pharm,0,A,A,A
pharm_508,pharm,0,D,D,D
dentist_222,dentist,0,E,D,D
dentist_223,dentist,0,A,A,A
dentist_224,dentist,0,C,C,C
dentist_225,dentist,0,D,D,D
nurse_785,nurse,0,D,D,D
nurse_786,nurse,0,E,E,E
nurse_787,nurse,0,E,E,E
nurse_788,nurse,0,D,D,D
nurse_183,nurse,0,E,E,E
nurse_184,nurse,0,B,B,B
nurse_185,nurse,0,B,B,B
nurse_186,nurse,0,B,B,B
pharm_509,pharm,0,D,D,D
pharm_510,pharm,0,E,E,E
pharm_511,pharm,0,D,D,D
pharm_512,pharm,0,E,E,E
dentist_226,dentist,0,B,B,B
dentist_227,dentist,0,A,E,E
dentist_228,dentist,0,E,E,E
dentist_229,dentist,0,E,E,E
nurse_789,nurse,0,C,C,C
nurse_790,nurse,0,A,A,A
nurse_791,nurse,0,D,D,D
nurse_792,nurse,0,E,E,E
nurse_187,nurse,0,E,E,E
nurse_188,nurse,0,E,E,E
nurse_189,nurse,0,A,A,A
nurse_190,nurse,0,C,C,C
pharm_513,pharm,0,E,E,E
pharm_514,pharm,0,C,C,C
pharm_515,pharm,0,D,D,D
pharm_516,pharm,0,E,E,E
dentist_230,dentist,0,C,E,E
dentist_231,dentist,0,A,A,A
dentist_232,dentist,0,D,D,D
dentist_233,dentist,0,A,D,D
doctor_16,doctor,0,E,E,E
doctor_17,doctor,0,C,A,A
doctor_18,doctor,0,E,E,E
doctor_19,doctor,0,D,D,D
nurse_191,nurse,0,D,D,D
nurse_192,nurse,0,D,D,D
nurse_193,nurse,0,A,A,A
nurse_194,nurse,0,D,D,D
nurse_793,nurse,0,D,D,D
nurse_794,nurse,0,D,D,D
nurse_795,nurse,0,C,E,E
nurse_796,nurse,0,B,B,B
pharm_517,pharm,0,D,D,D
pharm_518,pharm,0,B,A,A
pharm_519,pharm,0,B,B,B
pharm_520,pharm,0,D,D,D
dentist_234,dentist,0,A,A,A
dentist_235,dentist,0,D,D,D
dentist_236,dentist,0,E,E,E
dentist_237,dentist,0,E,E,E
nurse_195,nurse,0,B,B,B
nurse_196,nurse,0,A,A,A
nurse_197,nurse,0,C,C,C
nurse_198,nurse,0,C,C,C
nurse_797,nurse,0,E,E,E
nurse_798,nurse,0,D,D,D
nurse_799,nurse,0,A,A,A
nurse_800,nurse,0,C,C,C
pharm_521,pharm,0,A,A,A
pharm_522,pharm,0,A,A,A
pharm_523,pharm,0,A,A,A
pharm_524,pharm,0,A,A,A
dentist_238,dentist,0,A,B,B
dentist_239,dentist,0,C,D,D
dentist_240,dentist,0,A,A,A
dentist_241,dentist,0,E,E,E
doctor_20,doctor,0,E,E,E
doctor_21,doctor,0,E,E,E
doctor_22,doctor,0,C,C,C
doctor_23,doctor,0,D,D,D
pharm_525,pharm,0,D,D,D
pharm_526,pharm,0,B,E,E
pharm_527,pharm,0,E,E,E
pharm_528,pharm,0,A,A,A
nurse_801,nurse,0,A,A,A
nurse_802,nurse,0,B,B,B
nurse_803,nurse,0,C,C,C
nurse_804,nurse,0,B,B,B
doctor_24,doctor,0,E,E,E
doctor_25,doctor,0,E,E,E
doctor_26,doctor,0,A,A,A
doctor_27,doctor,0,E,E,E
nurse_199,nurse,0,D,D,D
nurse_200,nurse,0,B,B,B
nurse_201,nurse,0,A,A,A
nurse_202,nurse,0,E,E,E
pharm_529,pharm,0,A,A,A
pharm_530,pharm,0,B,B,B
pharm_531,pharm,0,E,E,E
pharm_532,pharm,0,E,E,E
dentist_242,dentist,0,D,D,D
dentist_243,dentist,0,E,E,E
dentist_244,dentist,0,E,E,E
dentist_245,dentist,0,D,D,D
doctor_28,doctor,0,A,A,A
doctor_29,doctor,0,C,E,E
doctor_30,doctor,0,B,B,B
doctor_31,doctor,0,C,C,C
nurse_203,nurse,0,A,A,A
nurse_204,nurse,0,C,C,C
nurse_205,nurse,0,E,E,E
nurse_206,nurse,0,D,D,D
pharm_533,pharm,0,B,B,B
pharm_534,pharm,0,E,E,E
pharm_535,pharm,0,D,D,D
pharm_536,pharm,0,D,D,D
dentist_246,dentist,0,A,A,A
dentist_247,dentist,0,E,E,E
dentist_248,dentist,0,C,C,C
dentist_249,dentist,0,C,C,C
