qid,id,category,trial,answer,pred,response
KIIP_politics_62,KIIP_politics_62,Politics,0,B,B,"일제강점기는 1910년부터 1945년까지였으며, 일본이 제2차 세계대전에서 연합국에 항복하면서 한국은 해방을 맞이했습니다. 일본의 항복 선언일은 1945년 8월 15일로, 이 날을 광복절로 기념합니다. 따라서 정답은 B입니다.

### ANSWER
B"
KIIP_politics_63,KIIP_politics_63,Politics,0,D,D,"### ANSWER
D"
KIIP_politics_64,KIIP_politics_64,Politics,0,B,B,"한국전쟁은 1950년 6월 25일 새벽에 북한군이 38선을 넘어 남침하면서 시작되었습니다. 이 날짜는 한국 현대사에서 가장 중요한 분기점 중 하나로, 이후 유엔군의 참전과 정전 협정 체결까지 이어졌습니다. 따라서 보기 중 정답은 1950년 6월 25일입니다.

### ANSWER
B"
KIIP_politics_65,KIIP_politics_65,Politics,0,C,C,"### ANSWER
C"
KIIP_politics_66,KIIP_politics_66,Politics,0,C,C,"### ANSWER
C"
KIIP_politics_67,KIIP_politics_67,Politics,0,A,A,"남북관계 개선 이후 가장 두드러진 변화는 경제적·문화적 교류의 증가이다. 개성공단, 금강산 관광, 이산가족 상봉, 문화공연 교류 등이 대표적인 예이다. 군사적 협력이나 정치적 동맹은 완전히 성립되지 않았고, 과학기술 교류도 경제·문화 교류에 비해 제한적이었다. 따라서 정답은 A이다.

### ANSWER
A"
KIIP_politics_68,KIIP_politics_68,Politics,0,B,C,"### ANSWER
C"
KIIP_politics_69,KIIP_politics_69,Politics,0,B,B,B
KIIP_tradition_128,KIIP_tradition_128,Tradition,0,B,B,"돌잔치에서 받은 금반지는 단순히 보관만 하는 것이 아니라, 아이가 자라 결혼할 때 결혼반지로 다시 만들어 활용하는 전통이 있다. 따라서 가장 적절한 선택지는 B이다.

### ANSWER
B"
KIIP_tradition_129,KIIP_tradition_129,Tradition,0,D,D,"금값이 크게 오르면서 돌잔치에서 전통적으로 선물하던 금반지 대신 부담이 적은 현금 형태의 축의금을 주는 경우가 많아졌습니다. 따라서 정답은 축의금입니다.

### ANSWER
D"
KIIP_tradition_130,KIIP_tradition_130,Tradition,0,B,B,"### ANSWER
B"
KIIP_tradition_131,KIIP_tradition_131,Tradition,0,A,A,"한국에서는 생일을 가족이나 친구들과 함께 모여 식사를 하고 선물을 주고받는 것이 일반적입니다. 따라서 가장 적절한 선택지는 A입니다.

### ANSWER
A"
KIIP_tradition_132,KIIP_tradition_132,Tradition,0,C,C,"In Korean culture, miyeokguk (seaweed soup) is traditionally eaten on birthdays to honor the mother and symbolize health. The other options are common Korean dishes but are not specifically associated with birthday celebrations. Therefore, the correct choice is C.

### ANSWER
C"
KIIP_tradition_133,KIIP_tradition_133,Tradition,0,A,A,"한국에서는 아이의 첫 번째 생일인 돌과 60번째 생일인 환갑을 특별한 의미로 기념합니다.

### ANSWER
A"
KIIP_tradition_134,KIIP_tradition_134,Tradition,0,B,B,"한국에서는 아기가 태어난 지 100일이 되는 날을 '백일'이라고 하며, 이날 백일잔치를 열어 아기의 건강과 장수를 기원하는 전통이 있다. 따라서 정답은 100일이다.

### ANSWER
B"
KIIP_tradition_135,KIIP_tradition_135,Tradition,0,B,B,"한국에서 아기의 첫 번째 생일을 기념하는 잔치를 ‘돌잔치’라고 부릅니다. 백일잔치는 태어난 지 100일, 환갑잔치는 60세, 칠순잔치는 70세를 기념하는 행사입니다. 따라서 정답은 B입니다.

### ANSWER
B"
KIIP_law_31,KIIP_law_31,Law,0,A,A,"In Korean family law, divorce is legally achieved through either consensual divorce (협의이혼) or judicial divorce (재판이혼). Mediation, arbitration, and negotiation are not independent statutory divorce methods. Therefore, the correct answer is A.

### ANSWER
A"
KIIP_law_32,KIIP_law_32,Law,0,A,A,"이혼의 원인을 제공한 잘못 있는 배우자는 상대방의 정신적 고통에 대한 손해배상으로 위자료를 지급할 의무가 있습니다. 재산분할이나 양육비는 과실 유무와 별개로 정해지는 사항이며, 이혼 비용 전액을 부담하는 규정은 없습니다. 따라서 가장 적절한 답은 A입니다.

### ANSWER
A"
KIIP_law_33,KIIP_law_33,Law,0,A,A,"이혼 시 자녀의 양육권은 민법상 원칙적으로 부모가 협의하여 정하고, 협의가 이루어지지 않을 경우에만 가정법원이 결정합니다. 따라서 가장 기본적인 결정 방식은 당사자 간 협의입니다. 자녀의 의사는 참고 자료일 뿐 단독 기준이 아니며, 변호사가 결정하는 것도 아닙니다.

### ANSWER
A"
KIIP_law_34,KIIP_law_34,Law,0,A,A,"In Korean family law, if divorcing parents fail to reach an agreement on child custody, the Family Court decides the custody arrangement. The court prioritizes the child's best interests and welfare. While the child's opinion may be considered, it is not the sole determining factor. Lawyers do not have authority to decide custody, and the parents' agreement is absent in this scenario. Therefore, the correct answer is A.

### ANSWER
A"
KIIP_law_35,KIIP_law_35,Law,0,A,A,"자녀를 맡아 키우는 양육자는 상대방에게 자녀의 양육에 필요한 비용, 즉 양육비를 청구할 수 있다. 이는 민법상 양육비 청구권에 해당한다. 이혼 비용이나 위자료, 재산분할은 양육과 직접 관련된 것이 아니다. 따라서 자녀 양육에 필요한 비용을 요구할 수 있다.

### ANSWER
A"
KIIP_law_36,KIIP_law_36,Law,0,A,A,"### ANSWER
A"
KIIP_law_37,KIIP_law_37,Law,0,C,C,"변호사를 구하는 데 어려움이 있을 때, 경제적 이유나 법률 지식 부족으로 어려움을 겪는 사람들을 위해 국가가 설립한 대한법률구조공단에서 무료 또는 저렴한 법률 구조 서비스를 제공합니다. 외국 대사관은 자국민의 영사 보호를 위한 곳이므로 해당 사항이 없고, 국가나 개인적 연결은 일반적인 법률 구조 기관이 아닙니다. 대한법률구조공단은 변호사 선임이 어려운 사람에게 법률 상담, 소송 대리 등을 지원합니다. 따라서 대한법률구조공단이 정답입니다.

### ANSWER
C"
KIIP_law_38,KIIP_law_38,Law,0,D,D,"대한법률구조공단은 경제적 어려움을 겪는 사람들에게 법률 상담, 소송 대리, 권리 보호 등의 법률 구조 서비스를 제공하는 기관입니다. 금융 상품 판매는 법률구조공단의 역할이 아닙니다.

### ANSWER
D"
KIIP_economy_1,KIIP_economy_1,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_2,KIIP_economy_2,Economy,0,A,A,"### ANSWER
A"
KIIP_economy_3,KIIP_economy_3,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_4,KIIP_economy_4,Economy,0,D,D,"한강은 서울특별시를 관통하여 흐르는 강이다. 부산, 대구, 인천은 한강이 통과하는 도시가 아니다. 따라서 정답은 서울이다.

### ANSWER
D"
KIIP_economy_5,KIIP_economy_5,Economy,0,C,C,"In the 1970s, South Korea implemented the Heavy and Chemical Industry Promotion Plan, focusing on steel, shipbuilding, chemicals, and machinery. This marked a major shift from the light industry of the 1960s. Agriculture was already a traditional sector, and services expanded later. Therefore, the industry that began to develop prominently from the 1970s is the heavy chemical industry.

### ANSWER
C"
KIIP_economy_6,KIIP_economy_6,Economy,0,B,B,"### ANSWER
B"
KIIP_economy_7,KIIP_economy_7,Economy,0,B,B,"### ANSWER
B"
KIIP_economy_8,KIIP_economy_8,Economy,0,A,A,"### ANSWER
A"
Kedu_history_14,Kedu_history_14,History,0,B,B,"두레는 농촌에서 상호부조를 목적으로 만들어진 공동 노동 조직으로, 모내기·김매기·타작 등의 농사일을 함께 수행했다. 또한 일을 마친 뒤에는 함께 음식을 먹고 놀이를 즐기는 공동체 문화가 있었다. 그러나 농번기에 공동 양육과 교육을 행한 것은 두레의 일반적인 기능이 아니다. 따라서 옳지 않은 설명은 B이다.

### ANSWER
B"
Kedu_history_15,Kedu_history_15,History,0,A,A,"Gyeongbokgung was the main palace of the Joseon dynasty and was also called Bukgwol, so option A is correct. Option B is wrong because it was destroyed during the Imjin War, not the Byeongja Horan. Option C is incorrect because the banquet pavilion was Gyeonghoeru, not Yeonghoeru. Option D reverses the gate locations: Geonchunmun is on the east and Yeongchumun is on the west.

### ANSWER
A"
Kedu_history_16,Kedu_history_16,History,0,B,B,"기미독립선언문은 단독으로 유네스코 세계기록유산에 등재되지 않았으며, 동의보감, 새마을운동 기록물, 5·18 민주화운동 기록물은 모두 등재되어 있다.

### ANSWER
B"
Kedu_history_17,Kedu_history_17,History,0,D,D,"3·1운동 이후 일제는 무단통치에서 문화통치로 전환했고, 언론·출판을 일부 허용했으며, 헌병경찰제를 보통경찰제로 바꾸었다. 산미증식계획은 쌀 증산을 내세웠지만 실제로는 조선인의 식량 사정을 악화시켰으므로 옳지 않다.

### ANSWER
D"
Kedu_history_18,Kedu_history_18,History,0,A,A,"고종은 1897년 대한제국을 선포하면서 황제의 권위를 강화하기 위해 하늘에 제사를 지내는 제천의례를 거행했습니다. 이를 위해 서울에 환구단을 조성하였으며, 이는 황제국으로서의 위상을 드러내는 상징적인 장소였습니다. 참성단은 단군과 관련된 제단이고, 사직단은 토지와 곡식의 신에게 제사하던 곳입니다. 따라서 대한제국 고종이 제천의례를 위해 만든 제단은 환구단입니다.

### ANSWER
A"
Kedu_history_19,Kedu_history_19,History,0,A,A,"The 7·4 South-North Joint Statement was issued in 1972, followed by the Hanminjok Community Unification Plan in 1989, the Joint Declaration on the Denuclearization of the Korean Peninsula in 1992, and the 6·15 South-North Joint Declaration in 2000. Therefore the correct chronological order is ㄱ - ㄷ - ㄹ - ㄴ.

### ANSWER
A"
Kedu_history_20,Kedu_history_20,History,0,B,C,"### ANSWER
C"
Kedu_history_21,Kedu_history_21,History,0,B,B,"종묘는 조선시대 역대 왕과 왕비의 신위를 모신 사당으로, 처음에는 태묘라 불렸습니다. 임진왜란 때 소실된 것을 17세기 초에 중건하였고, 1995년 유네스코 세계유산으로 등재되었습니다. 그러나 정전은 태묘 서쪽에 지은 별묘가 아니라 종묘의 본전(본래 중심 건물)이며, 서쪽에 있는 별묘는 영녕전입니다. 따라서 옳지 않은 것은 B입니다.

### ANSWER
B"
KIIP_society_187,KIIP_society_187,Society,0,A,A,"맞벌이 가정이 증가하면서 어린이집과 유치원의 보육·교육 기능이 더욱 필요해졌기 때문에 그 중요성이 높아지고 있다. 다른 보기들은 중요성 증가의 직접적인 원인으로 보기 어렵다.

### ANSWER
A"
KIIP_society_188,KIIP_society_188,Society,0,A,A,"### ANSWER
A"
KIIP_society_189,KIIP_society_189,Society,0,C,C,"### ANSWER
C"
KIIP_society_190,KIIP_society_190,Society,0,A,A,"### ANSWER
A"
KIIP_society_191,KIIP_society_191,Society,0,C,C,"국·공립 교육기관은 정원이 제한되어 있어 신청 후에도 대기하거나 선발 과정을 거쳐야 하는 경우가 많습니다. 따라서 즉시 등록하거나 신청만으로 바로 등록할 수는 없습니다.

### ANSWER
C"
