qid,category,subcategory,level,answer,pred,response
175,Semantics,Semantic Compatibility,1,H,H,"""매기다""는 값이나 순위 등을 정하는 동작으로 '여행'과 결합할 수 없어 의미적으로 성립하지 않는다. 다른 문장들은 모두 자연스러운 연어 관계를 보인다.

### ANSWER
H"
176,Semantics,Semantic Compatibility,1,E,E,"""결심하다""는 목적어로 '명단' 같은 명사를 취할 수 없어 의미적으로 성립하지 않는다(결심의 대상은 행위나 계획이어야 함). 다른 문장들은 서술어와 논항의 결합이 자연스럽다.

### ANSWER
E"
177,Syntax,Agreement,2,H,H,"능동문 → 피동문 전환은 목적어가 주어가 되고 서술어에 피동 접사가 붙어야 한다. H는 ""시연이가 찬형이를 잡았다""의 목적어 '찬형이'가 주어가 되고 '잡히다'라는 피동 표현이 쓰였다. 나머지는 사동문 전환이거나(A, B, C, D, F, G, I, J) 피동문을 능동문으로 바꾼 예(E)이다.

### ANSWER
H"
178,Phonetics/Phonology,Phonological Constraints,1,J,J,"모음 축약(크+어서→커서)은 모음과 모음 사이의 배열 제약에 해당하며, 나머지는 모두 자음 축약(격음화)이나 경음화 등 자음과 자음의 결합 제약에 따른 현상이다.

### ANSWER
J"
525,Semantics,Rhetorical Expressions,1,H,H,"평균대에서 날아오르는 모습은 가볍고 빠르며 자유로운 이미지와 연결되어야 한다. '거대한 산처럼'은 무겁고 움직이지 않는 정적인 이미지여서 날아오르는 동작을 수식하기에 부적절하다. 나머지는 가벼움, 속도, 감정의 분출 등으로 비유가 성립한다.

### ANSWER
H"
526,Semantics,Numeral Classifiers,1,B,B,"트레이닝복 상하의 세트는 옷이므로 옷을 세는 단위인 '벌'을 사용해야 한다. '켤레'는 신발·양말, '통·대·장' 등은 옷에 맞지 않는다.

### ANSWER
B"
527,Semantics,Numeral Classifiers,2,H,H,"시금치와 같은 채소는 묶어 파는 단위인 '단'을 사용한다. 홉·되·말·석은 곡식 부피, 척은 배, 벌은 옷, 망은 그물 등에 쓰이므로 부적절하다. '묶음'은 표기 오류이며 관습적으로 시금치는 '단'으로 센다.

### ANSWER
H"
528,Semantics,Numeral Classifiers,3,D,D,"오징어를 세는 고유 단위는 '축'(오징어 20마리)입니다. '쾌'는 북어, '톳'은 김, '태'는 나무(또는 갈모)에 쓰이는 단위로 오징어에는 맞지 않습니다. 따라서 시험 조리용 샘플로 오징어 한 축을 주문한다는 표현이 가장 적절합니다.

### ANSWER
D"
0,Semantics,Inter-sentence Relations,3,H,H,"대화에서 수빈은 영진의 부탁 내용을 궁금해하며 ""무슨 일을 꾸미길래?""처럼 묻고, 이전에 신세를 ""졌어서""라는 이유를 대며, 자신이 일단 ""들어봐야지""라고 스스로의 의지를 표현하는 것이 자연스럽다. C의 '들어보렴'이나 F의 '들어주라'는 상대에게 명령하는 형태라 맥락에 맞지 않는다.

### ANSWER
H"
1,Semantics,Conjunctions,1,E,E,"처음 빈칸은 통념을 반박하므로 '그러나', 다음은 '~일지도 모른다'와 호응하는 '어쩌면', 세 번째는 '~때문이다'와 호응하는 '그 이유는', 마지막은 추가 정보를 더하는 '아울러'가 자연스럽다.

### ANSWER
E"
