qid,category,answer,pred,response
maritime_engineering-0,maritime_engineering,B,D,"### ANSWER
D"
maritime_engineering-1,maritime_engineering,A,A,"### ANSWER
A"
maritime_engineering-2,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-3,maritime_engineering,A,A,"### ANSWER
A"
maritime_engineering-4,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-5,maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering-6,maritime_engineering,A,A,"### ANSWER
A"
maritime_engineering-7,maritime_engineering,C,D,"### ANSWER
D"
environmental_science-39,environmental_science,D,B,"### ANSWER
B"
environmental_science-40,environmental_science,C,C,"### ANSWER
C"
environmental_science-41,environmental_science,D,D,"### ANSWER
D"
environmental_science-42,environmental_science,C,C,"### ANSWER
C"
maritime_engineering-8,maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering-9,maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering-10,maritime_engineering,A,C,"### ANSWER
C"
maritime_engineering-11,maritime_engineering,C,C,"### ANSWER
C"
environmental_science-43,environmental_science,D,B,"### ANSWER
B"
environmental_science-44,environmental_science,D,D,"### ANSWER
D"
environmental_science-45,environmental_science,B,B,"### ANSWER
B"
environmental_science-46,environmental_science,B,C,"### ANSWER
C"
maritime_engineering-12,maritime_engineering,C,D,"### ANSWER
D"
maritime_engineering-13,maritime_engineering,A,B,"### ANSWER
B"
maritime_engineering-14,maritime_engineering,A,A,"### ANSWER
A"
maritime_engineering-15,maritime_engineering,B,B,"### ANSWER
B"
accounting-26,accounting,A,A,"### ANSWER
A"
accounting-27,accounting,C,C,"### ANSWER
C"
accounting-28,accounting,C,C,"### ANSWER
C"
accounting-29,accounting,A,A,"### ANSWER
A"
maritime_engineering-16,maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering-17,maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering-18,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-19,maritime_engineering,A,A,"### ANSWER
A"
machine_design_and_manufacturing-98,machine_design_and_manufacturing,D,A,"### ANSWER
A"
machine_design_and_manufacturing-99,machine_design_and_manufacturing,D,B,"B는 금형 제작 후 표면 경화처리(질화 등)를 실시하는 경우가 있다는 C의 내용과 상충되므로, ""금형 제작 후 열처리를 하지 않는다""는 설명은 프리하든강의 특성과 맞지 않습니다.

### ANSWER
B"
chemical_engineering-0,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-1,chemical_engineering,B,B,"### ANSWER
B"
maritime_engineering-20,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-21,maritime_engineering,A,A,"### ANSWER
A"
maritime_engineering-22,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-23,maritime_engineering,A,A,"### ANSWER
A"
environmental_science-47,environmental_science,C,C,"### ANSWER
C"
environmental_science-48,environmental_science,C,C,"### ANSWER
C"
environmental_science-49,environmental_science,C,B,"### ANSWER
B"
environmental_science-50,environmental_science,B,B,"### ANSWER
B"
chemical_engineering-2,chemical_engineering,B,B,"### ANSWER
B"
chemical_engineering-3,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-4,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-5,chemical_engineering,A,D,"### ANSWER
D"
accounting-30,accounting,A,A,"### ANSWER
A"
accounting-31,accounting,D,D,"### ANSWER
D"
accounting-32,accounting,B,B,"### ANSWER
B"
accounting-33,accounting,D,D,"### ANSWER
D"
maritime_engineering-24,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-25,maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering-26,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-27,maritime_engineering,A,A,"### ANSWER
A"
environmental_science-51,environmental_science,B,B,"### ANSWER
B"
environmental_science-52,environmental_science,C,A,"### ANSWER
A"
environmental_science-53,environmental_science,C,C,"### ANSWER
C"
environmental_science-54,environmental_science,C,C,"### ANSWER
C"
chemical_engineering-6,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-7,chemical_engineering,A,B,"### ANSWER
B"
