category,answer,pred,response
machine_design_and_manufacturing,D,C,C
machine_design_and_manufacturing,D,A,A
chemical_engineering,D,D,D
chemical_engineering,B,B,B
chemical_engineering,B,B,B
chemical_engineering,D,D,D
chemical_engineering,D,D,D
chemical_engineering,A,D,D
political_science_and_sociology,D,D,D
political_science_and_sociology,D,D,D
political_science_and_sociology,C,C,C
political_science_and_sociology,D,D,D
political_science_and_sociology,C,C,C
political_science_and_sociology,D,D,D
political_science_and_sociology,D,D,D
political_science_and_sociology,B,B,B
environmental_science,D,C,C
environmental_science,C,C,C
environmental_science,D,D,D
environmental_science,C,C,C
environmental_science,D,C,C
environmental_science,D,D,D
environmental_science,B,B,B
environmental_science,B,B,B
marketing,D,D,D
marketing,A,C,C
marketing,D,D,D
marketing,B,B,B
marketing,C,C,C
marketing,D,D,D
marketing,A,A,A
marketing,A,A,A
accounting,A,A,A
accounting,C,C,C
accounting,C,C,C
accounting,A,A,A
accounting,A,A,A
accounting,D,D,D
accounting,B,B,B
accounting,D,D,D
law,C,C,C
law,D,D,D
law,D,D,D
law,D,D,D
law,D,D,D
law,B,B,B
law,C,C,C
law,B,B,B
chemical_engineering,D,D,D
chemical_engineering,A,B,B
chemical_engineering,B,B,B
chemical_engineering,C,C,C
chemical_engineering,A,A,A
chemical_engineering,B,B,B
chemical_engineering,B,B,B
chemical_engineering,C,C,C
marketing,B,B,B
marketing,D,A,A
marketing,D,A,A
marketing,A,D,D
marketing,D,D,D
marketing,B,B,B
marketing,D,D,D
marketing,A,A,A
political_science_and_sociology,D,D,D
political_science_and_sociology,A,A,A
political_science_and_sociology,A,A,A
political_science_and_sociology,B,B,B
political_science_and_sociology,D,D,D
political_science_and_sociology,A,A,A
political_science_and_sociology,B,B,B
political_science_and_sociology,A,A,A
accounting,D,D,D
accounting,C,C,C
accounting,D,D,D
accounting,C,C,C
accounting,B,B,B
accounting,D,D,D
accounting,C,C,C
accounting,B,B,B
maritime_engineering,B,B,B
maritime_engineering,A,A,A
maritime_engineering,D,D,D
maritime_engineering,A,A,A
maritime_engineering,D,D,D
maritime_engineering,D,C,C
maritime_engineering,A,A,A
maritime_engineering,C,C,C
environmental_science,C,C,C
environmental_science,C,C,C
environmental_science,C,D,D
environmental_science,B,B,B
environmental_science,B,B,B
environmental_science,C,C,C
environmental_science,C,C,C
environmental_science,C,C,C
chemical_engineering,C,B,B
chemical_engineering,C,C,C
chemical_engineering,B,B,B
chemical_engineering,D,D,D
chemical_engineering,C,C,C
chemical_engineering,C,C,C
chemical_engineering,A,A,A
chemical_engineering,B,B,B
marketing,B,B,B
marketing,A,B,B
marketing,D,A,A
marketing,B,C,C
marketing,D,C,C
marketing,C,C,C
marketing,C,C,C
marketing,D,D,D
law,A,B,B
law,D,D,D
law,D,D,D
law,C,C,C
law,B,C,C
law,B,B,B
law,C,C,C
law,A,A,A
accounting,D,D,D
accounting,B,B,B
accounting,A,A,A
accounting,D,D,D
chemistry,B,B,B
chemistry,D,D,D
chemistry,B,A,A
chemistry,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,A,A,A
maritime_engineering,C,C,C
maritime_engineering,C,A,A
maritime_engineering,A,C,C
maritime_engineering,A,A,A
maritime_engineering,B,B,B
chemistry,B,B,B
chemistry,B,B,B
chemistry,D,D,D
chemistry,B,B,B
chemistry,B,B,B
chemistry,C,C,C
chemistry,B,B,B
chemistry,A,A,A
environmental_science,B,B,B
environmental_science,D,D,D
environmental_science,D,D,D
