category,subcategory,level,answer,pred,response
Syntax,Agreement,3,F,F,"정답은 **F**입니다.

- **F: 삼촌의 때밀이에 묵은 때가 다 씻겼다.**
  - ‘씻겼다’는 여기서 **피동 표현**입니다.
  - 묵은 때가 삼촌의 때밀이로 인해 **씻김을 당했다**는 뜻입니다.

나머지는 ‘늦추다, 가라앉히다, 읽히다, 건네다, 업히다, 신기다’ 등의 사동 표현이 사용된 **사동문**입니다."
Syntax,Agreement,2,F,F,"**정답: F**

- **“신문에 그의 치욕스러운 사진이 실렸다.”**에서 **‘실렸다’**는 ‘싣다’의 **피동 표현**인 ‘실리다’입니다. 사진이 신문에 게재되었다는 뜻으로, 사동 표현이 아닙니다.
- 나머지는 ‘드높이다, 곤두세우다, 굶기다, 그을리다, 누이다, 곧추세우다, 돋우다, 삭이다, 썩이다’와 같은 사동 표현을 포함합니다."
Syntax,Agreement,3,A,A,"**정답: A**

- **A: 아들이 옆집 개에게 팔뚝을 물렸다.**  
  여기서 **‘물렸다’**는 ‘물다’의 **피동사**이다. 즉, 아들이 옆집 개에게 물림을 당했다는 뜻이므로 **피동문**이다.

나머지는 ‘익히다, 애태우다, 빗기다, 물리다, 썩히다, 잠재우다, 살찌우다, 묵히다’ 등 사동의 의미를 나타내는 동사가 사용된 **사동문**이다."
Syntax,Agreement,3,D,D,"정답은 **D**입니다.

- **D: 거센 바람에 연이 높이 날렸다.**  
  여기서 **‘날렸다’**는 연이 바람에 의해 날아간다는 뜻의 **피동 표현**입니다.

나머지는 모두 사동의 의미를 나타냅니다.

- 감다 → **감기다**
- 괴롭다 → **괴롭히다**
- 끓다 → **끓이다**
- 갈아입다 → **갈아입히다**
- 깨다 → **깨우다**
- 굽다 → **굽히다**
- 구르다 → **굴리다**
- 기울다 → **기울이다**
- 굳다 → **굳히다**

따라서 **사동 표현이 포함되지 않은 것은 D**입니다."
Syntax,Agreement,3,J,J,"**정답: J**

- **젖소가 풀을 뜯다** → **(목동이) 젖소들에게 풀을 뜯기다**
- 여기서 **‘뜯기다’**는 ‘젖소가 풀을 뜯게 하다’라는 뜻의 **사동 표현**입니다.  
  문장의 목적어도 그대로 **‘풀을’**로 나타납니다.

피동이라면 보통 **“풀이 젖소들에게 뜯겼다”**처럼 ‘풀’이 주어가 됩니다. 따라서 피동 표현이 없는 것은 **J**입니다."
Syntax,Agreement,2,G,G,"정답은 **G**입니다.

- **G: (누군가가) 길들인 말에게 재갈을 물렸다.**
  - ‘물렸다’는 ‘말이 재갈을 물게 하다’라는 뜻의 **사동 표현**입니다.
  - 목적어인 ‘재갈을’이 있으므로 피동문이 아닙니다.

나머지는 ‘걷히다, 널리다, 그을리다, 뒤섞이다, 뜨이다, 잡아먹히다, 얹히다, 가로막히다, 사로잡히다’ 등의 피동 표현이 사용되었습니다."
Syntax,Agreement,2,E,E,"정답은 **E**입니다.

- **E: 그는 내 등에 환자를 업혔다.**
  - 여기서 **‘업혔다’**는 피동이 아니라 사동의 의미입니다.
  - 즉, **“그는 내가 환자를 업게 했다.”**라는 뜻입니다.
  - 피동문이라면 **“환자가 내 등에 업혔다.”**처럼 ‘환자’가 주어가 됩니다.

나머지는 ‘실리다, 갈리다, 이끌리다, 믿기다, 쓰이다, 치이다, 뒤틀리다, 담기다, 몰리다’ 등의 피동 표현이 사용되었습니다."
Pragmatics,Deixis & Reference,3,A,A,"정답은 **A: (‘요게[1]’, ‘저것’)**입니다.

- **요게[1]**: 달달한 이 가게의 시그니처 칵테일
- **저것**: 바로 앞에서 언급한, 옆 사람이 마시고 있는 달달한 시그니처 칵테일

따라서 두 표현은 같은 대상을 가리킵니다."
Semantics,Ambiguity,3,F,F,"정답은 **F**입니다.

- **장을 보다**: 적절한 표현
- **연필 한 장을 깎다**: 부적절한 표현  
  → 연필은 **‘한 자루’**라고 세므로 **“연필 한 자루를 깎았다”**가 맞습니다.

따라서 두 빈칸에 동시에 **‘장’**이 들어갈 수 없습니다."
Phonetics/Phonology,Phonological Alternation,3,F,F,"정답은 **F. 뱃길**입니다.

<보기>에는 공통적으로 **‘ㄴ’ 첨가**가 나타납니다.

- 솜이불 → [솜**니**불]
- 장식용 → [장싱**뇽**]
- 결막염 → [결망**념**]

반면 **뱃길**은 [배낄/밷낄]로 발음되어, 사이시옷에 의한 **된소리되기**가 나타날 뿐 ‘ㄴ’ 첨가는 일어나지 않습니다."
