qid,category,answer,pred,response
Reading Comprehension-220,Reading Comprehension,A,A,"이 글은 오랜만에 선생님께 연락을 드리면서, 올해 반 모임에 선생님을 꼭 초대하고 싶다는 마음을 전하기 위해 쓴 편지입니다. 과거의 추억과 감사한 마음을 언급하지만, 편지의 핵심 목적은 선생님을 모임에 모시는 것입니다.

### ANSWER
A"
Reading Comprehension-221,Reading Comprehension,A,A,"이 편지에서 이지영은 고등학교를 졸업한 지 3년이 지났다고 말했습니다. 따라서 “이지영은 3년 전에 고등학교를 졸업했다”는 내용이 글과 일치합니다.

### ANSWER
A"
Reading Comprehension-222,Reading Comprehension,D,D,"아빠는 게임을 통해 아들과 가까워지고 아들이 자신감을 얻었다고 했으며, 할 일을 끝내면 게임을 허락한다고 했다. 또한 아이들이 게임으로 스트레스를 풀 수 있다고 보았다. 하지만 부모가 게임에 간섭하지 말아야 한다는 말은 없었고, 오히려 관심을 가지고 지켜봐야 한다고 했다. 따라서 D는 아빠의 생각이 아니다.

### ANSWER
D"
Reading Comprehension-223,Reading Comprehension,B,B,"The father describes how playing the game together improved his relationship with his son and also led to winning the championship, meaning one action brought two benefits. This matches the proverb ""꿩 먹고 알 먹기"" (kill two birds with one stone). The other options do not fit the context.

### ANSWER
B"
Reading Comprehension-224,Reading Comprehension,D,D,"이 글은 304호로 이사 오기 전에 진행할 공사 일정과 소음에 대한 사과를 안내하는 내용입니다. 따라서 ‘아파트 공사 안내’가 가장 적절합니다.

### ANSWER
D"
Reading Comprehension-225,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-226,Reading Comprehension,A,A,"(가)는 질문을 제시하고, (나)는 그 질문에 대한 일반적인 행동을 설명합니다. (다)는 더 나은 태도를 제안하며, (라)는 그 이유를 설명합니다. 따라서 자연스러운 순서는 (가)-(나)-(다)-(라)입니다.

### ANSWER
A"
Reading Comprehension-227,Reading Comprehension,B,B,"(나)는 영화가 인기를 얻으면 그 음악도 주목받는다는 일반적 사실을 제시한다. (가)는 그 이유를 설명한다. (라)는 반대로 음악이 인기를 얻어 영화를 찾는 경우를 말하고, (다)는 그런 영화들의 예를 이어서 설명한다. 따라서 자연스러운 순서는 (나)-(가)-(라)-(다)이다.

### ANSWER
B"
Loan Words-22,Loan Words,E,E,"절체(切替)는 ‘바꾸어 대체함’ 또는 ‘전환’을 뜻하는 말로, 통신·전기 등에서 회선이나 장치를 다른 것으로 바꾸는 것을 의미합니다. 국립국어원의 순화어로 ‘전환’이 제시되어 있습니다. 다른 보기들은 절체의 의미와 관련이 없습니다. 따라서 정답은 E입니다.

### ANSWER
E"
Loan Words-23,Loan Words,A,A,"### ANSWER
A"
Loan Words-24,Loan Words,E,E,"### ANSWER
E"
Loan Words-25,Loan Words,E,D,"### ANSWER
D"
Loan Words-26,Loan Words,D,D,"이모티콘은 감정을 나타내는 그림 문자로, 국립국어원에서 제시한 순화어는 ‘그림말’입니다. 다른 보기들은 해당 의미의 순화어가 아닙니다.

### ANSWER
D"
Loan Words-27,Loan Words,E,E,"응동(應動)은 ‘어떤 일에 응하여 움직임’을 뜻하는 한자어로, 일상에서 더 쉽게 쓰이는 말로 다듬은 순화어가 필요하다. 보기 중 ‘동작’은 몸을 움직이는 모양이나 행동을 가리키는 말로, 응동의 의미와 가장 가깝다. 다른 선택지들은 응동과 의미상 관련이 없다. 따라서 정답은 E이다.

### ANSWER
E"
Loan Words-28,Loan Words,A,A,"### ANSWER
A"
Loan Words-29,Loan Words,B,B,"### ANSWER
B"
Rare Words-239,Rare Words,A,A,"The question describes a spring custom of picking azalea flowers to make pancakes or rice cakes and sharing them together, which is known as ""꽃달임."" The other choices refer to different meanings such as thinning flowers, flower news, flower trees, or unrelated terms. Thus, the correct answer is A.

### ANSWER
A"
Rare Words-240,Rare Words,A,A,"""바리""는 말이나 소의 등에 실은 짐을 뜻하는 말로, ""꽃바리""는 꽃을 실은 짐바리를 의미합니다. 따라서 말, 소의 등에 잔뜩 실은 짐을 뜻하는 단어는 꽃바리입니다.

### ANSWER
A"
Rare Words-241,Rare Words,A,A,"### ANSWER
A"
Rare Words-242,Rare Words,B,B,"뜨내기는 일정한 거처 없이 떠돌아다니는 사람을 뜻하며, 어쩌다가 간혹 하는 일이라는 의미도 함께 지닌 단어입니다. 다른 선택지들은 이러한 의미와 맞지 않습니다.

### ANSWER
B"
Rare Words-243,Rare Words,D,D,"""둘로 똑같이 나눔""은 한자어 '이등분(二等分)'의 뜻으로, 어떤 대상을 두 개의 동일한 부분으로 나누는 것을 의미합니다. 다른 선택지들은 이와 다른 의미를 가지고 있습니다. 따라서 정답은 D입니다.

### ANSWER
D"
Rare Words-244,Rare Words,C,C,"The question asks for the word meaning an object lost without one's awareness. ""분실물"" directly means lost article or lost property, which fits the definition. The other options refer to erotic material, atmosphere, obstacle, and seawater, none of which match. Therefore, the correct choice is C.

### ANSWER
C"
Rare Words-245,Rare Words,A,A,"The definition describes someone who is emotionally indifferent to praise or insult. This matches the figurative meaning of ""물신선,"" which refers to a person who neither rejoices at good words nor gets angry at bad words. The other options are unrelated terms.

### ANSWER
A"
