license_name,subject,answer,pred,response
공인노무사,사회보험법,C,D,D
공인노무사,사회보험법,B,E,E
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,C,C,C
한의사,내과학2,B,C,C
한의사,내과학2,E,C,C
한의사,내과학2,B,C,C
한의사,내과학2,C,B,B
한의사,내과학2,A,B,B
한의사,내과학2,D,D,D
한의사,내과학2,A,C,C
한의사,내과학2,A,D,D
감정평가사,민법,D,D,D
감정평가사,민법,D,D,D
감정평가사,민법,E,E,E
감정평가사,민법,A,B,B
감정평가사,민법,C,E,E
감정평가사,민법,C,B,B
감정평가사,민법,B,B,B
감정평가사,민법,B,B,B
관세사,무역영어,A,A,A
관세사,무역영어,B,B,B
관세사,무역영어,D,D,D
관세사,무역영어,E,E,E
관세사,무역영어,E,B,B
관세사,무역영어,D,D,D
관세사,무역영어,E,E,E
관세사,무역영어,E,B,B
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,B,C,C
의사,보건의약관계법규,E,E,E
의사,보건의약관계법규,E,D,D
의사,보건의약관계법규,D,D,D
의사,보건의약관계법규,A,D,D
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,B,D,D
변호사,민사법,D,A,A
변호사,민사법,C,B,B
변호사,민사법,E,E,E
변호사,민사법,E,E,E
변호사,민사법,C,A,A
변호사,민사법,E,D,D
변호사,민사법,D,D,D
변호사,민사법,A,A,A
약사,임상실무약학,D,D,D
약사,임상실무약학,E,E,E
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
한약사,한약학 응용,A,A,A
한약사,한약학 응용,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,E,E,E
한약사,한약학 응용,D,D,D
한약사,한약학 응용,A,A,A
한약사,한약학 응용,B,B,B
한약사,한약학 응용,E,E,E
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,A,D,D
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,E,E,E
관세사,무역영어,C,E,E
관세사,무역영어,D,B,B
관세사,무역영어,D,D,D
관세사,무역영어,B,B,B
관세사,무역영어,D,E,E
관세사,무역영어,B,B,B
관세사,무역영어,C,D,D
관세사,무역영어,B,B,B
한의사,내과학2,D,C,C
한의사,침구학,B,B,B
한의사,침구학,D,D,D
한의사,침구학,C,C,C
한의사,침구학,D,D,D
한의사,침구학,C,C,C
한의사,침구학,E,A,A
한의사,침구학,D,B,B
감정평가사,민법,D,D,D
감정평가사,민법,E,D,D
감정평가사,민법,E,E,E
감정평가사,민법,D,A,A
감정평가사,민법,D,D,D
감정평가사,민법,E,E,E
감정평가사,민법,B,A,A
감정평가사,민법,A,A,A
의사,보건의약관계법규,E,D,D
의사,보건의약관계법규,C,C,C
의사,보건의약관계법규,C,A,A
의사,보건의약관계법규,D,D,D
의사,보건의약관계법규,B,B,B
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,D,D,D
