category,answer,pred,response
Maritime-Engineering,B,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,D,D,D
Maritime-Engineering,A,A,A
Maritime-Engineering,D,D,D
Maritime-Engineering,D,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,C,D,D
Maritime-Engineering,A,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,C,A,A
Maritime-Engineering,A,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,B,A,A
Maritime-Engineering,C,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,D,A,A
Maritime-Engineering,A,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,A,A,A
Maritime-Engineering,C,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,A,A,A
Maritime-Engineering,D,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,A,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,D,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,B,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,A,A,A
Maritime-Engineering,A,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,C,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,C,A,A
Maritime-Engineering,A,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,A,A,A
Maritime-Engineering,A,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,A,A,A
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,D,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,A,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,C,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,A,C,C: 조류
Maritime-Engineering,C,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,C,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,D,C,C
Materials-Engineering,C,D,D
Materials-Engineering,C,D,D
Materials-Engineering,B,A,A
Materials-Engineering,C,B,B
Materials-Engineering,A,C,C
Materials-Engineering,B,A,A
Materials-Engineering,B,C,C
Materials-Engineering,A,A,A
Materials-Engineering,C,D,D
Materials-Engineering,C,A,A
Materials-Engineering,D,C,C
Materials-Engineering,B,B,B
Materials-Engineering,B,C,C
Materials-Engineering,D,C,C
Materials-Engineering,D,B,B
Materials-Engineering,C,C,C
Materials-Engineering,A,D,D
Materials-Engineering,B,A,A
Materials-Engineering,B,C,C
Materials-Engineering,A,C,C
Materials-Engineering,B,B,B
Materials-Engineering,B,B,B
Materials-Engineering,D,D,D
Materials-Engineering,C,B,B
Materials-Engineering,D,B,B
Materials-Engineering,A,B,B
Materials-Engineering,B,B,B
Materials-Engineering,D,A,A
Materials-Engineering,B,B,B
Materials-Engineering,D,D,D
Materials-Engineering,D,A,A
Materials-Engineering,B,D,D
Materials-Engineering,A,A,A
Materials-Engineering,D,D,D
Materials-Engineering,B,D,D
Materials-Engineering,C,B,B
Materials-Engineering,B,B,B
Materials-Engineering,C,B,B
Materials-Engineering,B,A,A
Materials-Engineering,D,C,C
Materials-Engineering,A,D,D
Materials-Engineering,B,D,D
Materials-Engineering,B,A,A
Materials-Engineering,D,D,D
Materials-Engineering,A,C,C
Materials-Engineering,A,D,D
Materials-Engineering,C,B,B
Materials-Engineering,B,C,C
Materials-Engineering,A,C,C
Materials-Engineering,B,A,A
Materials-Engineering,B,D,D
Materials-Engineering,D,A,A
Materials-Engineering,D,B,B
Materials-Engineering,D,B,B
Materials-Engineering,B,A,A
Materials-Engineering,D,D,D
Materials-Engineering,C,D,D
Materials-Engineering,B,D,D
Materials-Engineering,D,D,D
Materials-Engineering,B,B,B
Materials-Engineering,A,D,D
Materials-Engineering,B,C,C
Materials-Engineering,B,A,A
Materials-Engineering,B,B,B
Materials-Engineering,C,D,D
Materials-Engineering,C,A,A
Materials-Engineering,B,C,C
Materials-Engineering,C,A,A
Materials-Engineering,B,A,A
Materials-Engineering,B,D,D
Materials-Engineering,A,D,D
Materials-Engineering,D,A,A
Materials-Engineering,B,D,D
Materials-Engineering,A,D,D
Materials-Engineering,C,C,C
Materials-Engineering,D,B,B
Materials-Engineering,B,C,C
Materials-Engineering,B,A,A
Materials-Engineering,B,A,A
Materials-Engineering,A,B,B
Materials-Engineering,B,B,B
Materials-Engineering,C,B,B
Materials-Engineering,A,B,B
Materials-Engineering,B,B,B
Materials-Engineering,A,D,D
Materials-Engineering,B,B,B
Materials-Engineering,C,D,D
Materials-Engineering,A,D,D
Materials-Engineering,B,A,A
Materials-Engineering,C,C,C
Materials-Engineering,D,C,C
Materials-Engineering,D,C,C
Materials-Engineering,C,D,D
Materials-Engineering,C,B,B
Materials-Engineering,C,C,C
Materials-Engineering,B,D,D
Materials-Engineering,C,D,D
Materials-Engineering,C,D,D
Materials-Engineering,D,B,B
Materials-Engineering,A,D,D
Railway-And-Automotive-Engineering,A,D,D
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,D,C,C
Railway-And-Automotive-Engineering,B,A,A
Railway-And-Automotive-Engineering,C,B,B
Railway-And-Automotive-Engineering,B,D,D
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,A,C,C
Railway-And-Automotive-Engineering,D,B,B
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,C,D,D
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,B,D,D
Railway-And-Automotive-Engineering,D,B,B
Railway-And-Automotive-Engineering,B,A,A
Railway-And-Automotive-Engineering,B,C,C
Railway-And-Automotive-Engineering,C,B,B
Railway-And-Automotive-Engineering,C,B,B
Railway-And-Automotive-Engineering,D,B,B
Railway-And-Automotive-Engineering,D,B,B
Railway-And-Automotive-Engineering,C,B,B
Railway-And-Automotive-Engineering,C,D,D
Railway-And-Automotive-Engineering,B,D,D
Railway-And-Automotive-Engineering,C,C,C
Railway-And-Automotive-Engineering,D,B,B
Railway-And-Automotive-Engineering,B,C,C
Railway-And-Automotive-Engineering,D,C,C
