category,answer,pred,response
Accounting,B,B,B: 10 120
Accounting,A,C,C
Accounting,A,C,C
Accounting,D,C,C
Accounting,C,B,"B: ￦ 100,000"
Accounting,D,B,B
Accounting,D,C,C
Accounting,C,D,D
Accounting,D,C,C
Accounting,A,B,B
Accounting,B,B,B
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,D,D
Accounting,A,B,B
Accounting,D,B,B
Accounting,B,C,C
Accounting,C,B,B
Accounting,C,D,D
Accounting,D,C,C
Accounting,A,B,B
Accounting,C,B,B
Accounting,C,C,C
Accounting,A,B,B
Accounting,A,B,B
Accounting,D,D,D
Accounting,D,B,B
Accounting,B,C,C
Accounting,A,A,A
Accounting,D,B,B
Accounting,C,B,B
Accounting,C,C,C
Accounting,A,B,"B: ￦ 10,200"
Accounting,B,B,B
Accounting,D,C,C
Accounting,B,B,B
Accounting,B,B,B
Accounting,B,C,C
Accounting,D,C,C
Accounting,C,B,B
Accounting,D,D,D
Accounting,A,C,C
Accounting,C,B,B
Accounting,B,B,B
Accounting,A,C,C
Accounting,D,C,C
Accounting,B,B,B
Accounting,C,B,B
Accounting,C,D,D
Accounting,B,C,C
Accounting,D,A,A
Accounting,D,B,B
Accounting,C,D,D
Accounting,D,B,B
Accounting,C,D,D
Accounting,A,B,B
Accounting,C,D,D
Accounting,C,B,B
Accounting,A,C,C
Accounting,D,D,D
Accounting,B,D,D
Accounting,D,B,B
Accounting,C,B,B
Accounting,C,C,C
Accounting,A,B,B
Accounting,D,B,"B: ￦1,500,000"
Accounting,A,B,B
Accounting,C,B,B
Accounting,D,D,D
Accounting,C,B,"B: ￦1,800"
Accounting,A,B,B
Accounting,D,C,C
Accounting,B,D,D
Accounting,D,C,C
Accounting,B,C,C
Accounting,B,D,D
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,B,B
Accounting,C,D,D
Accounting,D,B,B
Accounting,C,B,B
Accounting,C,C,C
Accounting,D,C,C
Accounting,B,C,C
Accounting,C,C,C
Accounting,C,B,B
Accounting,B,C,C
Accounting,C,D,D
Accounting,D,B,B
Accounting,C,B,B
Accounting,D,C,C
Accounting,C,B,"B: 510,000원"
Accounting,B,A,A
Accounting,C,D,D
Accounting,A,C,C
Accounting,D,B,B
Accounting,B,C,C
Accounting,D,C,C
Agricultural-Sciences,D,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,D,D
