category,answer,pred,response
History,E,E,"### ANSWER
E"
History,D,D,"### ANSWER
D"
History,D,D,"### ANSWER
D"
History,E,E,"### ANSWER
E"
History,B,B,"### ANSWER
B"
History,A,A,"### ANSWER
A"
History,D,D,"### ANSWER
D"
History,B,B,"### ANSWER
B"
General Knowledge,B,C,"### ANSWER
C"
General Knowledge,C,C,"### ANSWER
C"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,C,C,"### ANSWER
C"
General Knowledge,D,D,"### ANSWER
D"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,C,A,"### ANSWER
A"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,D,D,"### ANSWER
D"
Rare Words,D,D,"### ANSWER
D"
Rare Words,A,A,"### ANSWER
A"
Rare Words,B,B,"### ANSWER
B"
Rare Words,E,E,"### ANSWER
E"
Rare Words,A,A,"### ANSWER
A"
Rare Words,E,E,"### ANSWER
E"
Rare Words,D,D,"### ANSWER
D"
Rare Words,E,E,"### ANSWER
E"
Rare Words,A,A,"### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
Rare Words,B,B,"### ANSWER
B"
Rare Words,D,D,"### ANSWER
D"
Rare Words,C,C,"### ANSWER
C"
Rare Words,A,A,"### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,D,D,"### ANSWER
D"
History,B,B,"### ANSWER
B"
History,C,C,"### ANSWER
C"
History,E,E,"### ANSWER
E"
History,C,C,"### ANSWER
C"
History,A,A,"### ANSWER
A"
History,B,B,"### ANSWER
B"
History,A,A,"### ANSWER
A"
History,E,E,"### ANSWER
E"
General Knowledge,D,D,"### ANSWER
D"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,D,D,"### ANSWER
D"
General Knowledge,A,E,"### ANSWER
E"
General Knowledge,C,C,"### ANSWER
C"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,D,B,"### ANSWER
B"
General Knowledge,A,A,"### ANSWER
A"
Rare Words,C,C,"### ANSWER
C"
Rare Words,A,A,"### ANSWER
A"
Rare Words,E,E,"### ANSWER
E"
Rare Words,A,A,"### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
Rare Words,B,B,"### ANSWER
B"
Rare Words,B,B,"### ANSWER
B"
Rare Words,A,A,"### ANSWER
A"
Loan Words,E,D,"### ANSWER
D"
Loan Words,A,A,"### ANSWER
A"
Loan Words,E,E,"### ANSWER
E"
Loan Words,E,E,"인가하다는 전압 등을 가할 때 쓰이는 한자어로, 순화어로는 '걸다'가 사용됩니다. 예: ""전압을 인가하다"" → ""전압을 걸다"".

### ANSWER
E"
Loan Words,D,D,"### ANSWER
D"
Loan Words,E,E,"### ANSWER
E"
Loan Words,A,A,"### ANSWER
A"
Loan Words,B,B,"### ANSWER
B"
Rare Words,D,D,"### ANSWER
D"
Rare Words,A,A,"### ANSWER
A"
Rare Words,E,E,"### ANSWER
E"
Rare Words,C,C,"### ANSWER
C"
Rare Words,E,E,"### ANSWER
E"
Rare Words,B,B,"### ANSWER
B"
Rare Words,E,E,"### ANSWER
E"
Rare Words,D,D,"### ANSWER
D"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,E,E,"### ANSWER
E"
General Knowledge,A,A,"### ANSWER
A"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,D,D,"### ANSWER
D"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,B,B,"### ANSWER
B"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,A,A,"### ANSWER
A"
History,C,C,"### ANSWER
C"
History,C,C,"### ANSWER
C"
History,E,E,"### ANSWER
E"
History,B,B,"### ANSWER
B"
History,C,C,"### ANSWER
C"
History,A,A,"### ANSWER
A"
Loan Words,D,D,"### ANSWER
D"
Loan Words,C,C,"### ANSWER
C"
Loan Words,D,D,"### ANSWER
D"
Loan Words,D,D,"### ANSWER
D"
Loan Words,C,C,"### ANSWER
C"
Loan Words,C,C,"### ANSWER
C"
Loan Words,A,A,"### ANSWER
A"
Loan Words,B,B,"### ANSWER
B"
Rare Words,C,C,"### ANSWER
C"
Rare Words,C,C,"### ANSWER
C"
Rare Words,B,B,"### ANSWER
B"
Rare Words,E,E,"### ANSWER
E"
Rare Words,D,D,"### ANSWER
D"
Rare Words,A,A,"### ANSWER
A"
Rare Words,A,A,"### ANSWER
A"
Rare Words,B,B,"### ANSWER
B"
General Knowledge,C,E,"### ANSWER
E"
General Knowledge,A,A,"### ANSWER
A"
General Knowledge,A,A,"(가)는 이어도로, 마라도 남서쪽에 위치한 수중 암초입니다. 이어도는 독도보다 남쪽(저위도)에 위치하며, 수중 암초이므로 영해 기준점이 될 수 없고 한·일 중간 수역과는 무관한 위치입니다.

### ANSWER
A"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,A,A,"### ANSWER
A"
General Knowledge,C,C,"### ANSWER
C"
General Knowledge,B,B,"### ANSWER
B"
General Knowledge,A,A,"### ANSWER
A"
History,D,D,"### ANSWER
D"
History,B,B,"### ANSWER
B"
History,D,A,"### ANSWER
A"
History,B,B,"### ANSWER
B"
History,E,D,"### ANSWER
D"
History,B,B,"### ANSWER
B"
History,C,C,"### ANSWER
C"
History,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension,D,D,"### ANSWER
D"
