category,answer,pred,response
Loan Words,E,E,E
Loan Words,A,A,A
Loan Words,E,E,E
Loan Words,E,E,E
Loan Words,D,D,D
Loan Words,E,E,E
Loan Words,A,A,A
Loan Words,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,C,C,C
Reading Comprehension,C,C,C
Reading Comprehension,A,A,A
Reading Comprehension,B,B,B
Reading Comprehension,C,A,A
Reading Comprehension,A,A,A
Reading Comprehension,D,D,D
Reading Comprehension,A,A,A
Reading Comprehension,A,A,A
Reading Comprehension,D,D,D
Reading Comprehension,B,B,B
Reading Comprehension,D,D,D
Reading Comprehension,C,C,C
Reading Comprehension,A,A,A
Reading Comprehension,B,B,B
History,E,E,E
History,D,D,D
History,D,D,D
History,E,E,E
History,B,B,B
History,A,A,A
History,D,D,D
History,B,B,B
Rare Words,A,A,A
Rare Words,A,A,A
Rare Words,A,A,A
Rare Words,B,B,B
Rare Words,D,D,D
Rare Words,C,C,C
Rare Words,A,A,A
Rare Words,A,A,A
General Knowledge,B,C,C
General Knowledge,C,C,C
General Knowledge,E,E,E
General Knowledge,B,B,B
General Knowledge,E,E,E
General Knowledge,E,E,E
General Knowledge,C,C,C
General Knowledge,D,D,D
Rare Words,D,D,D
Rare Words,A,A,A
Rare Words,B,B,B
Rare Words,E,E,E
Rare Words,A,A,A
Rare Words,E,E,E
Rare Words,D,D,D
Rare Words,E,E,E
Reading Comprehension,D,D,D
Reading Comprehension,C,C,C
Reading Comprehension,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,C,C,C
Reading Comprehension,B,B,B
Reading Comprehension,A,A,A
Reading Comprehension,D,D,D
Rare Words,D,D,D
Rare Words,A,A,A
Rare Words,E,E,E
Rare Words,C,C,C
Rare Words,E,D,D
Rare Words,B,B,B
Rare Words,E,E,E
Rare Words,D,D,D
Reading Comprehension,B,B,B
Reading Comprehension,D,D,D
Reading Comprehension,C,C,C
Reading Comprehension,B,B,B
Reading Comprehension,B,B,B
Reading Comprehension,B,B,B
Reading Comprehension,C,C,C
Reading Comprehension,D,D,D
Loan Words,D,D,D
Loan Words,C,C,C
Loan Words,D,D,D
Loan Words,D,D,D
