category,answer,pred,response
Accounting,B,B,B
Accounting,A,A,"A

설명 (Explanation):
(주)한국은 A사 주식 1,000주 중 30%인 300주를 ￦2,000에 취득했으므로 초기 투자금액은 300주 × ￦2,000 = ￦600,000입니다.
A사가 현금배당을 1주당 ￦50으로 지급했으므로, (주)한국은 300주 × ￦50 = ￦15,000의 배당금을 받았습니다.
A사의 당기순손실이 ￦200,000이므로, (주)한국의 지분(30%)에 해당하는 손실은 30% × ￦200,000 = ￦60,000입니다.
따라서, (주)한국의 관계기업 투자주식 가치는 초기 투자금액 ￦600,000에서 당기순손실 ￦60,000을 차감하고 배당금 ￦15,000을 더한 금액인 ￦600,000 - ￦60,000 + ￦15,000 = ￦555,000입니다.
하지만, 옵션 중 ￦555,000이 없으므로 가장 가까운 옵션인 A: ￦525,000을 선택합니다."
Accounting,A,A,A
Accounting,D,C,C
Accounting,C,A,A
Accounting,D,D,D
Accounting,D,A,A
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,A
Accounting,B,A,A
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,D,D
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,C,C
Accounting,C,C,C
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,B,B
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,D,D
Accounting,A,C,C
Accounting,D,D,D
Accounting,D,D,D
Accounting,B,B,B
Accounting,A,C,C
Accounting,D,D,D
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,A,"A

설명 (Explanation):
기계장치의 취득가격은 ￦100,000이고, 자본적 지출로 인해 추가된 금액은 ￦30,000이므로 총 금액은 ￦130,000입니다. 새로운 잔존가치는 ￦50,000이고, 내용 연수는 10년으로 변경되었습니다. 정액법에 따라 감가상각비를 계산하면:

(취득가 + 자본적 지출 - 잔존가치) / 내용 연수
= (130,000 - 50,000) / 10
= 80,000 / 10
= ￦8,000

따라서, 옵션 중 ￦8,000에 가장 근접한 값은 A: ￦7,200입니다."
Accounting,B,C,C
Accounting,D,A,A
Accounting,B,C,C
Accounting,B,B,B
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,B,B
Accounting,B,D,D
Accounting,A,A,A
Accounting,D,C,C
Accounting,B,B,B
Accounting,C,C,C
Accounting,C,C,C
Accounting,B,B,B
Accounting,D,D,D
Accounting,D,C,C
Accounting,C,A,A
Accounting,D,B,B
Accounting,C,A,A
Accounting,A,D,D
Accounting,C,,"To solve this question, we need to calculate the accumulated depreciation and the gain or loss on disposal of the machinery.

1. **Original Cost of Machinery**: ￦4,000,000
2. **Residual Value (10% of Original Cost)**: ￦400,000 (0.10 x 4,000,000)
3. **Depreciable Amount**: ￦3,600,000 (4,000,000 - 400,000)
4. **Useful Life**: 3 years

Using the sum-of-the-years-digits method:
- Total years digits = 3 + 2 + 1 = 6

**Depreciation for each year**:
- Year 1: (3/6) x ￦3,600,000 = ￦1,800,000
- Year 2: (2/6) x ￦3,600,000 = ￦1,200,000
- Year 3: (1/6) x ￦3,600,000 = ￦600,000

**Depreciation until disposal**:
- Full Year 1: ￦1,800,000
- Year 2 (up to August, 8 months): (8/12) x ￦1,200,000 = ￦800,000
- Total Depreciation until disposal: ￦1,800,000 + ￦800,000 = ￦2,600,000

**Book Value at Disposal**:
- Original Cost - Accumulated Depreciation = ￦4,000,000 - ￦2,600,000 = ￦1,400,000

**Disposal Proceeds**: ￦2,000,000

**Gain/Loss on Disposal**:
- Disposal Proceeds - Book Value = ￦2,000,000 - ￦1,400,000 = ￦600,000 (Gain)

The correct answer is:
D: 감가상각 누계액 ￦2,600,000, 처분이익 ￦600,000"
Accounting,C,C,C
Accounting,A,B,B
Accounting,D,D,D
Accounting,B,D,D
Accounting,D,D,D
