id,category,trial,answer,pred,response
KIIP_politics_62,Politics,0,B,B,"### ANSWER
B"
KIIP_politics_63,Politics,0,D,D,"1948년 8월 15일 대한민국 정부 수립, 9월 9일 북한 정권 수립 — 같은 해 1948년.

### ANSWER
D"
KIIP_politics_64,Politics,0,B,B,"### ANSWER
B"
KIIP_politics_65,Politics,0,C,C,"Korean War armistice was signed July 27, 1953.

### ANSWER
C"
KIIP_politics_66,Politics,0,C,C,"2000년 6월 김대중 대통령과 김정일 국방위원장의 평양 회담이 최초의 남북정상회담이다.

### ANSWER
C"
KIIP_politics_67,Politics,0,A,A,"### ANSWER
A"
KIIP_politics_68,Politics,0,B,B,"첫 남북 정상회담(2000년 김대중-김정일)과 2007년 회담 모두 북한의 평양에서 개최되었으므로, 전통적으로 남북 정상회담 장소로 언급되는 곳은 평양이다.

### ANSWER
B"
KIIP_politics_69,Politics,0,B,B,"### ANSWER
B"
KIIP_economy_1,Economy,0,C,C,"IMF 구제금융 차입금을 조기 전액 상환하여 외환위기를 공식적으로 졸업한 시점은 2001년 8월이다.

### ANSWER
C"
KIIP_economy_2,Economy,0,A,A,"1960년 한국의 1인당 국민총소득은 약 79달러 수준으로, 세계 최빈국 중 하나였다.

### ANSWER
A"
KIIP_economy_3,Economy,0,C,C,"1997년 IMF 외환위기가 발생했다.

### ANSWER
C"
KIIP_economy_4,Economy,0,D,D,"**### ANSWER
D**"
KIIP_economy_5,Economy,0,C,C,"1970년대 한국은 정부의 중화학 공업 육성 정책(포항제철, 조선, 석유화학 등)으로 중화학 공업이 본격 발달했다. 1960년대는 경공업 중심이었다.

### ANSWER
C"
KIIP_economy_6,Economy,0,B,B,"### ANSWER
B"
KIIP_economy_7,Economy,0,B,B,"Korea's GNI per capita in 2014 was about US$28,000 (roughly 27,000–28,000 dollars), consistent with a developed economy of that period.

### ANSWER
B"
KIIP_economy_8,Economy,0,A,A,"### ANSWER
A"
KIIP_law_31,Law,0,A,A,"협의이혼과 재판상 이혼이 한국 민법상 이혼 방법이다.

### ANSWER
A"
KIIP_law_32,Law,0,A,A,"### ANSWER
A"
KIIP_law_33,Law,0,A,A,"### ANSWER
A"
KIIP_law_34,Law,0,A,A,"### ANSWER
A"
