qid,category,subcategory,level,answer,pred,response
525,Semantics,Rhetorical Expressions,1,H,H,"""날아올랐다""는 가볍고 힘차게 솟아오르는 동작을 묘사하는데, ""거대한 산처럼""은 무겁고 움직이지 않는 이미지를 나타내므로 날아오르는 동작과 어울리지 않는다. 나머지 표현들은 가벼움, 탄력, 감정적 동력 등을 통해 날아오르는 모습을 자연스럽게 수식한다.

### ANSWER
H"
526,Semantics,Numeral Classifiers,1,B,B,"### ANSWER
B"
527,Semantics,Numeral Classifiers,2,H,H,"시금치는 보통 ""단"" 단위로 묶어서 판매되므로, 시금치 판매량을 나타내는 적절한 표현은 ""다섯 단""입니다.

### ANSWER
H"
528,Semantics,Numeral Classifiers,3,D,D,"오징어는 20마리를 세는 단위로 '축'을 사용합니다. 시험 조리용 샘플 주문이므로 소량인 '한 축' 주문이 가장 자연스럽습니다.

### ANSWER
D"
175,Semantics,Semantic Compatibility,1,H,H,"H: ""여행을 매겼다""는 서술어와 목적어의 결합이 부자연스럽습니다. ""매기다""는 순위나 값을 정하는 것에 사용되며 ""여행""과는 어울리지 않습니다.

### ANSWER
H"
176,Semantics,Semantic Compatibility,1,E,E,"""명단을 결심했다""는 목적어와 서술어의 결합이 어색합니다. '결심하다'는 보통 행동이나 계획을 목적어로 취하는데, '명단'은 결심의 대상이 되기에 부적절합니다.

### ANSWER
E"
177,Syntax,Agreement,2,H,H,"한국어에서 능동문을 피동문으로 바꾸는 것은 사동(-이-, -히-, -기-, -리- 등 사동 접미사를 붙여 남에게 어떤 행동을 하게 만드는 것)과 구별되어야 합니다. 대부분의 선택지(B, C, D, F, G, I, J)는 사동 표현으로의 변환입니다. H는 ""잡다""의 능동형에 피동 접미사 ""-히-""를 붙여 ""잡히다""로 바꾼 것으로, 주어가 동작의 대상이 되는 진정한 피동 표현입니다.

### ANSWER
H"
178,Phonetics/Phonology,Phonological Constraints,1,J,J,"모든 예시는 자음군의 축약(자음+ㅎ 결합) 또는 경음화(자음+자음)와 관련된 것이지만, J의 '크+어서=커서'는 모음 '으'와 모음 '어'가 결합하며 '으'가 탈락하는 모음-모음 배열 제약에 해당한다.

### ANSWER
J"
0,Semantics,Inter-sentence Relations,3,H,E,"### ANSWER
E"
1,Semantics,Conjunctions,1,E,E,"E의 조합이 문맥상 가장 자연스럽습니다. 첫 번째 빈칸은 공룡이 가장 크다는 통념과 실제 사실이 다르다는 역접 관계이므로 '그러나'가 적절하고, 두 번째 빈칸은 추측을 나타내는 '어쩌면'이 어울립니다. 세 번째 빈칸은 앞 문장의 이유를 설명하므로 '그 이유는'이 적절하며, 마지막 빈칸은 추가 정보를 덧붙이는 '아울러'가 자연스럽게 연결됩니다.

### ANSWER
E"
2,Semantics,Conjunctions,2,B,B,"이 문단은 ""일정이 없음 → (덕분에) 공부 시간 생김 → (하지만) 잡무도 많았음 → (따라서) 계획한 만큼 공부 못함 → (그래도) 할 수 있었다는 사실이 중요함""의 논리적 흐름을 가진다. 각 접속어가 인과·대조 관계를 자연스럽게 연결하는 조합은 B이다.

### ANSWER
B"
3,Semantics,Rhetorical Expressions,3,A,C,"### ANSWER
C"
4,Semantics,Rhetorical Expressions,3,F,G,"### ANSWER
G"
5,Semantics,Rhetorical Expressions,3,G,H,"지문에서 ""가로등이 위태로이 길을 인도하고 있었다""는 표현은 무생물인 가로등에 인간적 행위(인도하다)와 감정적 뉘앙스(위태로이)를 부여하는 의인화 기법을 사용하고 있다. 이는 비인격적 대상에 인간의 감정과 행동을 투영하여 독자가 정서적으로 공감할 수 있도록 유도하는 전형적인 문학적 장치이다.

### ANSWER
H"
6,Syntax,Argument Structure & Valency,3,A,D,"한국어 문법에서 필수적 부사어는 서술어의 의미를 완성하기 위해 반드시 필요한 부사어를 말합니다. ""잉꼬부부로 유명하다""에서 '유명하다'라는 서술어는 '~로'라는 부사어 없이는 의미가 완성되지 않으므로, 이는 필수적 부사어에 해당합니다. 다른 보기들의 부사어는 문장에서 생략해도 문법적으로 완전한 문장이 유지되므로 필수적이지 않습니다.

### ANSWER
D"
7,Pragmatics,Discourse Principles,3,C,C,"대화의 격률 중 '질(진실성)'의 격률을 의도적으로 위반하여 화자의 태도(놀라움, 과장된 반응)를 드러내는 경우를 찾아야 합니다. C에서 을은 갑이 편의점을 차린 게 아님을 알면서도 ""편의점 차렸니?""라고 반문함으로써, 준비물이 지나치게 많다는 것에 대한 놀라움과 비꼬는 태도를 과장법(진실이 아닌 표현)으로 드러내고 있습니다. 이는 명백히 사실이 아닌 진술을 의도적으로 사용해 태도를 표현한 사례입니다.

### ANSWER
C"
179,Phonetics/Phonology,Phonological Alternation,2,C,J,"보기의 값, 외곬, 맑게는 모두 겹받침에서 한 자음이 탈락하는 ‘자음군 단순화’ 현상을 보입니다. 그러나 앓다는 ‘ㅎ+ㄷ’이 결합하여 축약되어 [알타]로 발음되는 것으로, 자음이 탈락하는 것이 아니라 두 음이 합쳐져 새로운 소리(거센소리)로 바뀌는 자음축약 현상이므로 자음군단순화와는 다른 현상입니다.

### ANSWER
J"
180,Pragmatics,Speech Acts,2,E,E,"E는 청자에게 어떤 행동을 하거나 하지 않도록 요구하는 것이 아니라, 화자가 미래에 청자에게 기회를 주겠다는 약속·서술의 발화로 해석되므로 명령 화행의 예로 적절하지 않습니다.

### ANSWER
E"
181,Pragmatics,Speech Acts,1,A,A,"### ANSWER
A"
182,Pragmatics,Speech Acts,2,G,G,"G: ""내가 뭘 피구를 못하냐?""는 의문문의 형식을 취하고 있지만 실제로는 '나는 피구를 잘한다'는 강한 주장(진술)의 의도를 전달하는 수사적 질문으로, 문장 유형(의문형)과 발화 의도(진술)가 일치하지 않는 간접 발화의 대표적 예이다.

### ANSWER
G"
8,Syntax,Embedded Clauses,2,I,I,"""옛이야기를 해주시던""이 뒤의 명사 '할머니'를 꾸미는 관형절로, 이 문장은 관형절을 안은 문장입니다. 다른 문장들은 대부분 명사절이나 서술절을 안고 있습니다.

### ANSWER
I"
