qid,category,subcategory,level,answer,pred,response
440,Morphology,Word Formation,3,G,G,"<보기>는 둘 이상의 실질 형태소가 결합한 ‘합성어’를 묻는 것이다.  
‘소나무’는 ‘솔’과 ‘나무’가 결합한 합성어로 볼 수 있다. 나머지는 대부분 접두사나 접미사가 결합한 파생어이다.

### ANSWER
G"
441,Syntax,Embedded Clauses,3,D,D,"'맛이 삼삼하다'가 전체 문장의 서술어 구실을 하는 안긴문장(서술절)이다. 다른 선택지는 관형절, 주어절, 부사절, 목적어절 등이다.

### ANSWER
D"
442,Syntax,Embedded Clauses,2,F,F,"‘안긴 문장’이 전체 문장 안에서 서술어 구실을 하는 경우는 ‘서술절’이다.  
F의 “밀렵꾼이 말버릇이 참 고약하다.”에서 “말버릇이 참 고약하다”가 안긴문장으로, 전체 문장의 서술어 역할을 한다.  
나머지는 주어절, 목적어절, 관형사절, 부사절 등이다.

### ANSWER
F"
443,Syntax,Argument Structure & Valency,1,D,D,"<보기>의 서술어 ‘차입하다’는 ‘주어(국가가) + 부사어/출처(중앙은행에서) + 목적어(거액을)’라는 세 자릿수를 요구한다.  
D의 ‘가미하다’도 ‘주어(요리사가) + 부사어/대상(칵테일에) + 목적어(순금을)’의 세 자릿수를 요구하므로 구조가 같다.

### ANSWER
D"
444,Syntax,Argument Structure & Valency,3,I,F,"### ANSWER
F"
445,Syntax,Agreement,2,I,I,"<보기>의 “백부님께”와 “드리고”는 객체(듣는 대상이 아니라 행위의 대상)를 높이는 **객체 높임법**이다.  
① “회장님께”에서 ‘께’는 객체를 높이는 조사이므로 같은 객체 높임법이 쓰였다.

### ANSWER
I"
446,Syntax,Argument Structure & Valency,2,C,C,"<보기>의 ‘신기다’는 주어(생략됨) + ‘아이의 다리에’(부사어) + ‘스타킹을’(목적어)를 요구하는 세 자리 서술어이다.  
선지 중 ‘망고에 버터를 곁들이다’도 주어(생략됨) + ‘망고에’(부사어) + ‘버터를’(목적어)를 요구하는 같은 구조이다.

### ANSWER
C"
447,Syntax,Argument Structure & Valency,2,E,E,"<보기>의 ‘배분했다’는 ‘누가, 누구에게, 무엇을’이라는 세 자릿수를 요구하는 서술어이다. 같은 구조로 ‘예금했다’는 ‘누가, 은행에, 자금을’이라는 세 자릿수를 요구한다. 나머지 선택지는 한 자리 또는 두 자리 서술어이다.

### ANSWER
E"
616,Semantics,Ambiguity,3,F,F,"각 보기에서 제시된 단어가 두 문장의 빈칸에 모두 자연스럽게 들어가는지 확인하면, F의 ‘장’은 ‘시장에서 장을 봤다’에는 어울리지만 ‘연필 한 장을 깎았다’에는 어울리지 않습니다. 연필의 단위는 ‘자루’이므로 ‘연필 한 자루를 깎았다’가 맞습니다. 따라서 F가 적절하지 않습니다.

### ANSWER
F"
617,Phonetics/Phonology,Phonological Alternation,3,F,F,"### ANSWER
F"
