qid,category,answer,pred,response
environmental_science-39,environmental_science,D,A,"### ANSWER
A"
environmental_science-40,environmental_science,C,C,"The fuel mixture (0.5 Sm³ CH₄ + 0.5 Sm³ C₂H₆) requires 2.75 Sm³ O₂ for complete combustion. Theoretical air is 2.75 / 0.21 = 13.10 Sm³, and with air ratio 1.5, actual air is 19.64 Sm³. Wet products include CO₂ 1.5, H₂O 2.5, excess O₂ 1.375, and N₂ 15.52, totaling about 20.89 Sm³/Sm³.

### ANSWER
C"
environmental_science-41,environmental_science,D,D,"### ANSWER
D"
environmental_science-42,environmental_science,C,C,"Propane combustion: C₃H₈ + 5O₂ → 3CO₂ + 4H₂O. For 1 Sm³ propane, 5 Sm³ O₂ is required, so theoretical air = 5 / 0.21 = 23.81 Sm³. Nitrogen supplied = 23.81 × 0.79 = 18.81 Sm³. Dry flue gas includes CO₂ (3 Sm³) plus N₂ (18.81 Sm³), totaling 21.81 Sm³/Sm³. Therefore, the theoretical dry combustion gas amount is approximately 21.8 Sm³/Sm³.

### ANSWER
C"
environmental_science-43,environmental_science,D,B,"환경기술인의 준수사항 위반은 형사처벌이 아닌 행정질서벌인 과태료 부과 대상이며, 관련 환경법령에서 환경부령으로 정한 준수사항을 이행하지 아니한 자에게 200만원 이하의 과태료를 부과하도록 규정하고 있습니다. 따라서 벌금형인 A는 적절하지 않고, 과태료 금액이 200만원인 B가 정답입니다.

### ANSWER
B"
environmental_science-44,environmental_science,D,D,"### ANSWER
D"
environmental_science-45,environmental_science,B,B,"중유 1kL의 질량은 0.95kg/L × 1000L = 950kg이고, 황 함량은 950 × 0.03 = 28.5kg/h입니다. 이 중 90%가 SO2로 전환되므로 반응한 황은 28.5 × 0.9 = 25.65kg/h입니다. SO2 분자량은 S(32)의 2배이므로 SO2 발생량은 25.65 × 2 = 51.3kg/h입니다.

### ANSWER
B"
environmental_science-46,environmental_science,B,B,"급속여과법에서 여층의 구성은 유입수와 여과수의 수질, 역세척 주기, 여과속도 등을 고려하여 결정되며, 여과면적은 대상 유량과 여과속도에 따라 산정되는 별개의 설계 요소이다. 따라서 여과면적을 여층 구성의 결정 요인으로 포함한 B가 가장 거리가 먼 설명이다.

### ANSWER
B"
machine_design_and_manufacturing-98,machine_design_and_manufacturing,D,C,"ALDC4는 Al-Si-Cu계 합금으로, 구리 첨가로 피삭성이 좋고 주조성도 우수합니다. ALDC1과 ALDC7은 Al-Si계, ALDC3은 Al-Si-Mg계에 해당합니다. 따라서 조건에 맞는 것은 ALDC4입니다.

### ANSWER
C"
machine_design_and_manufacturing-99,machine_design_and_manufacturing,D,A,"프리하든강은 제조 단계에서 미리 담금질과 뜨임 등을 통해 경화된 상태로 공급되어, 금형 가공 후 별도의 열처리가 필요 없는 강재입니다. 따라서 B는 프리하든강의 특징이고, C는 표면 경화처리 가능성, D는 플라스틱 금형 사용과 관련됩니다. A는 불림, 풀림 등 오히려 연화나 균일화를 위한 열처리를 포함하고 있어 프리하든강의 전형적인 제조 공정과 맞지 않습니다. 그러므로 관계없는 항은 A입니다.

### ANSWER
A"
