category,subcategory,level,answer,pred,response
Semantics,Conjunctions,1,E,E,"지문에서 첫 문장은 공룡을 가장 큰 동물로 생각하는 일반적인 인식을 제시한 후, 현재 살아있는 가장 큰 동물인 대왕 고래를 소개하므로 첫 번째 공백에는 대조적 연결어가 필요하다. 두 번째 공백은 우리에게 소중한 순간이라는 주장을 추측적으로 표현해야 하므로 ""어쩌면""이 적합하다. 세 번째 공백은 앞서 언급된 주장의 이유를 설명하므로 ""그 이유는""이 적절하며, 마지막 공백은 고래의 추가 특성을 연결하므로 ""아울러""가 적합하다. 옵션 E가 이러한 요구에 정확히 부합한다.

### ANSWER
E"
Syntax,Embedded Clauses,1,F,F,"문장 중에서 관형어의 역할을 하는 것은 명사나 명사구를 수식하는 부분이다. **F** 문장에서 ""녹여둔""은 동사에서 관형화된 형태로 ""밥""을 수식하고 있다. 다른 옵션들은 주어, 서술어 또는 보어 역할을 하며, 관형어 역할은 하지 않는다. 

### ANSWER
F"
Pragmatics,Discourse Principles,1,H,H,"### 분석  
문제는 을이 갑의 발언과 관련이 없게 의도적으로 대답한 사례를 찾는 것입니다. 각 옵션을 검토하면:  
- **H**: 갑이 ""내일 날씨는 어떻다니?""라고 물었으나, 을은 ""아유, 무릎이 막 쑤시네""로 무릎 통증을 언급해 **완전한 관련성 부족**을 보입니다. 날씨와 무릎 통증은 전혀 연결되지 않습니다.  
- 다른 옵션(A~G, I, J)은 갑의 질문에 직접적 또는 간접적으로 관련된 답변을 제공합니다(e.g., B, C, I는 이유를 설명, E, G는 장소에 대한 답변).  

### ANSWER  
H"
Syntax,Embedded Clauses,1,C,,[EMPTY_RESPONSE]
Pragmatics,Speech Acts,1,G,G,"### 추론
'뒤로 좀 가시면 좋겠는데요.'는 **간접적 친절한 요청**을 표현하는 문장 유형으로, ""~하면 좋겠다"" 구조를 사용한다. 문제는 이와 **같은 기능(친절한 요청)**을 **다른 문장 유형**을 통해 수행하는 예 중 **해당되지 않는 것**을 찾는 것이다. 즉, 친절한 요청을 하지 않거나 구조가 완전히 다른 문장을 찾아야 한다.

- **G**: ""넌 정말 앞으로 한 번만 더 거짓말 하기만 해 봐라.""는 **도전적·위협적** 표현으로, ""~해 봐라"" 구조는 **도전**을 의미하며 친절한 요청과 전혀 다른 기능과 유형을 가한다. 다른 옵션들은 모두 **간접적 요청**을 다양한 유형(예: ~어때?, ~있을까요?, ~줄래?, ~시겠어요? 등)으로 표현하고 있다.

### ANSWER
G"
Syntax,Embedded Clauses,1,B,,[EMPTY_RESPONSE]
Syntax,Embedded Clauses,1,I,I,"### 추론
문제는 주어 역할의 명사절을 안은 문장을 찾는 것입니다. 명사절이 주어 역할을 할 때, 그 명사절이 주어로 작용하여 문장의 주체가 되어야 합니다. 옵션 I인 ""이 중학생이 테스트를 제시간에 마쳤는지가 의심스럽다""에서 ""이 중학생이 테스트를 제시간에 마쳤는지""가 명사절로서 주어 역할을 하며 ""가""로 표시되어 있습니다. 다른 옵션들은 명사절이 주어가 아닌 구조입니다.

### ANSWER
I"
Syntax,Argument Structure & Valency,1,J,J,"### 분석:  
문제는 꺽쇠 안의 서술어가 요구하는 자릿수가 세 자리인 것을 선택해야 한다. 각 옵션에서 꺽쇠 안의 동사 주변에 등장하는 수치를 확인한다.  
- **J 옵션**: ""100억의 연봉""에서 '100'은 세 자리 수이며, 동사 <제안했다>는 이 수치와 직접 연결되어 사용된다.  
- 다른 옵션들은 1자리(예: 5년, 한 자루) 또는 4자리(7080 메들리) 수치를 사용하거나 수치가 전혀 없다.  

### ANSWER  
J"
Pragmatics,Discourse Principles,1,H,H,"### 추론  
문제는 '을'이 자신의 태도를 드러내기 위해 근거 없이 거짓 정보를 의도적으로 발화하여 대화의 진실성을 지키지 않는 사례를 찾는 것이다. 옵션 H에서 '을'은 ""지연이 할머니는 잊을 만 하면 돌아가시네""라고 말하며, 지연이 할머니 사망을 핑계로 사용한 것에 대한 비판을 풍자적으로 표현한다. 이는 사실이 아니면서도 자신의 의심이나 비판적 태도를 드러내기 위한 의도적 거짓말로, 대화의 진실성을 위반한다. 다른 옵션들은 태도 표현이 있지만 근거 없는 거짓 정보 사용이 아니다.  

### ANSWER  
H"
Pragmatics,Implicature,1,I,I,"### 분석  
문제는 갑의 질문에 대해 을이 **부정의 답**을 하지 않은 경우를 찾는 것입니다. 부정의 답은 질문의 주장을 부정하거나 부정적 의사를 나타내는 답변을 의미합니다. 각 옵션에서 을의 답변이 질문을 부정하는지 확인해야 합니다.  

- **I 옵션**: 갑이 ""저녁은 챙겨 드셨어요?""(저녁을 먹었나요?)라고 묻고, 을이 ""내가 언제 밥때 거르는 것 봤니?""(내가 언제 밥을 거르는 것을 봤니?)라고 답합니다. 이는 **""저는 항상 밥을 먹는다""**는 긍정적 주장으로, 질문을 부정하지 않고 오히려 **확인**하는 답변입니다. 따라서 부정의 답이 아닙니다.  
- 다른 모든 옵션(A~H, J)은 질문에 대한 부정적 회답(예: ""잘하면 소원이 없겠어요"", ""기대도 안 해요"", ""다이어트 시켜야 된다잖아"")을 포함하고 있습니다.  

### ANSWER  
I"
