qid,category,answer,pred,response
marketing-22,marketing,D,D,"고가격 정책은 수요의 가격탄력성이 작아 가격을 높여도 수요가 크게 줄지 않고, 소량 다품종 생산으로 차별화된 제품에 적합한 전략입니다.

### ANSWER
D"
marketing-23,marketing,A,C,"직무분석과 직무평가를 통해 해당 직무의 자격요건을 정하고, 그 요건을 충족하는 적격자를 승진시키는 제도는 자격승진입니다.

### ANSWER
C"
marketing-24,marketing,D,D,"### ANSWER
D"
marketing-25,marketing,B,B,"구조적 면접은 표준화된 질문을 사용하므로 A는 비구조적 면접에 해당한다. 순차적 면접은 여러 계층의 관리자가 순서대로 면접하는 방식으로 B가 옳다. 집단 면접은 여러 지원자를 함께 면접하는 방식이며, 다수의 면접관이 한 명을 면접하는 것은 패널 면접이다. 스트레스 면접은 피면접자에게 스트레스를 주는 방식이므로 D는 잘못되었다.

### ANSWER
B"
marketing-26,marketing,C,C,"### ANSWER
C"
marketing-27,marketing,D,D,"인적자원관리의 기능 중 유지관리기능은 근로조건 개선과 노동질서 유지·발전을 위한 제반 문제를 해결하는 것이다.

### ANSWER
D"
marketing-28,marketing,A,A,"### ANSWER
A"
marketing-29,marketing,A,B,"The question asks about a data mining technique used in CRM to identify products purchased together (market basket analysis). However, the provided choices are all definitions of communication, which do not match the question. Among the choices, option B provides the most accurate and comprehensive definition of communication, making it the best available answer despite the mismatch.

### ANSWER
B"
machine_design_and_manufacturing-98,machine_design_and_manufacturing,D,A,"ALDC1 is the Al-Si-Cu die-casting alloy noted for good castability and machinability, matching the description.

### ANSWER
A"
machine_design_and_manufacturing-99,machine_design_and_manufacturing,D,D,"### ANSWER
D"
chemical_engineering-0,chemical_engineering,D,D,"칼슘이온(Ca²⁺) 농도를 CaCO₃ 기준 경도로 환산하면 약 2.5배를 곱한다.  
20 mg/L × 2.5 = 50 mg/L as CaCO₃ = 50 ppm 경도.

### ANSWER
D"
chemical_engineering-1,chemical_engineering,B,B,"나프타 열분해(스팀 크래킹)의 주생성물은 에틸렌, 프로필렌, 메탄 등이며, 벤젠은 주로 접촉 개질에서 생성된다.

### ANSWER
B"
chemical_engineering-2,chemical_engineering,B,B,"### ANSWER
B"
chemical_engineering-3,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-4,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-5,chemical_engineering,A,D,"### ANSWER
D"
accounting-26,accounting,A,A,"현금실사 시 부족 100,000원을 현금과부족(차변)으로 기록했고, 결산일에 미기록 여비교통비 120,000원을 발견했으므로 여비교통비 120,000원을 비용으로 인식하고 현금과부족을 대변으로 처리합니다. 이후 현금과부족이 대변 20,000원이 되어 원인 불명의 잉여이므로 잡이익으로 대체합니다.

### ANSWER
A"
accounting-27,accounting,C,C,"옳지 않은 것은 C이다. 서술형 정보는 당기 재무제표의 이해에 관련되는 경우 전기 정보도 함께 표시해야 하므로, “당기정보만 표시한다”는 설명은 틀렸다.

### ANSWER
C"
accounting-28,accounting,C,C,"C는 중요성을 보강적 질적 특성으로 포함하나, 중요성은 목적적합성의 일부이며 보강적 특성은 비교가능성, 검증가능성, 적시성, 이해가능성이다.

### ANSWER
C"
accounting-29,accounting,A,A,"### ANSWER
A"
accounting-30,accounting,A,A,"거래가격은 기업이 고객에게 재화나 용역을 이전하고 받을 권리를 갖게 될 대가를 의미하며, 제3자를 대신하여 회수한 금액(예: 일부 판매세)은 거래가격에 포함하지 않는다. 따라서 A가 옳지 않다.

### ANSWER
A"
accounting-31,accounting,D,D,"### ANSWER
D"
accounting-32,accounting,B,B,"건물도색비는 수익적 지출로 비용 처리해야 하는데 자산으로 계상하면 당기 비용이 과소계상되어 당기순이익이 과대계상되고, 법인세가 과다하게 계상된다.

### ANSWER
B"
accounting-33,accounting,D,D,"할인을 매각거래로 처리하면 은행으로부터 할인받은 약속어음은 받을어음이 감소하므로 대변에 기입해야 한다. 따라서 차변에 기입하는 D는 옳지 않다.

### ANSWER
D"
environmental_science-39,environmental_science,D,C,"### ANSWER
C"
environmental_science-40,environmental_science,C,C,"Theoretical O₂ = 0.5×2 + 0.5×3.5 = 2.75 Sm³  
Theoretical air = 2.75 / 0.21 = 13.10 Sm³  
Actual air = 13.10 × 1.5 = 19.64 Sm³  

Wet flue gas = CO₂(1.5) + H₂O(2.5) + N₂(15.52) + excess O₂(1.375) ≈ 20.89 Sm³/Sm³ ≈ 21

### ANSWER
C"
environmental_science-41,environmental_science,D,D,"### ANSWER
D"
