category,answer,pred,response
Maritime-Engineering,B,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,D,D,D
Maritime-Engineering,A,A,A
Maritime-Engineering,D,B,B
Maritime-Engineering,D,B,B: 5.9%
Maritime-Engineering,A,D,D
Maritime-Engineering,C,D,D
Maritime-Engineering,C,C,C: 25㎜ 이상
Maritime-Engineering,C,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,C,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,C,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,A,A,A
Maritime-Engineering,D,B,B: 11.5
Maritime-Engineering,A,D,D: 6배이상
Maritime-Engineering,D,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,A,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,D,C,C: 540㎜
Maritime-Engineering,A,D,D
Maritime-Engineering,A,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,B,B,B: 3배
Maritime-Engineering,A,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,"B: 1/2 이하, 400"
Maritime-Engineering,B,C,C
Maritime-Engineering,D,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,A,B,B: 90cm 선수트림
Maritime-Engineering,B,B,B
Maritime-Engineering,B,A,A
Maritime-Engineering,A,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,A,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,D,C,C: 32.5MPa
Maritime-Engineering,A,D,D
Maritime-Engineering,B,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,B,B,B: 5배 이상
Maritime-Engineering,B,B,B
Maritime-Engineering,A,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,A,C,C: 200㎜
Maritime-Engineering,A,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,C,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,A,C,C
Maritime-Engineering,C,B,B: 38㎜ 이상
Maritime-Engineering,B,B,B: 약 1.15배
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,C,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,D,C,C: 76.2㎜
Materials-Engineering,C,D,D
Materials-Engineering,C,C,C
Materials-Engineering,B,B,B
Materials-Engineering,C,C,C
Materials-Engineering,A,D,D
Materials-Engineering,B,A,A
Materials-Engineering,B,C,C
Materials-Engineering,A,B,B: 1/10000 시간
Materials-Engineering,C,C,C
Materials-Engineering,C,B,"B: α = 34, P = 66"
Materials-Engineering,D,D,D
Materials-Engineering,B,B,B
Materials-Engineering,B,B,B
Materials-Engineering,D,C,C
Materials-Engineering,D,B,B
Materials-Engineering,C,D,D
Materials-Engineering,A,B,B
Materials-Engineering,B,C,C
Materials-Engineering,B,C,C
Materials-Engineering,A,C,C
Materials-Engineering,B,B,B
Materials-Engineering,B,B,B
Materials-Engineering,D,D,D
Materials-Engineering,C,C,C
Materials-Engineering,D,B,B: 3501
Materials-Engineering,A,C,C
Materials-Engineering,B,C,C
Materials-Engineering,D,B,B: 0.135mm 인장
Materials-Engineering,B,B,B
Materials-Engineering,D,B,B
Materials-Engineering,D,D,D
Materials-Engineering,B,B,B
Materials-Engineering,A,D,D
Materials-Engineering,D,D,D
Materials-Engineering,B,C,C
Materials-Engineering,C,D,D
Materials-Engineering,B,B,B: 125
Materials-Engineering,C,B,B
Materials-Engineering,B,A,A: 2 ~ 3 mm 정도
Materials-Engineering,D,C,C
Materials-Engineering,A,A,A
Materials-Engineering,B,D,D
Materials-Engineering,B,D,D
Materials-Engineering,D,B,"B: A = 50, C = 40"
Materials-Engineering,A,C,C
Materials-Engineering,A,B,B
Materials-Engineering,C,B,B
Materials-Engineering,B,D,D
Materials-Engineering,A,C,C
Materials-Engineering,B,D,D
Materials-Engineering,B,D,D
Materials-Engineering,D,D,D
Materials-Engineering,D,B,B
Materials-Engineering,D,D,D
Materials-Engineering,B,C,C
Materials-Engineering,D,C,C
Materials-Engineering,C,C,C
Materials-Engineering,B,C,C
Materials-Engineering,D,C,C
Materials-Engineering,B,B,B: 13.5%
Materials-Engineering,A,C,C
Materials-Engineering,B,C,C
Materials-Engineering,B,C,C
Materials-Engineering,B,B,B
Materials-Engineering,C,D,D
Materials-Engineering,C,B,B
Materials-Engineering,B,C,C
Materials-Engineering,C,D,D
Materials-Engineering,B,B,B
Materials-Engineering,B,C,C
Materials-Engineering,A,C,C
Materials-Engineering,D,D,D
Materials-Engineering,B,D,D
Materials-Engineering,A,D,D
Materials-Engineering,C,C,C
Materials-Engineering,D,B,B
Materials-Engineering,B,C,C
Materials-Engineering,B,B,B
Materials-Engineering,B,C,C
Materials-Engineering,A,B,B
Materials-Engineering,B,D,D
Materials-Engineering,C,B,B: 23.9 × 10-6
Materials-Engineering,A,B,B
Materials-Engineering,B,B,"B: a = b = c, α = β = γ ="
Materials-Engineering,A,C,C
Materials-Engineering,B,B,B
Materials-Engineering,C,C,C
Materials-Engineering,A,C,C
Materials-Engineering,B,D,D
Materials-Engineering,C,B,B: 1 : 1.5
Materials-Engineering,D,D,D
Materials-Engineering,D,C,C
Materials-Engineering,C,D,D
Materials-Engineering,C,C,C
Materials-Engineering,C,B,B
Materials-Engineering,B,B,B
Materials-Engineering,C,B,B
Materials-Engineering,C,C,C
Materials-Engineering,D,B,B
Materials-Engineering,A,D,D
Railway-And-Automotive-Engineering,A,D,D
Railway-And-Automotive-Engineering,B,D,D
Railway-And-Automotive-Engineering,D,A,A
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,C,B,B
Railway-And-Automotive-Engineering,B,C,C
Railway-And-Automotive-Engineering,B,C,C: 17530
Railway-And-Automotive-Engineering,A,C,C
Railway-And-Automotive-Engineering,D,B,B: 8.96
Railway-And-Automotive-Engineering,B,D,D
Railway-And-Automotive-Engineering,B,B,B: 4.2
Railway-And-Automotive-Engineering,B,B,B
Railway-And-Automotive-Engineering,B,B,B: 32.2
Railway-And-Automotive-Engineering,C,D,D
