qid,category,answer,pred,response
accounting-26,accounting,A,A,"### ANSWER
A"
accounting-27,accounting,C,C,"서술형 정보도 당기 재무제표를 이해하는 데 목적적합한 경우 비교정보를 포함해야 하므로, 당기정보만 표시한다는 설명은 옳지 않다.

### ANSWER
C"
accounting-28,accounting,C,C,"### ANSWER
C"
accounting-29,accounting,A,A,"### ANSWER
A"
maritime_engineering-0,maritime_engineering,B,B,"B의 동방위표지는 급섬광 3회(Q(3))가 맞으며, 2회는 틀린 설명이다. 북방위는 연속 급섬광, 남방위는 6회+장섬광, 서방위는 9회로 옳다.

### ANSWER
B"
maritime_engineering-1,maritime_engineering,A,A,"### ANSWER
A"
maritime_engineering-2,maritime_engineering,D,D,"Gas turbines rotate in one direction only and cannot be reversed, so a reversing device (gear or CPP) is required for propulsion; thus ""역전장치가 필요없다"" is incorrect. Low thermal efficiency, light weight, and need for auxiliary equipment are all true characteristics.

### ANSWER
D"
maritime_engineering-3,maritime_engineering,A,A,"항로표지는 이용 수단에 따라 주간(형상)표지, 야간(광파)표지, 음파표지, 전파표지, 특수신호표지로 분류된다. 위험표지는 이러한 분류 방식에 속하지 않는다.

### ANSWER
A"
environmental_science-39,environmental_science,D,D,"### ANSWER
D"
environmental_science-40,environmental_science,C,C,"Theoretical O₂ = 0.5(2)+0.5(3.5)=2.75; A₀=13.1, actual air=19.64. Wet gas = CO₂(1.5)+H₂O(2.5)+N₂(15.5)+excess O₂(1.375) ≈ 20.9.

### ANSWER
C"
environmental_science-41,environmental_science,D,D,"일반적인 슬러지 처리 계통은 농축 → 안정화(소화) → 개량(약품처리) → 탈수 → 최종처분 순서이다.

### ANSWER
D"
environmental_science-42,environmental_science,C,C,"C3H8 + 5O2 → 3CO2 + 4H2O; theoretical air = 5/0.21 = 23.81, N2 = 18.81; dry gas = 3 + 18.81 ≈ 21.8 Sm³/Sm³.

### ANSWER
C"
accounting-30,accounting,A,A,"### ANSWER
A"
accounting-31,accounting,D,D,"9개월분(4월~12월) = 2,700,000원이 당기 비용으로 인식되므로, 자산으로 처리했던 선급보험료를 보험료로 대체하는 분개가 필요합니다.

### ANSWER
D"
accounting-32,accounting,B,B,"### ANSWER
B"
accounting-33,accounting,D,D,"### ANSWER
D"
maritime_engineering-4,maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering-5,maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering-6,maritime_engineering,A,A,"180° 표준갈고리는 반원 끝에서 철근지름의 4배 이상, 그리고 최소 60mm(6cm) 이상 연장해야 한다는 규정이 적용된다.

### ANSWER
A"
maritime_engineering-7,maritime_engineering,C,C,"[파압력은 가장 불리한 조건, 즉 수위가 가장 높은 상태에서 구조물에 작용하는 힘이 최대가 되므로 설계 시 최고고조면을 정수면으로 적용한다.]

### ANSWER
C"
accounting-34,accounting,D,D,"### ANSWER
D"
accounting-35,accounting,C,C,"### ANSWER
C"
accounting-36,accounting,D,D,"### ANSWER
D"
accounting-37,accounting,C,C,"### ANSWER
C"
environmental_science-43,environmental_science,D,B,"환경기술인의 준수사항 미이행은 벌금이 아닌 과태료 부과 대상이며, 대기환경보전법상 과태료 기준으로 200만원 이하의 과태료가 규정되어 있다.

### ANSWER
B"
environmental_science-44,environmental_science,D,D,"자가측정 대상 항목은 배출구를 통해 배출되는 먼지, 황산화물, 매연 등이며, 비산먼지는 배출구 없이 흩날리는 것으로 자가측정 항목에 해당하지 않는다.

### ANSWER
D"
environmental_science-45,environmental_science,B,B,"### ANSWER
B"
environmental_science-46,environmental_science,B,B,"### ANSWER
B"
machine_design_and_manufacturing-98,machine_design_and_manufacturing,D,D,"### ANSWER
D"
machine_design_and_manufacturing-99,machine_design_and_manufacturing,D,D,"### ANSWER
D"
chemical_engineering-0,chemical_engineering,D,D,"Calcium hardness as CaCO₃ = 20 × (100/40) = 50 mg/L, since equivalent weight ratio converts Ca²⁺ to CaCO₃ hardness.

### ANSWER
D"
chemical_engineering-1,chemical_engineering,B,B,"Naphtha 열분해의 주생성물은 에틸렌, 프로필렌, 부타디엔, 메탄 등 저분자 올레핀·파라핀이다. 벤젠 등 방향족은 접촉개질(reforming)이나 부생 분해가솔린에서 주로 얻어지므로 열분해 주생성물과는 거리가 있다.

### ANSWER
B"
maritime_engineering-8,maritime_engineering,C,C,"철근 배근 규정에 따르면 동일 평면 내 평행 철근의 수평 순간격은 25mm 이상, 또한 철근 공칭지름 이상, 굵은골재 최대치수의 4/3배 이상이어야 한다.

### ANSWER
C"
maritime_engineering-9,maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering-10,maritime_engineering,A,A,"S는 Sand(모래)를 의미하며, 찰흙(Clay)은 Cy 또는 Cl로 표기한다. Sh는 shells(조개껍질), St는 stones(돌), Wd는 weed(해초)로 올바르게 연결되어 있다.

### ANSWER
A"
maritime_engineering-11,maritime_engineering,C,C,"KDS 규정에 따르면 옥외의 공기나 흙에 직접 접하지 않는 현장치기 콘크리트 중 보와 기둥의 최소 피복두께는 40mm이다(슬래브·벽체는 20mm).

### ANSWER
C"
accounting-38,accounting,B,B,"### ANSWER
B"
accounting-39,accounting,D,D,"### ANSWER
D"
accounting-40,accounting,C,C,"### ANSWER
C"
accounting-41,accounting,B,B,"B is wrong—should be amortized cost.

### ANSWER
B"
environmental_science-47,environmental_science,C,C,"### ANSWER
C"
environmental_science-48,environmental_science,C,C,"Retention time = V/Q = 250/1000 = 0.25 day = 6 hours.

### ANSWER
C"
environmental_science-49,environmental_science,C,B,"### ANSWER
B"
environmental_science-50,environmental_science,B,B,"### ANSWER
B"
chemical_engineering-2,chemical_engineering,B,B,"### ANSWER
B"
chemical_engineering-3,chemical_engineering,D,D,"### ANSWER
D"
chemical_engineering-4,chemical_engineering,D,D,"Energy balance: 1000(2676) + m(3278) = (1000+m)(3074) → 204m = 398000 → m ≈ 1951 kg/h, so total outflow ≈ 2951 kg/h.

### ANSWER
D"
chemical_engineering-5,chemical_engineering,A,D,"### ANSWER
D"
environmental_science-51,environmental_science,B,B,"### ANSWER
B"
environmental_science-52,environmental_science,C,C,"### ANSWER
C"
environmental_science-53,environmental_science,C,C,"### ANSWER
C"
environmental_science-54,environmental_science,C,C,"### ANSWER
C"
accounting-42,accounting,D,D,"### ANSWER
D"
accounting-43,accounting,B,B,"### ANSWER
B"
accounting-44,accounting,A,A,"Annual depreciation is ₩20,000,000 ÷ 20 = ₩1,000,000. In 2014, the asset was held for 9 months (Jan 1 to Sep 30), so depreciation = ₩1,000,000 × 9/12 = ₩750,000.

### ANSWER
A"
accounting-45,accounting,D,D,"### ANSWER
D"
chemical_engineering-6,chemical_engineering,D,D,"Using absolute temperatures: 2000 R and 900 R, efficiency = 1 − 900/2000 = 0.55.

### ANSWER
D"
chemical_engineering-7,chemical_engineering,A,A,"Reasoning: The half-life expression is t₁/₂ = (2^(n−1) − 1)/[k(n−1)C_A0^(n−1)]. When the half-life is independent of initial concentration (t₁/₂ = ln2/k = 0.693/k), the exponent on C_A0 vanishes, which occurs only for n = 1. Thus this case corresponds to a first-order reaction.

### ANSWER
A"
chemical_engineering-8,chemical_engineering,B,B,"### ANSWER
B"
chemical_engineering-9,chemical_engineering,C,C,"Plait point는 tie line의 길이가 0이 되어 두 상의 조성이 같아지는 점이므로, tie line이 가장 길어진다는 설명은 틀렸다.

### ANSWER
C"
maritime_engineering-12,maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering-13,maritime_engineering,A,D,"SOLAS 및 관련 규정에 따르면 양방향 VHF 무선전화장치는 항행 중 매월 1회 이상 기능을 확인하도록 규정되어 있다(구명설비 주간·월간 점검 규정 중 월간 점검 항목).

### ANSWER
D"
maritime_engineering-14,maritime_engineering,A,A,"Trim은 선수 흘수와 선미 흘수의 차이로 정의됩니다.

### ANSWER
A"
maritime_engineering-15,maritime_engineering,B,B,"### ANSWER
B"
chemistry-0,chemistry,B,B,"Background/spectral interference correction methods include continuum source (D2 lamp), Zeeman effect, and source self-reversal (Smith–Hieftje). Releasing/protective agents address chemical interferences, not spectral ones.

### ANSWER
B"
chemistry-1,chemistry,D,D,"Errors in glass-electrode pH measurement include junction (contact) potential, alkaline/sodium error, and uncertainty in the standard buffer's pH. Experimentally correcting for the selectivity coefficient is a correction method that reduces error rather than a source of it.

### ANSWER
D"
chemistry-2,chemistry,B,B,"### ANSWER
B"
chemistry-3,chemistry,B,B,"장비 밸리데이션은 DQ, IQ, OQ, PQ 4단계로 구성되며, CQ(Calibration Qualification)는 표준 밸리데이션 항목이 아니다(교정은 별도 관리 항목).

### ANSWER
B"
chemical_engineering-10,chemical_engineering,A,A,"### ANSWER
A"
chemical_engineering-11,chemical_engineering,B,B,"리빙 음이온 중합은 성장 말단이 소멸되지 않아 단량체를 순차적으로 첨가해 블록을 형성할 수 있어 SBS 제조에 사용된다.

### ANSWER
B"
chemical_engineering-12,chemical_engineering,B,B,"Fourier's law: q = kΔT/L = 0.02 × (300−30)/0.1 = 0.02 × 2700 = 54 kcal/m²·h.

### ANSWER
B"
chemical_engineering-13,chemical_engineering,C,C,"### ANSWER
C"
environmental_science-55,environmental_science,B,C,"### ANSWER
C"
environmental_science-56,environmental_science,D,D,"Reasoning: HCl volume = 1 m³/hr → 1/22.4 = 0.0446 kmol. Reaction 2HCl + Ca(OH)₂ → CaCl₂ + 2H₂O, so Ca(OH)₂ = 0.0223 kmol × 74 kg/kmol ≈ 1.65 kg.

### ANSWER
D"
environmental_science-57,environmental_science,D,D,"### ANSWER
D"
environmental_science-58,environmental_science,C,C,"### ANSWER
C"
maritime_engineering-16,maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering-17,maritime_engineering,D,D,"평균수면(평균해면)을 기준으로 등화의 중심까지의 수직 높이를 등고라 하며, 해도상 물표의 높이 기준과 동일합니다.

### ANSWER
D"
maritime_engineering-18,maritime_engineering,D,D,"Rolling period T = 2πk/√(g·GM), so k = T√(g·GM)/(2π) = 15×3.13/6.28 ≈ 7.5 m.

### ANSWER
D"
maritime_engineering-19,maritime_engineering,A,A,"동해고유수는 동해 심층(200m 이하)에 존재하며 수온이 약 0~1℃로, 황해저층냉수(6~10℃)나 북한한류수보다 훨씬 낮아 우리나라 주변해 수괴 중 가장 저온이다.

### ANSWER
A"
chemistry-4,chemistry,B,B,"Common atomization methods in atomic spectroscopy include flame, electrothermal (graphite furnace), and plasma sources such as ICP. Ultrasonic devices are used for nebulization (sample introduction), not as an atomization source.

### ANSWER
B"
chemistry-5,chemistry,B,B,"B is incorrect: precipitating agent should be added slowly (dropwise) with stirring to keep relative supersaturation low and grow large crystals; adding it quickly causes rapid nucleation and colloidal/fine particles. The other options (raising temperature to increase solubility, stirring well, using dilute precipitant) all reduce relative supersaturation.

### ANSWER
B"
chemistry-6,chemistry,D,D,"### ANSWER
D"
chemistry-7,chemistry,B,B,"Adding a common ion (SO4²⁻ from sulfuric acid or Ba²⁺ from BaCl₂) shifts equilibrium and causes precipitation, and Ksp indeed varies with temperature. Adding NaCl, an inert electrolyte, increases ionic strength and actually slightly increases solubility (salt effect), so no precipitate forms.

### ANSWER
B"
chemical_engineering-14,chemical_engineering,C,B,"### ANSWER
B"
