category,answer,pred,response
Maritime-Engineering,B,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,D,A,A
Maritime-Engineering,A,D,D
Maritime-Engineering,D,A,A
Maritime-Engineering,D,C,C
Maritime-Engineering,A,A,A
Maritime-Engineering,C,A,A: 평균수면 (A: Mean sea level)
Maritime-Engineering,C,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,A,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,C,A,A
Maritime-Engineering,D,C,C: 기본수준면에서 등화 중심까지의 높이
Maritime-Engineering,D,C,C: 6.5
Maritime-Engineering,A,B,B
Maritime-Engineering,D,A,A
Maritime-Engineering,A,B,B
Maritime-Engineering,D,C,C: 12
Maritime-Engineering,A,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,D,C,C: 120㎜
Maritime-Engineering,A,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,C,A,A
Maritime-Engineering,A,C,C
Maritime-Engineering,B,A,A
Maritime-Engineering,D,C,C: 12
Maritime-Engineering,A,C,C
Maritime-Engineering,D,C,C: 8배
Maritime-Engineering,D,C,C
Maritime-Engineering,A,A,A
Maritime-Engineering,A,C,C: 45㎜ 이상
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,C,A,A: 부심 높이 (A: Metacentric height)
Maritime-Engineering,B,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,B,C,C: 4배
Maritime-Engineering,A,A,A
Maritime-Engineering,A,A,A
Maritime-Engineering,A,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,C,C,C: 25㎜
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C: 1/6
Maritime-Engineering,D,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,D,D,D
Maritime-Engineering,C,A,A: clay
Maritime-Engineering,A,C,C: 20cm 선수트림
Maritime-Engineering,B,A,A
Maritime-Engineering,B,C,C
Maritime-Engineering,A,C,C: 3배
Maritime-Engineering,C,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,A,A,A: 콘크리트 표면과 그에 가장 가까이 배치된 철근 표면사이의 최단거리이다. (The shortest distance between the concrete surface and the surface of the closest steel reinforcement.)
Maritime-Engineering,A,A,A
Maritime-Engineering,D,C,C
Maritime-Engineering,B,A,A
Maritime-Engineering,A,A,A: 철근의 단면적(AS)에 비례한다. (A: It is proportional to the cross-sectional area of the reinforcement (AS).)
Maritime-Engineering,B,C,C
Maritime-Engineering,D,C,C: 32.5MPa
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C: 쯔나미(tsunami)
Maritime-Engineering,B,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,A,C,C: 12db
Maritime-Engineering,D,A,A: 유조선 (A: Tanker ship)
Maritime-Engineering,A,C,C
Maritime-Engineering,A,C,C: 201kg/cm2
Maritime-Engineering,B,C,C
Maritime-Engineering,A,A,A: 특수신호표지
