qid,id,category,trial,answer,pred,response
KIIP_law_31,KIIP_law_31,Law,0,A,A,"한국 민법상 이혼은 부부의 합의에 따른 협의이혼과 법원의 재판에 따른 재판상 이혼으로 구분됩니다. 조정이나 중재, 협상은 법정 이혼 방법이 아닙니다.

### ANSWER
A"
KIIP_law_32,KIIP_law_32,Law,0,A,A,"### ANSWER
A"
KIIP_law_33,KIIP_law_33,Law,0,A,A,"### ANSWER
A"
KIIP_law_34,KIIP_law_34,Law,0,A,A,"### ANSWER
A"
KIIP_law_35,KIIP_law_35,Law,0,A,A,"### ANSWER
A"
KIIP_law_36,KIIP_law_36,Law,0,A,A,"### ANSWER
A"
KIIP_law_37,KIIP_law_37,Law,0,C,C,"### ANSWER
C"
KIIP_law_38,KIIP_law_38,Law,0,D,D,"### ANSWER
D"
KIIP_tradition_128,KIIP_tradition_128,Tradition,0,B,B,"돌잔치에서 받은 금반지는 단순히 보관하기도 하지만, 아이가 자라 결혼할 때 결혼반지로 다시 만들어 활용하는 전통이 있다.

### ANSWER
B"
KIIP_tradition_129,KIIP_tradition_129,Tradition,0,D,D,"돌잔치에서는 전통적으로 금반지를 선물하는 경우가 많았지만, 금값이 크게 오르면서 부담이 커져 최근에는 현금인 축의금을 주는 경우가 많아졌다.

### ANSWER
D"
KIIP_tradition_130,KIIP_tradition_130,Tradition,0,B,B,"### ANSWER
B"
KIIP_tradition_131,KIIP_tradition_131,Tradition,0,A,A,"### ANSWER
A"
KIIP_tradition_132,KIIP_tradition_132,Tradition,0,C,C,"### ANSWER
C"
KIIP_tradition_133,KIIP_tradition_133,Tradition,0,A,A,"In Korean tradition, the first birthday (돌) and the 60th birthday (환갑) are given special cultural significance.

### ANSWER
A"
KIIP_tradition_134,KIIP_tradition_134,Tradition,0,B,B,"한국 전통에서는 아기가 태어난 지 100일이 되는 날 백일잔치를 열어 건강과 장수를 축하한다.

### ANSWER
B"
KIIP_tradition_135,KIIP_tradition_135,Tradition,0,B,B,"### ANSWER
B"
KIIP_economy_1,KIIP_economy_1,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_2,KIIP_economy_2,Economy,0,A,A,"### ANSWER
A"
KIIP_economy_3,KIIP_economy_3,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_4,KIIP_economy_4,Economy,0,D,D,"### ANSWER
D"
KIIP_economy_5,KIIP_economy_5,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_6,KIIP_economy_6,Economy,0,B,B,"South Korea’s 2010s economy is centered on manufacturing and services, with sectors like semiconductors, automobiles, finance, and IT leading the industrial structure.

### ANSWER
B"
KIIP_economy_7,KIIP_economy_7,Economy,0,B,B,"### ANSWER
B"
KIIP_economy_8,KIIP_economy_8,Economy,0,A,A,"### ANSWER
A"
KIIP_politics_62,KIIP_politics_62,Politics,0,B,B,"### ANSWER
B"
KIIP_politics_63,KIIP_politics_63,Politics,0,D,D,"대한민국은 1948년 8월 15일, 조선민주주의인민공화국은 1948년 9월 9일에 각각 수립되었다.

### ANSWER
D"
KIIP_politics_64,KIIP_politics_64,Politics,0,B,B,"The Korean War began on June 25, 1950, when North Korean forces invaded South Korea across the 38th parallel.

### ANSWER
B"
KIIP_politics_65,KIIP_politics_65,Politics,0,C,C,"### ANSWER
C"
KIIP_politics_66,KIIP_politics_66,Politics,0,C,C,"The first inter-Korean summit took place in 2000 between South Korean President Kim Dae-jung and North Korean leader Kim Jong-il.

### ANSWER
C"
KIIP_politics_67,KIIP_politics_67,Politics,0,A,A,"### ANSWER
A"
KIIP_politics_68,KIIP_politics_68,Politics,0,B,C,"### ANSWER
C"
KIIP_politics_69,KIIP_politics_69,Politics,0,B,B,"### ANSWER
B"
Kedu_history_14,Kedu_history_14,History,0,B,B,"두레는 농촌의 상호부조를 위한 공동 노동 조직으로, 모내기·김매기·타작 등의 농사일을 함께 하고 일을 마친 뒤 음식을 나누며 놀이를 즐겼다. 농번기에 공동 양육과 교육을 한 것은 두레의 기능이 아니다.

### ANSWER
B"
Kedu_history_15,Kedu_history_15,History,0,A,A,"### ANSWER
A"
Kedu_history_16,Kedu_history_16,History,0,B,B,"### ANSWER
B"
Kedu_history_17,Kedu_history_17,History,0,D,D,"### ANSWER
D"
Kedu_history_18,Kedu_history_18,History,0,A,A,"### ANSWER
A"
Kedu_history_19,Kedu_history_19,History,0,A,A,"### ANSWER
A"
Kedu_history_20,Kedu_history_20,History,0,B,C,"한용운의 시집 『님의 침묵』 초판본이 한국 근대문학 작품으로는 최초로 문화재청 등록문화재로 지정되었습니다.

### ANSWER
C"
Kedu_history_21,Kedu_history_21,History,0,B,B,"종묘는 조선 왕실의 사당으로, 본전인 정전(正殿)과 서쪽에 별묘로 지어진 영녕전(永寧殿)이 있다. 보기 B에서 “태묘의 서쪽에 별묘인 정전을 지었다”고 한 것은 정전과 영녕전의 관계를 잘못 설명한 것이다.

### ANSWER
B"
KIIP_society_187,KIIP_society_187,Society,0,A,A,"### ANSWER
A"
KIIP_society_188,KIIP_society_188,Society,0,A,A,"Daycare centers in South Korea generally operate on weekdays with extended hours to support working parents, typically from around 7:30 AM to 7:30 PM, and are usually closed on weekends.

### ANSWER
A"
KIIP_society_189,KIIP_society_189,Society,0,C,C,"종일제 유치원은 평일에 확장 보육을 포함해 오전 7시부터 오후 8시까지 운영되는 것이 일반적입니다.

### ANSWER
C"
KIIP_society_190,KIIP_society_190,Society,0,A,A,"국공립 교육기관은 정부 지원을 받아 보육료가 사립보다 일반적으로 저렴하다.

### ANSWER
A"
KIIP_society_191,KIIP_society_191,Society,0,C,C,"국·공립 교육기관, 특히 어린이 대상 기관은 수요가 많아 신청 후에도 대기 기간이 길어지는 경우가 일반적이다.

### ANSWER
C"
KIIP_society_192,KIIP_society_192,Society,0,C,C,"### ANSWER
C"
KIIP_society_193,KIIP_society_193,Society,0,A,A,"### ANSWER
A"
KIIP_society_194,KIIP_society_194,Society,0,D,D,"### ANSWER
D"
KIIP_economy_9,KIIP_economy_9,Economy,0,C,C,"1960년대 한국은 수출 주도 공업화 전략 아래 섬유·신발 등 경공업을 중심으로 산업을 발달시켰다. 중화학 공업은 1970년대에 본격적으로 추진되었다.

### ANSWER
C"
KIIP_economy_10,KIIP_economy_10,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_11,KIIP_economy_11,Economy,0,D,D,"### ANSWER
D"
KIIP_economy_12,KIIP_economy_12,Economy,0,A,A,"한국의 주요 교역 상대국은 중국, 미국, 일본 순으로 규모가 크다.

### ANSWER
A"
KIIP_economy_13,KIIP_economy_13,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_14,KIIP_economy_14,Economy,0,C,C,"### ANSWER
C"
KIIP_economy_15,KIIP_economy_15,Economy,0,D,D,"### ANSWER
D"
KIIP_economy_16,KIIP_economy_16,Economy,0,A,A,"### ANSWER
A"
CSAT_korean_22_7,CSAT_korean_22_7,Textual,0,C,C,"(나)의 글쓴이는 헤겔의 변증법 모델(㉠)은 대립하는 두 범주가 조화로운 종합을 이루는 구조여야 한다고 본다. 그러나 실제 헤겔의 예술-종교-철학 체계(㉡)에서는 예술의 객관성·외면성이 점차 약화되고 종교의 주관성·내면성이 강화될 뿐, 진정한 종합이 이루어지지 않는다고 비판한다. 따라서 ㉡에서 첫 번째 범주인 예술의 특성이 갈수록 강해진다는 진술은 본문과 반대이다.

### ANSWER
C"
CSAT_korean_22_8,CSAT_korean_22_8,Textual,0,B,B,"(나)의 글쓴이는 헤겔의 변증법이 진정한 종합을 이루지 못했다고 비판하며, 철학에서 완성된 주관성이 재객관화되는 단계, 즉 ‘철학 이후’의 예술이 필요하다고 본다. 헤겔이 괴테·실러의 후기 작품을 최고의 지성적 통찰이 예술미로 승화된 것으로 평가한 것은, 이론적으로 예술을 외면성/객관성의 초보 단계로 보는 자신의 체계와 모순된다. 오히려 그런 작품들은 내면적 사유를 바탕으로 한 절대정신의 한 형태임을 보여준다. 따라서 ㉮는 ""이론에서는 외면성에 대응하는 예술이 현실에서는 내면성을 바탕으로 하는 절대정신일 수 있다""는 B가 적절하다.

### ANSWER
B"
CSAT_korean_22_9,CSAT_korean_22_9,Textual,0,C,C,"### ANSWER
C"
CSAT_korean_22_10,CSAT_korean_22_10,Textual,0,B,B,"### ANSWER
B"
CSAT_korean_22_11,CSAT_korean_22_11,Textual,0,E,E,"브레턴우즈 체제에서 달러화는 금과 고정 교환되었고, 마르크화는 달러화에 고정되었다. 따라서 마르크화가 달러화에 대해 평가 절상되면 같은 양의 마르크화로 더 많은 달러를 얻을 수 있고, 이를 통해 더 많은 금을 살 수 있게 된다. 그런데 E는 금 구입량이 감소한다고 하였으므로 옳지 않다.

### ANSWER
E"
CSAT_korean_22_12,CSAT_korean_22_12,Textual,0,E,E,"세 국가일 때 ㉠은 환율 3개, ㉡의 교차환율은 1개, ㉢은 환율 3개이므로, ㉡의 교차환율 수가 ㉢의 환율 수보다 적다.

### ANSWER
E"
CSAT_korean_22_13,CSAT_korean_22_13,Textual,0,D,D,"### ANSWER
D"
