category,answer,pred,response
Maritime-Engineering,B,A,A입니다.
Maritime-Engineering,A,D,D
Maritime-Engineering,D,C,C: 기관 중량이 가볍다.
Maritime-Engineering,A,D,D입니다.
Maritime-Engineering,D,C,C
Maritime-Engineering,D,C,C: 34.9%
Maritime-Engineering,A,B,"B) 3배, 6㎝"
Maritime-Engineering,C,B,B
Maritime-Engineering,C,D,D) 30㎜ 이상
Maritime-Engineering,C,D,D입니다.
Maritime-Engineering,A,A,A입니다.
Maritime-Engineering,C,C,C) 40㎜
Maritime-Engineering,C,C,C입니다.
Maritime-Engineering,A,D,D) 항행 중 매월 1회 이상
Maritime-Engineering,A,B,B
Maritime-Engineering,B,A,A
Maritime-Engineering,C,D,D입니다.
Maritime-Engineering,D,C,C입니다.
Maritime-Engineering,D,D,D입니다.
Maritime-Engineering,A,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,A,B,B입니다.
Maritime-Engineering,D,C,C
Maritime-Engineering,B,D,D입니다.
Maritime-Engineering,D,D,D입니다.
Maritime-Engineering,A,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,C,D,D) 0.0003
Maritime-Engineering,A,C,C입니다.
Maritime-Engineering,B,B,B
Maritime-Engineering,D,C,"C입니다.

선박의 고유 횡동요 주기는 다음 공식"
Maritime-Engineering,A,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,D,D,D입니다.
Maritime-Engineering,A,A,A
Maritime-Engineering,A,D,D입니다.
Maritime-Engineering,B,B,B
Maritime-Engineering,D,B,B: LFI
Maritime-Engineering,B,C,C입니다.
Maritime-Engineering,C,B,B
Maritime-Engineering,B,A,A입니다.
Maritime-Engineering,B,D,D
Maritime-Engineering,B,B,B
Maritime-Engineering,B,D,D입니다.
Maritime-Engineering,A,A,A
Maritime-Engineering,A,C,C입니다.
Maritime-Engineering,A,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,B,D,D입니다.
Maritime-Engineering,C,C,C입니다.
Maritime-Engineering,A,D,D
Maritime-Engineering,B,D,D)
Maritime-Engineering,D,D,D입니다.
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,C,A,A.
Maritime-Engineering,A,B,B
Maritime-Engineering,B,D,D입니다.
Maritime-Engineering,B,B,B입니다.
Maritime-Engineering,A,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,A,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,B,A,A입니다.
Maritime-Engineering,A,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,D,D,D) 38.2MPa
Maritime-Engineering,A,B,B입니다.
Maritime-Engineering,B,B,B
Maritime-Engineering,A,B,B입니다.
Maritime-Engineering,B,C,C
Maritime-Engineering,B,B,B입니다.
Maritime-Engineering,D,C,C
Maritime-Engineering,D,D,D입니다.
Maritime-Engineering,D,D,D입니다.
Maritime-Engineering,B,D,D
Maritime-Engineering,B,B,B: 5배 이상
Maritime-Engineering,B,B,B입니다.
Maritime-Engineering,A,D,D입니다.
Maritime-Engineering,D,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,B,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,C,D,D: 전압시험 및 절연내력시험
Maritime-Engineering,D,A,A
Maritime-Engineering,C,D,D
Maritime-Engineering,A,D,D
Maritime-Engineering,C,C,C입니다.
Maritime-Engineering,B,B,B
Maritime-Engineering,B,D,D: 섬광
Maritime-Engineering,A,A,A입니다.
Maritime-Engineering,C,D,D입니다.
Maritime-Engineering,A,C,C
Maritime-Engineering,D,D,D입니다.
Materials-Engineering,C,D,D
Materials-Engineering,C,C,C
Materials-Engineering,B,B,B
Materials-Engineering,C,C,C입니다.
Materials-Engineering,A,D,D
Materials-Engineering,B,A,A
Materials-Engineering,B,D,D
Materials-Engineering,A,B,B입니다. 방법시간측정법 (MTM : Method Time Measurement)
Materials-Engineering,C,D,D
Materials-Engineering,C,C,C입니다.
Materials-Engineering,D,A,A
Materials-Engineering,B,C,C
Materials-Engineering,B,C,C
Materials-Engineering,D,A,A입니다.
Materials-Engineering,D,C,"C

설명: 

체적 변형률(ε)과 인"
Materials-Engineering,C,D,D
Materials-Engineering,A,A,A
Materials-Engineering,B,B,B
Materials-Engineering,B,C,C입니다.
Materials-Engineering,A,D,D
Materials-Engineering,B,B,B
Materials-Engineering,B,B,B
Materials-Engineering,D,D,D
Materials-Engineering,C,C,C: 15 ~ 25
Materials-Engineering,D,D,D입니다.
Materials-Engineering,A,D,D입니다.
Materials-Engineering,B,C,C입니다.
Materials-Engineering,D,D,"D입니다.

포아송의 비가 0.3인 원형"
Materials-Engineering,B,B,B
Materials-Engineering,D,C,C
Materials-Engineering,D,A,A입니다.
Materials-Engineering,B,D,D
Materials-Engineering,A,A,A입니다.
Materials-Engineering,D,D,D
Materials-Engineering,B,D,D: 7.5mm
Materials-Engineering,C,D,D
Materials-Engineering,B,D,D입니다.
Materials-Engineering,C,C,C
Materials-Engineering,B,D,D입니다.
Materials-Engineering,D,C,C
Materials-Engineering,A,B,B: Mn
Materials-Engineering,B,D,D입니다.
