qid,category,answer,pred,response
Reading Comprehension-27,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-28,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-29,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-30,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-31,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-32,Reading Comprehension,C,A,"### ANSWER
A"
Reading Comprehension-33,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-34,Reading Comprehension,D,D,"### ANSWER
D"
History-17,History,E,E,"### ANSWER
E"
History-18,History,D,D,"### ANSWER
D"
History-19,History,D,D,"설총은 이두를 정리하고 체계화하여 백성들이 쉽게 사용할 수 있게 한 인물이다.

### ANSWER
D"
History-20,History,E,E,"### ANSWER
E"
History-21,History,B,B,"### ANSWER
B"
History-22,History,A,A,"### ANSWER
A"
History-23,History,D,D,"### ANSWER
D"
History-24,History,B,B,"### ANSWER
B"
Reading Comprehension-35,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-36,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-37,Reading Comprehension,B,B,"The blank connects the health benefits of traditional drinks to people regarding them as medicine, so “그래서” (therefore) is correct.

### ANSWER
B"
Reading Comprehension-38,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-39,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-40,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-41,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-42,Reading Comprehension,D,D,"### ANSWER
D"
General Knowledge-0,General Knowledge,B,C,"The description refers to the custom of visiting and tending ancestral graves during Korean holidays, which is called 성묘.

### ANSWER
C"
General Knowledge-1,General Knowledge,C,C,"### ANSWER
C"
General Knowledge-2,General Knowledge,E,E,"### ANSWER
E"
General Knowledge-3,General Knowledge,B,B,"### ANSWER
B"
General Knowledge-4,General Knowledge,E,E,"한국은 대의민주주의를 채택하고 있어 모든 국가 사무를 국민 투표로 결정하지 않는다. 따라서 E가 옳지 않다.

### ANSWER
E"
General Knowledge-5,General Knowledge,E,E,"### ANSWER
E"
General Knowledge-6,General Knowledge,C,C,"### ANSWER
C"
General Knowledge-7,General Knowledge,D,D,"### ANSWER
D"
Reading Comprehension-413,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-414,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-415,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-416,Reading Comprehension,B,B,"㉡ 투기 바람이 형성되면 가격 상승 기대가 이어져 ㉠ 거품이 발생한다는 내용이므로 적절한 것은 B이다.

### ANSWER
B"
Reading Comprehension-417,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-418,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-419,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-420,Reading Comprehension,D,D,"### ANSWER
D"
Loan Words-22,Loan Words,E,E,"### ANSWER
E"
Loan Words-23,Loan Words,A,A,"### ANSWER
A"
Loan Words-24,Loan Words,E,E,"### ANSWER
E"
Loan Words-25,Loan Words,E,E,"### ANSWER
E"
Loan Words-26,Loan Words,D,D,"### ANSWER
D"
Loan Words-27,Loan Words,E,E,"### ANSWER
E"
Loan Words-28,Loan Words,A,A,"### ANSWER
A"
Loan Words-29,Loan Words,B,B,"### ANSWER
B"
Reading Comprehension-220,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-221,Reading Comprehension,A,A,"편지에서 “고등학교를 졸업한 지도 벌써 3년이 지났습니다”라고 했으므로 A가 맞습니다. 나머지는 내용과 맞지 않습니다.

### ANSWER
A"
Reading Comprehension-222,Reading Comprehension,D,D,"아빠는 부모가 관심을 가지고 지켜보면 게임이 큰 문제가 되지 않는다고 했지, 간섭하지 말아야 한다고는 하지 않았습니다.

### ANSWER
D"
Reading Comprehension-223,Reading Comprehension,B,B,"The father gained both a closer relationship with his son and a victory in the competition, so the proverb “꿩 먹고 알 먹기” (two benefits at once) fits.

### ANSWER
B"
Reading Comprehension-224,Reading Comprehension,D,A,"### ANSWER
A"
Reading Comprehension-225,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-226,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-227,Reading Comprehension,B,B,"### ANSWER
B"
History-25,History,B,B,"### ANSWER
B"
History-26,History,C,C,"### ANSWER
C"
History-27,History,E,E,"### ANSWER
E"
History-28,History,C,C,"### ANSWER
C"
History-29,History,A,A,"### ANSWER
A"
History-30,History,B,B,"### ANSWER
B"
History-31,History,A,A,"### ANSWER
A"
History-32,History,E,E,"### ANSWER
E"
Rare Words-239,Rare Words,A,A,"### ANSWER
A"
Rare Words-240,Rare Words,A,A,"### ANSWER
A"
Rare Words-241,Rare Words,A,A,"### ANSWER
A"
Rare Words-242,Rare Words,B,B,"### ANSWER
B"
Rare Words-243,Rare Words,D,D,"### ANSWER
D"
Rare Words-244,Rare Words,C,C,"### ANSWER
C"
Rare Words-245,Rare Words,A,A,"### ANSWER
A"
Rare Words-246,Rare Words,A,A,"### ANSWER
A"
Rare Words-46,Rare Words,D,D,"""그리 쉽사리""는 'so easily'라는 뜻으로, 이를 의미하는 부사는 '간대로'입니다.

### ANSWER
D"
Rare Words-47,Rare Words,A,A,"### ANSWER
A"
Rare Words-48,Rare Words,B,B,"### ANSWER
B"
Rare Words-49,Rare Words,E,E,"### ANSWER
E"
Rare Words-50,Rare Words,A,A,"도통은 명사로 ‘모두 합한 셈’, 부사로 ‘아무리 해도/전혀’의 뜻을 가진다.

### ANSWER
A"
Rare Words-51,Rare Words,E,E,"### ANSWER
E"
Rare Words-52,Rare Words,D,D,"### ANSWER
D"
Rare Words-53,Rare Words,E,E,"### ANSWER
E"
History-33,History,C,C,"### ANSWER
C"
History-34,History,A,A,"### ANSWER
A"
History-35,History,C,C,"### ANSWER
C"
History-36,History,C,C,"The movement started by Donghak followers and peasants in Gobu, Jeolla Province is the Donghak Peasant Movement.

### ANSWER
C"
History-37,History,E,E,"### ANSWER
E"
History-38,History,B,B,"### ANSWER
B"
History-39,History,C,C,"### ANSWER
C"
History-40,History,A,A,"### ANSWER
A"
General Knowledge-8,General Knowledge,D,D,"### ANSWER
D"
General Knowledge-9,General Knowledge,E,E,"### ANSWER
E"
General Knowledge-10,General Knowledge,D,D,"### ANSWER
D"
General Knowledge-11,General Knowledge,A,E,"### ANSWER
E"
General Knowledge-12,General Knowledge,C,C,"### ANSWER
C"
General Knowledge-13,General Knowledge,B,B,"다누리 포털은 다문화가족의 한국생활 적응에 필요한 기본정보와 최신 다문화 관련 정보를 제공하는 역할을 한다.

### ANSWER
B"
General Knowledge-14,General Knowledge,D,B,"국·공립 유치원은 민간(사립)에 비해 보육료가 저렴한 것이 대표적인 장점이다.

### ANSWER
B"
General Knowledge-15,General Knowledge,A,A,"### ANSWER
A"
Reading Comprehension-421,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-422,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-423,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-424,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-425,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-426,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-427,Reading Comprehension,A,A,"이 글은 어려운 일을 당했을 때 이웃이 가까이 있어서 가장 빠르게 도움을 줄 수 있다는 뜻으로 ‘이웃사촌’을 설명하고 있으므로, 빈칸에는 A가 가장 알맞다.

### ANSWER
A"
Reading Comprehension-428,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-43,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-44,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-45,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-46,Reading Comprehension,B,B,"### ANSWER
B"
Reading Comprehension-47,Reading Comprehension,A,A,### ANSWER A
Reading Comprehension-48,Reading Comprehension,D,D,"### ANSWER
D"
Reading Comprehension-49,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-50,Reading Comprehension,C,C,"The text explains why warm-up exercises are necessary before swimming—to prevent accidents and warm up the body—not how to do them.

### ANSWER
C"
Loan Words-30,Loan Words,D,D,"### ANSWER
D"
Loan Words-31,Loan Words,C,E,"### ANSWER
E"
Loan Words-32,Loan Words,D,D,"### ANSWER
D"
Loan Words-33,Loan Words,D,D,"### ANSWER
D"
Loan Words-34,Loan Words,C,C,"연돌은 '굴뚝'을 뜻하는 한자어이므로 순화어는 '굴뚝'이다.

### ANSWER
C"
Loan Words-35,Loan Words,C,C,"### ANSWER
C"
Loan Words-36,Loan Words,A,A,"### ANSWER
A"
Loan Words-37,Loan Words,B,B,"### ANSWER
B"
Reading Comprehension-228,Reading Comprehension,C,C,"### ANSWER
C"
Reading Comprehension-229,Reading Comprehension,C,C,"The notice says the club needs people for vocals, guitar, keyboard, and drums, not the instruments themselves. It also states that snacks and drinks are given to visitors in the club room, which matches choice C. Choices A and D contradict the notice.

### ANSWER
C"
Reading Comprehension-230,Reading Comprehension,D,D,"본문에는 거꾸로 수업의 인기 요인이 교실 수업보다 동영상 수업이 더 많다는 내용이 없다.

### ANSWER
D"
Reading Comprehension-231,Reading Comprehension,C,C,"본문은 일부 체험 농가가 학교로 찾아가는 체험 교육을 실시한다고 했을 뿐, 체험 농가에 경제적 어려움이 없다고는 하지 않는다. 오히려 목장 체험, 딸기 체험 농가 등은 5월 예약이 모두 취소되는 어려움을 겪는다고 했으므로 C는 내용과 같지 않다.

### ANSWER
C"
Reading Comprehension-232,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-233,Reading Comprehension,A,A,"### ANSWER
A"
Reading Comprehension-234,Reading Comprehension,B,B,"The passage emphasizes that small, easy actions in daily life—like greeting others, expressing gratitude, and apologizing—can improve relationships.

### ANSWER
B"
Reading Comprehension-235,Reading Comprehension,C,C,"공고에 따르면 누구나 참여 가능하고, 우승자에게만 국제 대회 기회가 주어지며, 3등도 상금을 받을 수 있다. 따라서 C가 가장 적절하다.

### ANSWER
C"
