category,answer,pred,response
Accounting,B,,정답은 B: 10 120입니다.
Accounting,A,B,B
Accounting,A,A,A
Accounting,D,C,C입니다.
Accounting,C,,"정답은 C입니다.

 설명:

 재평가 모형을 사용하여"
Accounting,D,D,D입니다.
Accounting,D,A,A입니다.
Accounting,C,C,C입니다.
Accounting,D,D,D입니다.
Accounting,A,D,D입니다.
Accounting,B,D,D입니다.
Accounting,A,D,D
Accounting,D,D,D입니다.
Accounting,B,D,D입니다.
Accounting,A,A,A
Accounting,D,B,B
Accounting,B,D,D입니다.
Accounting,C,D,D입니다.
Accounting,C,C,C
Accounting,D,B,B입니다.
Accounting,A,D,"D) ￦ 600,000"
Accounting,C,D,D입니다.
Accounting,C,D,D
Accounting,A,B,B입니다.
Accounting,A,C,C
Accounting,D,C,C
Accounting,D,D,D
Accounting,B,B,B
Accounting,A,D,D
Accounting,D,A,A
Accounting,C,C,C
Accounting,C,D,D
Accounting,A,,"정답은 D: ￦ 37, 200입니다."
Accounting,B,D,D입니다.
Accounting,D,C,C
Accounting,B,D,D입니다.
Accounting,B,,"정답은 D: ￦40,000입니다.

이 문제는"
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,D,D
Accounting,D,D,D입니다.
Accounting,A,A,A입니다.
Accounting,C,B,B
Accounting,B,,정답은 B입니다.
Accounting,A,C,C
Accounting,D,B,B입니다.
Accounting,B,B,B입니다.
Accounting,C,B,B입니다.
Accounting,C,D,D
Accounting,B,C,C
Accounting,D,A,A입니다.
Accounting,D,C,C
Accounting,C,C,C입니다.
Accounting,D,C,C입니다.
Accounting,C,B,B입니다.
Accounting,A,,"정답은 C: ￦1,992,230입니다."
Accounting,C,D,D
Accounting,C,C,C
Accounting,A,C,C
Accounting,D,D,D
Accounting,B,D,D
Accounting,D,D,D
Accounting,C,D,D입니다.
Accounting,C,A,A입니다.
Accounting,A,C,C입니다.
Accounting,D,,"정답은 D: ￦2,986,800 ￦"
Accounting,A,A,A입니다.
Accounting,C,D,D
Accounting,D,D,D입니다.
Accounting,C,C,"C) ￦1,900"
Accounting,A,D,D입니다.
Accounting,D,D,D입니다.
Accounting,B,B,B
Accounting,D,D,D입니다.
Accounting,B,B,B입니다.
Accounting,B,C,C
Accounting,B,D,D
Accounting,D,D,D입니다.
Accounting,C,D,D
Accounting,D,C,C입니다.
Accounting,C,,"정답은 B입니다.

비정상적인 상품의 감모손실"
Accounting,D,A,A입니다.
Accounting,C,A,A
Accounting,C,D,D입니다.
Accounting,D,D,"D) ￦80,000"
Accounting,B,A,A입니다.
Accounting,C,D,D입니다.
Accounting,C,B,B
Accounting,B,B,B입니다.
Accounting,C,D,D
Accounting,D,D,D입니다.
Accounting,C,C,C
Accounting,D,A,A입니다.
Accounting,C,B,B입니다.
Accounting,B,B,B
Accounting,C,B,B입니다.
Accounting,A,D,"D) ₩2,000,000입니다."
Accounting,D,A,A: 외상매입금
Accounting,B,D,D
Accounting,D,B,B입니다.
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,B,"B: 대립유전자 간의 상호작용

해설:"
Agricultural-Sciences,B,A,A입니다.
Agricultural-Sciences,C,D,D입니다.
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B입니다.
Agricultural-Sciences,D,B,B입니다.
Agricultural-Sciences,D,A,A입니다.
Agricultural-Sciences,B,D,"D: 생장점배양, 화분배양"
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,D,D: 합리적 시비
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,C,C입니다.
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,A,A: 코니칼균분기
Agricultural-Sciences,D,B,B입니다.
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,D,D입니다.
Agricultural-Sciences,C,D,D
Agricultural-Sciences,B,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,C,C입니다.
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,D,D: 4회
Agricultural-Sciences,C,C,C입니다.
Agricultural-Sciences,C,B,B
Agricultural-Sciences,A,C,C
Agricultural-Sciences,D,B,B입니다.
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,D,D: 자료 평가입니다.
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B입니다. 버섯류는 농산물검사원의 자격
Agricultural-Sciences,C,B,B: 15일
Agricultural-Sciences,D,D,D: 밤
Agricultural-Sciences,C,B,B: 사진작용
Agricultural-Sciences,B,A,A
Agricultural-Sciences,B,C,C입니다.
Agricultural-Sciences,B,C,C입니다.
Agricultural-Sciences,C,D,D입니다. 비영리법인은 종자업 등록 없이 종자를
