category,answer,pred,response
maritime_engineering,B,,[EMPTY_RESPONSE]
maritime_engineering,C,A,"### ANSWER
A"
maritime_engineering,B,C,"### ANSWER
C"
maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,D,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,,[EMPTY_RESPONSE]
maritime_engineering,C,C,"### ANSWER  
C"
maritime_engineering,B,A,"### ANSWER
A"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,D,A,"### ANSWER
A"
maritime_engineering,D,,[EMPTY_RESPONSE]
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,C,"C

### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,B,,[EMPTY_RESPONSE]
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,D,"D

### ANSWER
D"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,C,,[EMPTY_RESPONSE]
maritime_engineering,B,,[EMPTY_RESPONSE]
maritime_engineering,B,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,D,D,D
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,A,"### ANSWER  
A"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,D,A,"### ANSWER
A"
maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,A,"### ANSWER
A"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,C,A,"### ANSWER
A"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,D,D,"### ANSWER
D"
maritime_engineering,C,D,"### ANSWER
D"
maritime_engineering,B,,[EMPTY_RESPONSE]
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,B,B,"### ANSWER  
B"
maritime_engineering,D,D,"### ANSWER  
D"
maritime_engineering,B,D,"### ANSWER
D"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,D,C,"### ANSWER  
C"
maritime_engineering,B,D,"### ANSWER
D"
maritime_engineering,C,,[EMPTY_RESPONSE]
maritime_engineering,A,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,B,"### ANSWER  
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,B,"### ANSWER
B"
maritime_engineering,D,,[EMPTY_RESPONSE]
maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,B,"### ANSWER
B"
maritime_engineering,B,A,"### ANSWER
A"
maritime_engineering,C,B,"### ANSWER
B"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,,[EMPTY_RESPONSE]
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,B,A,"### ANSWER
A"
maritime_engineering,B,A,"### ANSWER
A"
maritime_engineering,D,C,"### ANSWER
C"
maritime_engineering,B,D,"### ANSWER
D"
maritime_engineering,D,A,"### ANSWER  
A"
maritime_engineering,B,A,"### ANSWER
A"
maritime_engineering,C,C,"### ANSWER  
C"
maritime_engineering,C,C,"### ANSWER
C"
maritime_engineering,D,,[EMPTY_RESPONSE]
maritime_engineering,D,C,"### ANSWER
C"
