qid,license_name,subject,answer,pred,response
2118,한약사,한약학 응용,A,A,"### ANSWER
A"
2119,한약사,한약학 응용,E,E,"### ANSWER
E"
2120,한약사,한약학 응용,B,B,"### ANSWER
B"
2121,한약사,한약학 응용,E,E,"### ANSWER
E"
2122,한약사,한약학 응용,D,D,"### ANSWER
D"
2123,한약사,한약학 응용,A,A,"### ANSWER
A"
2124,한약사,한약학 응용,B,B,"### ANSWER
B"
2125,한약사,한약학 응용,E,E,"### ANSWER
E"
2471,약사,임상실무약학,D,D,"### ANSWER
D"
2472,약사,임상실무약학,E,E,"### ANSWER
E"
2473,약사,임상실무약학,D,D,"### ANSWER
D"
2474,약사,임상실무약학,A,A,"Fluticasone nasal spray is appropriate first-line therapy; for persistent sneezing and rhinorrhea without congestion, adding an oral antihistamine such as ebastine is the best option.

### ANSWER
A"
2475,약사,임상실무약학,D,D,"비스무스 4제 요법(PPI, 비스무스, 테트라사이클린, 메트로니다졸)은 페니실린 알레르기가 있는 H. pylori 양성 소화성궤양에서 표준 제균 치료이며, 권장 기간은 14일이다.

### ANSWER
D"
2476,약사,임상실무약학,D,D,"### ANSWER
D"
2477,약사,임상실무약학,A,A,"### ANSWER
A"
2478,약사,임상실무약학,D,D,### ANSWER D
353,공인노무사,사회보험법,C,D,"The restriction period for re-approval as an insurance affairs agency after revocation due to fraudulent acquisition is 3 years under Article 17(2)5 of the Act on the Collection of Insurance Premiums for Employment Insurance and Industrial Accident Compensation Insurance.

### ANSWER
D"
354,공인노무사,사회보험법,B,D,"### ANSWER
D"
355,공인노무사,경영학개론,E,E,"### ANSWER
E"
356,공인노무사,경영학개론,C,C,"### ANSWER
C"
357,공인노무사,경영학개론,E,E,"### ANSWER
E"
358,공인노무사,경영학개론,B,B,"### ANSWER
B"
359,공인노무사,경영학개론,C,C,"캐롤의 CSR 구분에서 경제적·법적 책임은 의무적 성격이 강하고, 윤리적·자선적 책임은 자발성에 기초한다. 따라서 ㄷ, ㄹ이 해당한다.

### ANSWER
C"
360,공인노무사,경영학개론,C,C,"### ANSWER
C"
2126,한약사,한약학 응용,E,E,"### ANSWER
E"
2127,한약사,한약학 응용,B,B,"### ANSWER
B"
2128,한약사,한약학 응용,D,D,"半夏瀉心湯은 상한론의 처방으로, 心下痞(가슴 아래 그득함)와 함께 嘔而腸鳴, 下利(구역질, 장명, 설사)를 적응증으로 합니다. 따라서 보기 중 ""腸鳴下痢""가 해당합니다.

### ANSWER
D"
2129,한약사,한약학 응용,E,E,"### ANSWER
E"
2130,한약사,한약학 응용,D,D,"### ANSWER
D"
2131,한약사,한약학 응용,E,E,### ANSWER E
2132,한약사,한약학 응용,D,D,"### ANSWER
D"
2133,한약사,한약학 응용,C,C,"### ANSWER
C"
706,관세사,무역영어,A,A,"### ANSWER
A"
707,관세사,무역영어,B,B,"The clause states that if any provision is invalid, the remaining provisions remain effective and the parties will replace the invalid provision with a valid one. This is a severability clause.

### ANSWER
B"
708,관세사,무역영어,D,D,"CISG 제86조(2)에 따르면, 목적지에서 물품이 “buyer의 처분하에” 놓여야 하고, 대금 지급 없이(“without payment of the price”) 인도받아야 하며, 판매자가 아닌 “buyer”가 물품을 점유하는 경우 전항이 적용됩니다. 따라서 옳은 것은 ㄴ과 ㄹ입니다.

### ANSWER
D"
709,관세사,무역영어,E,E,"### ANSWER
E"
710,관세사,무역영어,E,E,"### ANSWER
E"
711,관세사,무역영어,D,D,"CISG 제1조(3)는 국적이나 당사자/계약의 민사·상사적 성격을 고려하지 않으므로 ㄱ은 틀림. 제4조는 계약 성립과 매도인·매수인의 권리·의무만 규율하고 재산권 효과에는 적용되지 않으므로 ㄴ은 맞고 ㄷ은 틀림. 제5조는 사망·상해에 대한 책임에 적용되지 않으므로 ㄹ은 맞음. 따라서 옳은 것은 ㄴ, ㄹ.

### ANSWER
D"
712,관세사,무역영어,E,E,"### ANSWER
E"
713,관세사,무역영어,E,B,"### ANSWER
B"
2134,한약사,한약학 응용,E,E,"### ANSWER
E"
2135,한약사,한약학 응용,C,C,"### ANSWER
C"
2136,한약사,한약학 응용,B,B,"### ANSWER
B"
2137,한약사,한약학 응용,B,B,"### ANSWER
B"
2138,한약사,한약학 응용,D,D,"### ANSWER
D"
2139,한약사,한약학 응용,E,E,"### ANSWER
E"
2140,한약사,한약학 응용,A,A,"The symptoms—difficult labor, retained placenta, persistent postpartum lochia, abdominal pain with tenderness, and chronic abdominal masses—are classic signs of blood stasis (瘀血) in gynecology. 桂枝茯苓丸 (Guizhi Fuling Wan) is specifically indicated for blood stasis with abdominal masses (癥瘕), retained placenta, and postpartum lochial disorders. The other formulas target different patterns: 芎歸膠艾湯 for bleeding due to blood deficiency/cold, 當歸補血湯 for qi/blood deficiency, 當歸芍藥散 for liver-spleen disharmony with fluid retention, and 補陽還五湯 for stroke-related qi deficiency with blood stasis.

### ANSWER
A"
2141,한약사,한약학 응용,C,C,"瘖痱證은 下元虛衰로 虛火·痰濁이 上蒙하여 발생하며, 地黃飮子가 滋陰補腎·化痰開竅하여 적합하다.

### ANSWER
C"
1059,의사,보건의약관계법규,A,A,"환자가 수술에 동의했으므로 자기결정권, 알 권리 등은 문제되지 않고, 경제적 부담으로 필요한 수술을 받지 못할 상황이므로 건강권(보건의료서비스를 적절히 받을 권리)이 침해될 우려가 있다.

### ANSWER
A"
1060,의사,보건의약관계법규,B,B,"### ANSWER
B"
1061,의사,보건의약관계법규,E,E,"### ANSWER
E"
1062,의사,보건의약관계법규,E,D,"### ANSWER
D"
1063,의사,보건의약관계법규,D,D,"### ANSWER
D"
1064,의사,보건의약관계법규,A,A,"### ANSWER
A"
1065,의사,보건의약관계법규,A,A,"### ANSWER
A"
1066,의사,보건의약관계법규,B,B,"「의료법」상 원격의료에서 원격의료를 행한 의사(갑)와 원격지 의사(을)는 원칙적으로 공동책임을 지지만, 원격의료를 행한 의사의 과실을 인정할 만한 명백한 근거가 없으면 원격지에서 실제 진료를 수행한 의사(을)가 책임을 집니다. 따라서 갑의 과실이 명백하지 않은 경우 책임은 의사 ‘을’에게 있습니다.

### ANSWER
B"
2142,한약사,한약학 응용,D,D,"### ANSWER
D"
2143,한약사,한약학 응용,E,E,"### ANSWER
E"
2144,한약사,한약학 응용,B,B,"### ANSWER
B"
2145,한약사,한약학 응용,C,C,"### ANSWER
C"
2146,한약사,한약학 응용,B,B,"### ANSWER
B"
2147,한약사,한약학 응용,B,B,"The formula 大黃牡丹湯 from the 金匱要略 consists of 大黃, 牡丹皮, 芒硝, 桃仁, and 冬瓜子.

### ANSWER
B"
2148,한약사,한약학 응용,C,C,"### ANSWER
C"
2149,한약사,한약학 응용,C,C,"### ANSWER
C"
361,공인노무사,경영학개론,E,E,### ANSWER E
362,공인노무사,경영학개론,B,B,"### ANSWER
B"
363,공인노무사,경영학개론,A,A,"서열법은 직무 전체를 비계량적으로 상호 비교하여 순위를 매기는 방법이므로 주어진 특성에 부합한다.

### ANSWER
A"
364,공인노무사,경영학개론,C,C,"### ANSWER
C"
365,공인노무사,경영학개론,A,A,"### ANSWER
A"
366,공인노무사,경영학개론,A,A,"### ANSWER
A"
367,공인노무사,경영학개론,C,C,"### ANSWER
C"
368,공인노무사,경영학개론,E,E,"### ANSWER
E"
2479,약사,임상실무약학,E,E,"### ANSWER
E"
2480,약사,임상실무약학,D,D,"### ANSWER
D"
2481,약사,임상실무약학,B,B,"### ANSWER
B"
2482,약사,임상실무약학,C,C,"### ANSWER
C"
2483,약사,임상실무약학,E,E,"### ANSWER
E"
2484,약사,임상실무약학,C,C,"### ANSWER
C"
2485,약사,임상실무약학,B,B,"### ANSWER
B"
2486,약사,임상실무약학,E,E,"The patient has type 2 diabetes with chronic kidney disease and increasing albuminuria (ACR 13→45 mg/g) despite glimepiride. An SGLT2 inhibitor is preferred in diabetic kidney disease for renal and cardiovascular protection. Dapagliflozin is appropriate at eGFR 44 mL/min/1.73 m². Metformin is not ideal to initiate at this eGFR, and the other options lack renal benefit.

### ANSWER
E"
1765,한의사,내과학2,B,D,"### ANSWER
D"
1766,한의사,내과학2,E,D,"The symptoms—back coldness, nausea, thirst with heavy water intake, and afternoon fever—match the Soyangin wasting-thirst pattern, treated with 활석고삼탕.

### ANSWER
D"
1767,한의사,내과학2,B,C,"### ANSWER
C"
1768,한의사,내과학2,C,B,"The symptoms of red facial spots, sore throat, bloodshot eyes, reddish complexion, and a large (洪大) pulse in a Taeeumin patient indicate an exterior syndrome with skin manifestations. In Sasang constitutional medicine, Taeeumin exterior syndrome with skin eruptions is treated with 갈근부평탕 (Galgeunbupyeong-tang), which contains 浮萍 (duckweed) specifically for skin lesions. 갈근해기탕 is used for exterior syndrome without skin symptoms, and the other options are for interior syndromes or unrelated conditions.

### ANSWER
B"
1769,한의사,내과학2,A,E,"환자의 피로, 집중력 저하, 수면 장애, 몽설(夢泄)은 심허(心虛)와 심신불교(心腎不交)로 인한 증상으로 보이며, 묽은 변과 식후 더부룩함은 비허(脾虛)가 동반된 상태이다. 이러한 증상에 적합한 처방은 심허로 인한 건망, 불면, 몽설을 치료하는 석창포원지산이다.

### ANSWER
E"
1770,한의사,내과학2,D,A,"### ANSWER
A"
1771,한의사,내과학2,A,C,"### ANSWER
C"
1772,한의사,내과학2,A,B,"### ANSWER
B"
369,공인노무사,경영학개론,C,C,"### ANSWER
C"
370,공인노무사,경영학개론,D,D,"### ANSWER
D"
371,공인노무사,경영학개론,D,D,"### ANSWER
D"
372,공인노무사,경영학개론,E,E,"### ANSWER
E"
373,공인노무사,경영학개론,C,C,"### ANSWER
C"
374,공인노무사,경영학개론,B,B,"### ANSWER
B"
375,공인노무사,경영학개론,C,C,"### ANSWER
C"
376,공인노무사,경영학개론,D,D,"### ANSWER
D"
0,감정평가사,민법,D,D,"민법 제1조에 따라 민사에 관하여 법률 규정이 없으면 관습법에 의하므로, 관습법은 제정법에 우선할 수 없다. 따라서 “제정법과 배치되는 경우 관습법이 우선한다”는 D는 옳지 않다.

### ANSWER
D"
1,감정평가사,민법,D,D,"### ANSWER
D"
2,감정평가사,민법,E,E,"### ANSWER
E"
3,감정평가사,민법,A,B,"### ANSWER
B"
4,감정평가사,민법,C,E,"### ANSWER
E"
5,감정평가사,민법,C,B,"### ANSWER
B"
6,감정평가사,민법,B,B,"### ANSWER
B"
7,감정평가사,민법,B,B,"### ANSWER
B"
1412,변호사,민사법,D,A,"### ANSWER
A"
1413,변호사,민사법,C,D,"### ANSWER
D"
1414,변호사,민사법,E,E,"### ANSWER
E"
1415,변호사,민사법,E,E,"### ANSWER
E"
1416,변호사,민사법,C,C,"### ANSWER
C"
1417,변호사,민사법,E,A,"### ANSWER
A"
1418,변호사,민사법,D,A,"ㄱ과 ㄴ만 옳다. ㄷ은 약정 이자가 해제 시까지의 이자일 뿐 이행지체 후 지연손해금에 연 10%가 적용되지 않고, ㄹ은 합의해제 시 법정이율이 적용된다.

### ANSWER
A"
1419,변호사,민사법,A,B,"### ANSWER
B"
714,관세사,무역영어,C,C,"UCP 600 Article 16(b) states that when an issuing bank determines a presentation does not comply, it may approach the applicant for a waiver of discrepancies, not the beneficiary. Therefore, option C is incorrect.

### ANSWER
C"
715,관세사,무역영어,D,D,"### ANSWER
D"
716,관세사,무역영어,D,D,"UCP 600 제36조에 따르면, 업무 재개 시 은행은 만료된 신용장에 대해 “지급 또는 매입(honour or negotiate)”하지 않는다고 규정합니다. “dishonor or refuse”는 해당 조항의 표현이 아니므로 옳지 않습니다.

### ANSWER
D"
717,관세사,무역영어,B,A,"### ANSWER
A"
718,관세사,무역영어,D,D,"### ANSWER
D"
719,관세사,무역영어,B,B,"UCP600 Article 8(d) requires a bank that is asked to confirm but declines to do so to inform the issuing bank, not the advising bank. Therefore option B is incorrect.

### ANSWER
B"
720,관세사,무역영어,C,C,"UCP600 제38조(d)상 양도된 신용장에서 감액·단축될 수 있는 항목이지 증액·연장되는 것이 아니므로 ㄷ은 틀렸고, 제39조(a)는 양도가능 신용장이 아니어도 수익자의 proceeds 양도권리에 영향을 미치지 않는다고 규정하므로 ㄹ도 틀렸다.

### ANSWER
C"
721,관세사,무역영어,B,B,"### ANSWER
B"
2150,한약사,한약학 응용,E,E,"### ANSWER
E"
2151,한약사,한약학 응용,E,E,"### ANSWER
E"
2152,한약사,한약학 응용,A,A,"### ANSWER
A"
2153,한약사,한약학 응용,C,C,### ANSWER C
2154,한약사,한약학 응용,D,D,"### ANSWER
D"
2155,한약사,한약학 응용,E,E,"### ANSWER
E"
2156,한약사,한약학 응용,E,E,"### ANSWER
E"
2157,한약사,한약학 응용,C,C,"### ANSWER
C"
1067,의사,보건의약관계법규,E,D,"### ANSWER
D"
1068,의사,보건의약관계법규,C,C,"### ANSWER
C"
1069,의사,보건의약관계법규,C,C,"### ANSWER
C"
1070,의사,보건의약관계법규,D,D,"### ANSWER
D"
1071,의사,보건의약관계법규,B,B,"### ANSWER
B"
1072,의사,보건의약관계법규,A,A,"### ANSWER
A"
1073,의사,보건의약관계법규,D,D,"의사가 거짓 진단서를 발급한 것은 의료법상 금지 위반으로, 보건복지부장관은 의사에 대한 행정처분으로 면허자격 정지를 할 수 있습니다.

### ANSWER
D"
1074,의사,의학총론,A,A,"### ANSWER
A"
377,공인노무사,경영학개론,E,E,"### ANSWER
E"
378,공인노무사,경영학개론,D,D,"The stock's value is found using the Gordon Growth Model: P₀ = D₁ / (r − g). Since D₀ = 5,000 and g = 5%, next year's dividend D₁ = 5,000 × 1.05 = 5,250. With r = 10%, P₀ = 5,250 / (0.10 − 0.05) = 5,250 / 0.05 = 105,000원.

### ANSWER
D"
379,공인노무사,경영학개론,B,B,"CML은 효율적 포트폴리오의 기대수익률과 총위험(표준편차) 간 관계를 설명하며, 개별 위험자산의 기대수익률과 베타 간 관계를 설명하는 것은 SML이다. 따라서 B가 옳지 않다.

### ANSWER
B"
380,공인노무사,경영학개론,A,A,"### ANSWER
A"
381,공인노무사,경영학개론,B,B,"### ANSWER
B"
