category,answer,pred,response
Accounting,B,B,B
Accounting,A,A,"A: ￦ 525,000"
Accounting,A,A,A
Accounting,D,C,C
Accounting,C,A,"A: ￦0 ￦ 50,000"
Accounting,D,D,D
Accounting,D,A,A
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,A
Accounting,B,B,B
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,B,B
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,C,C
Accounting,C,C,C
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,"A: ￦ 240,000"
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,B,B
Accounting,A,B,B
Accounting,D,D,D
Accounting,D,D,D
Accounting,B,B,B
Accounting,A,A,A: ￦ 500 과소계상 ￦ 500 과소계상
Accounting,D,B,B
Accounting,C,A,A
Accounting,C,C,C
Accounting,A,A,"A: ￦7,200"
Accounting,B,B,B
Accounting,D,D,D
Accounting,B,C,C
Accounting,B,A,"A: ￦5,000"
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,D,D
Accounting,B,A,"A: 평가이익 ￦ 54,000, 처분이익￦ 30,000"
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,B,B
Accounting,C,C,C
Accounting,C,C,C
Accounting,B,B,B
Accounting,D,D,D
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,B,B
Accounting,C,A,"A: ￦ 10,000"
Accounting,A,D,"D: ￦2,000,000"
Accounting,C,B,B
Accounting,C,C,C
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,C,C
Accounting,C,D,D
Accounting,A,A,A
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,C,C
Accounting,D,D,D
Accounting,C,C,C
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,B,B
Accounting,D,D,D
Accounting,B,B,B
Accounting,B,C,C
Accounting,B,C,C
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,D,D
Accounting,C,A,A
Accounting,D,A,"A: ￦40,000"
Accounting,C,B,B
Accounting,C,C,C
Accounting,D,B,"B: ￦30,000"
Accounting,B,B,B
Accounting,C,C,C
Accounting,C,B,B
Accounting,B,B,B
Accounting,C,C,C
Accounting,D,D,D
Accounting,C,C,C
Accounting,D,C,C
Accounting,C,D,D
Accounting,B,B,B
Accounting,C,C,C
Accounting,A,B,"B: ₩1,000,000"
Accounting,D,D,D
Accounting,B,B,B
Accounting,D,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,B,B
