category,answer,pred,response
Accounting,B,B,B: 10 120
Accounting,A,C,C
Accounting,A,D,D
Accounting,D,C,C
Accounting,C,C,"C: ￦100,000"
Accounting,D,D,D
Accounting,D,B,B
Accounting,C,D,D
Accounting,D,D,D
Accounting,A,D,D
Accounting,B,D,D
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,D,D
Accounting,A,C,C
Accounting,D,D,D
Accounting,B,D,D
Accounting,C,C,C
Accounting,C,D,D
Accounting,D,B,B
Accounting,A,B,"B: ￦340,000"
Accounting,C,D,D
Accounting,C,D,D
Accounting,A,D,D
Accounting,A,B,B
Accounting,D,D,D
Accounting,D,C,C
Accounting,B,D,D
Accounting,A,D,"D: ￦1,000 과 대"
Accounting,D,B,B: 금융자산 평가
Accounting,C,D,D
Accounting,C,D,D
Accounting,A,C,"C: ￦ 12,200"
Accounting,B,D,D
Accounting,D,C,C
Accounting,B,C,C
Accounting,B,B,"B: ￦ 15,000"
Accounting,B,C,C
Accounting,D,B,B: 당기손실
Accounting,C,D,D
Accounting,D,D,D
Accounting,A,A,A
Accounting,C,B,B
Accounting,B,B,B: 평가이익 ￦
Accounting,A,D,D
Accounting,D,D,D
Accounting,B,C,C
Accounting,C,C,C
Accounting,C,C,C
Accounting,B,B,B
Accounting,D,D,D
Accounting,D,B,B: 20×2년 말 손
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,D,D
Accounting,A,B,"B: ￦1, 932,100"
Accounting,C,B,B: 감가상각 누
Accounting,C,D,D
Accounting,A,D,D
Accounting,D,B,B: 당기손실
Accounting,B,C,C
Accounting,D,D,D
Accounting,C,B,B
Accounting,C,D,D
Accounting,A,D,D
Accounting,D,D,"D: ￦2,986,800"
Accounting,A,B,B
Accounting,C,B,B
Accounting,D,C,C
Accounting,C,C,C
Accounting,A,D,D
Accounting,D,B,"B: (대) 보험료 2,"
Accounting,B,D,D
Accounting,D,D,D
Accounting,B,D,D
Accounting,B,B,B
Accounting,B,B,B
Accounting,D,D,D
Accounting,C,B,B
Accounting,D,D,D
Accounting,C,B,B
Accounting,D,B,"B: ￦45,000"
Accounting,C,B,B
Accounting,C,C,C
Accounting,D,C,"C: ￦50,000"
Accounting,B,B,B
Accounting,C,C,C
Accounting,C,B,B
Accounting,B,A,A
Accounting,C,D,D
Accounting,D,D,D
Accounting,C,B,B
Accounting,D,D,D
Accounting,C,B,B
Accounting,B,C,C
Accounting,C,C,C
Accounting,A,C,C
Accounting,D,D,D
Accounting,B,D,D
Accounting,D,D,D
Agricultural-Sciences,D,A,A
