category,answer,pred,response
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,D,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,C,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,A,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,B,D,D
Maritime-Engineering,C,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,D,B,B: 5.5
Maritime-Engineering,A,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,A,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,A,B,B: 200 PS
Maritime-Engineering,B,D,D
Maritime-Engineering,D,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,D,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,A,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,D,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,C,C,C
Maritime-Engineering,B,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,B,D,D
Maritime-Engineering,B,A,A
Maritime-Engineering,A,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,A,C,C
Maritime-Engineering,C,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,C,C,C
Maritime-Engineering,A,D,D
Maritime-Engineering,B,B,B
Maritime-Engineering,D,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,C,B,B
Maritime-Engineering,A,A,A
Maritime-Engineering,B,B,B
Maritime-Engineering,B,B,B
Maritime-Engineering,A,D,D
Maritime-Engineering,C,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,A,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,D,D,D
Maritime-Engineering,B,B,B
Maritime-Engineering,A,B,B
Maritime-Engineering,B,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,A,C,C
Maritime-Engineering,B,B,B: 107.1 tonf
Maritime-Engineering,A,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,B,C,C
Maritime-Engineering,D,C,C
Maritime-Engineering,D,B,B
Maritime-Engineering,D,B,B
