qid,license_name,subject,answer,pred,response
2118,한약사,한약학 응용,A,A,"金櫻子의 표준 포제법은 잡질 제거 후 세척·건조하고, 물에 축여 연하게 한 뒤 세로로 두 쪽으로 절단하여 내부의 털(毛)과 씨(核)를 제거하고 다시 건조하는 것이다. 이는 金櫻子肉을 만드는 과정과 정확히 일치한다. 다른 선택지 약재들은 이러한 절단 및 毛核 제거 공정이 해당되지 않는다.

### ANSWER
A"
2119,한약사,한약학 응용,E,E,"이 포제 과정은 약물을 武火로 볶아 탄화시키고 물을 뿌려 불을 끄는 炒炭法으로, 수렴(澀) 작용과 지혈 효과를 강화한다. 이러한 효능이 필요한 약물은 장을 수렴하여 설사를 멈추고 출혈을 멎게 하는 烏梅이다. 따라서 정답은 E이다.

### ANSWER
E"
2120,한약사,한약학 응용,B,B,"麻黃은 기침·천식 치료 시 폐를 윤택하게 하고 발한 작용을 줄이기 위해 꿀을 사용하여 포제하는 것이 일반적입니다. 따라서 가슴 답답함과 호흡곤란을 동반한 기침에 사용하는 포제법은 蜜炙입니다.

### ANSWER
B"
2121,한약사,한약학 응용,E,E,"阿膠經蛤粉燙炒後可降低滋膩之性，並借助蛤粉入肺的作用增強益肺潤燥功效，因此正確答案是蛤粉燙炒。

### ANSWER
E"
2122,한약사,한약학 응용,D,D,"The listed ingredients—wheat flour, red bean powder, apricot kernel paste, Artemisia juice, Xanthium juice, and wild smartweed juice—are the traditional components used to ferment 神麯 (Massa Fermentata), a digestive medicinal preparation. The other options refer to different substances: 龜板 is turtle shell, 豆豉 is fermented soybean, 麥芽 is malt, and 竹瀝 is bamboo sap. Therefore, the correct answer is 神麯.

### ANSWER
D"
2123,한약사,한약학 응용,A,A,"### ANSWER
A"
2124,한약사,한약학 응용,B,B,"桂枝湯은 太陽中風(汗出惡風)에 쓰이며, 傷寒論에서 無汗·脈浮緊 같은 表實證에는 사용을 금합니다. 따라서 無汗煩躁가 禁忌症에 해당합니다.

### ANSWER
B"
2125,한약사,한약학 응용,E,E,"升麻葛根湯은 麻疹 초기에 疹이 나오지 않거나 나와도 순조롭지 못한 경우에 解肌透疹하는 대표적인 방제이다. 發熱惡風, 頭痛, 咳嗽, 目赤流淚, 脈浮數 등의 風熱表證을 겸한 麻疹 초기에 적합하다. 다른 방제들은 燥邪, 水飮, 表寒裡熱 등의 다른 병증에 쓰이므로 해당 증상에 맞지 않는다.

### ANSWER
E"
2471,약사,임상실무약학,D,D,"오말리주맙은 항IgE 단클론항체로, 용량은 혈청 총 IgE 농도와 체중을 기준으로 결정됩니다. 따라서 천식 악화가 잦은 환자에서 오말리주맙 추가 전 반드시 혈청 면역글로불린E(IgE)를 확인해야 합니다.

### ANSWER
D"
2472,약사,임상실무약학,E,E,"급성 악화와 화농성 가래가 동반된 경우 세균 감염 가능성이 있어 경구 스테로이드와 함께 항생제 치료가 필요합니다. 아지트로마이신은 COPD 급성 악화에서 사용할 수 있는 경구 항생제입니다. 나머지 약제들은 급성 악화 치료제가 아닌 유지 치료제입니다.

### ANSWER
E"
2473,약사,임상실무약학,D,D,"환자는 FEV1 60%, CAT 18점으로 증상이 많은 COPD이며 현재 LAMA 단독요법(aclidinium)으로 호흡곤란이 조절되지 않는 상태입니다. GOLD 지침에 따르면 LAMA 단독요법에도 증상이 지속되면 LABA/LAMA 복합제로 강화하는 것이 권장됩니다. ICS 추가는 주로 악화 빈도가 높거나 호산구가 증가된 환자에서 고려되며, roflumilast나 azithromycin은 악화 예방 목적에 가깝습니다. 따라서 아클리디늄을 포르모테롤/아클리디늄 복합 흡입제로 변경하는 것이 가장 적절합니다.

### ANSWER
D"
2474,약사,임상실무약학,A,A,"The patient has allergic rhinitis and is already using fluticasone nasal spray, but still has significant sneezing and rhinorrhea without nasal congestion. Adding an oral antihistamine such as ebastine is appropriate for breakthrough allergic symptoms. Decongestants like pseudoephedrine or xylometazoline are not indicated because there is no nasal congestion. Changing to pranlukast or ipratropium would not provide the same broad symptom control for sneezing and rhinorrhea. Therefore, the best plan is to add oral ebastine.

### ANSWER
A"
2475,약사,임상실무약학,D,D,"### ANSWER
D"
2476,약사,임상실무약학,D,D,"Theophylline is a methylxanthine that can relax smooth muscle, including the lower esophageal sphincter, thereby decreasing LES pressure and worsening gastroesophageal reflux disease. The other options either increase LES pressure or do not significantly lower it.

### ANSWER
D"
2477,약사,임상실무약학,A,A,"In spontaneous bacterial peritonitis, patients with renal impairment and low albumin are at high risk for worsening renal failure and death. Intravenous albumin given with cefotaxime has been shown to reduce the incidence of renal impairment and improve survival. The patient’s elevated creatinine and BUN, along with low serum albumin, clearly indicate the need for this adjunctive therapy. Therefore, albumin is the correct choice.

### ANSWER
A"
2478,약사,임상실무약학,D,D,"프루칼로프라이드는 5-HT4 수용체 작용제로 대장 운동을 촉진하여 만성 변비에 효과적이며, 기존 완하제에 반응하지 않는 경우 추가할 수 있다. 메토클로프라미드는 도파민 길항 작용으로 파킨슨병을 악화시킬 수 있어 금기이다. 독세핀과 라모세트론은 오히려 변비를 악화시킬 수 있고, 트리메부틴은 변비 개선 효과가 명확하지 않다. 따라서 이 환자에게 적합한 추가 약물은 프루칼로프라이드이다.

### ANSWER
D"
1059,의사,보건의약관계법규,A,A,"환자는 이미 수술에 동의하였으므로 자기결정권이나 알 권리, 비밀 보장, 국민 참여는 이 사안과 직접 관련이 없다. 문제는 경제적 어려움으로 고가의 수술비를 부담하지 못해 필요한 수술을 받지 못할 상황이라는 점이다. 보건의료기본법은 경제적 사정을 이유로 보건의료에서 차별받지 않고 건강을 보호받을 권리를 규정하고 있다. 따라서 이 경우 침해될 우려가 있는 권리는 건강권이다.

### ANSWER
A"
1060,의사,보건의약관계법규,B,B,"황열의 잠복기는 통상 3~6일이며, 검역법상 검역감염병 의심 환자에 대한 최대 감시 또는 격리기간은 해당 질병의 최대 잠복기를 기준으로 정해집니다. 따라서 황열 의심 여행객의 최대 감시·격리기간은 6일입니다.

### ANSWER
B"
