qid,license_name,subject,answer,pred,response
2118,한약사,한약학 응용,A,A,"### ANSWER
A"
2119,한약사,한약학 응용,E,E,"### ANSWER
E"
2120,한약사,한약학 응용,B,B,"蜜炙麻黃은 발한력을 완화시키고 潤肺止咳·平喘 효능을 강화하여 기침과 호흡곤란(氣喘) 치료에 사용된다.

### ANSWER
B"
2121,한약사,한약학 응용,E,E,"### ANSWER
E"
706,관세사,무역영어,A,A,"CISG Art. 36(2) uses ""guarantee,"" ""ordinary purpose,"" and ""specified qualities or characteristics.""

### ANSWER
A"
707,관세사,무역영어,B,B,"### ANSWER
B"
708,관세사,무역영어,D,D,"### ANSWER
D"
709,관세사,무역영어,E,E,"E misstates MIA s.47(2): if the ship does not proceed to the ports in geographical order, there IS a deviation, not ""no a deviation.""

### ANSWER
E"
0,감정평가사,민법,D,D,"D is incorrect — 관습법은 보충적 효력만 인정(판례), 제정법에 우선하지 않는다.

### ANSWER
D"
1,감정평가사,민법,D,D,"### ANSWER
D"
2,감정평가사,민법,E,E,"### ANSWER
E"
3,감정평가사,민법,A,A,"미성년자가 법정대리인의 허락을 받은 영업에 관해서는 성년자와 동일한 행위능력을 가지므로, 그 범위에서 법정대리인의 동의권·대리권이 모두 소멸한다는 것이 통설이다. B는 제한능력에 의한 취소는 절대적 취소로 선의의 제3자에게도 대항할 수 있어 틀리고, C는 유효한 추인 후에는 거절할 수 없으며, D는 민법 제10조 제2항에 따라 범위를 정할 수 있고, E는 특정후견은 본인의 의사에 반하여 할 수 없다.

### ANSWER
A"
2122,한약사,한약학 응용,D,D,"### ANSWER
D"
2123,한약사,한약학 응용,A,A,"消法 targets tangible accumulations of qi, blood, phlegm, and food by dispersing and guiding them out (消導散結).

### ANSWER
A"
2124,한약사,한약학 응용,B,B,"桂枝湯은 表虛(汗出惡風)에 쓰는 처방으로, 表實無汗이나 內熱煩躁(陽盛)한 경우에는 금기이다(""桂枝下咽, 陽盛則斃""). 頭痛發熱·鼻鳴乾嘔·汗出惡風은 모두 桂枝湯의 적응증이다.

### ANSWER
B"
2125,한약사,한약학 응용,E,E,"Early-stage measles with incomplete eruption, fever, aversion to wind, cough, sneezing, red tearing eyes — this is the classic indication for 升麻葛根湯, which resolves the exterior and promotes eruption (透疹).

### ANSWER
E"
710,관세사,무역영어,E,E,"### ANSWER
E"
711,관세사,무역영어,D,D,"Article 1(3) states nationality and civil/commercial character are NOT considered, so ㄱ is false. Article 4 confirms ㄴ. Article 4(b) says the Convention is NOT concerned with property effects, so ㄷ is false. Article 5 confirms ㄹ.

### ANSWER
D"
712,관세사,무역영어,E,E,"### ANSWER
E"
713,관세사,무역영어,E,E,"### ANSWER
E"
4,감정평가사,민법,C,C,"### ANSWER
C"
5,감정평가사,민법,C,C,"### ANSWER
C"
6,감정평가사,민법,B,B,"판례에 따르면 사원총회의 결의로 정관을 해석했더라도 그것이 정관의 객관적·규범적 의미와 다르다면 구성원을 구속할 수 없습니다. 나머지는 모두 옳은 설명입니다(해산사유 기재 필수, 사원지위 양도 제한, 정관상 해임사유 제한, 가처분 기간 중 행위 무효).

### ANSWER
B"
7,감정평가사,민법,B,B,"### ANSWER
B"
714,관세사,무역영어,C,C,"C states the issuing bank may approach the beneficiary for a waiver, but UCP 600 Article 16(b) says the issuing bank may approach the applicant for a waiver of the discrepancies. The other options correctly reflect Articles 15 and 16.

### ANSWER
C"
715,관세사,무역영어,D,D,"### ANSWER
D"
716,관세사,무역영어,D,D,"### ANSWER
D"
717,관세사,무역영어,B,B,"The first blank refers to the principal nominating a case-of-need representative (Art. 25), and the second is the presenting bank's duty to ascertain reasons for non-payment/non-acceptance (Art. 26).

### ANSWER
B"
2126,한약사,한약학 응용,E,E,"### ANSWER
E"
2127,한약사,한약학 응용,B,B,"逍遙散은 肝鬱과 脾虛·血虛를 함께 다스려 兩脇作痛, 口燥咽乾, 神疲食少, 月經不調, 乳房脹痛을 치료하는 대표 방제이다.

### ANSWER
B"
2128,한약사,한약학 응용,D,D,"半夏瀉心湯은 寒熱錯雜로 인한 心下痞滿, 嘔吐, 腸鳴下痢를 치료하는 처방으로, 辛開苦降甘補의 배합이다. 복통거안(실증 복통), 수족불온, 심계정충, 한열왕래는 다른 처방의 적응증이다.

### ANSWER
D"
2129,한약사,한약학 응용,E,E,"黃連解毒湯(黃連·黃芩·黃柏·梔子)은 三焦의 實熱火毒을 瀉하는 대표 方劑로, 大熱煩躁·錯語不眠·吐血發斑 등에 쓰인다. 導赤散은 心經熱, 龍膽瀉肝湯은 肝膽濕熱, 當歸六黃湯은 陰虛盜汗에 해당한다.

### ANSWER
E"
8,감정평가사,민법,D,D,"### ANSWER
D"
9,감정평가사,민법,E,E,"### ANSWER
E"
10,감정평가사,민법,E,E,"### ANSWER
E"
11,감정평가사,민법,D,D,"### ANSWER
D"
718,관세사,무역영어,D,D,"### ANSWER
D"
719,관세사,무역영어,B,B,"### ANSWER
B"
720,관세사,무역영어,C,C,"### ANSWER
C"
721,관세사,무역영어,B,B,"### ANSWER
B"
2130,한약사,한약학 응용,D,D,"### ANSWER
D"
2131,한약사,한약학 응용,E,E,"### ANSWER
E"
2132,한약사,한약학 응용,D,D,"### ANSWER
D"
2133,한약사,한약학 응용,C,C,"六君子湯은 四君子湯(人參·白朮·茯苓·甘草)에 陳皮와 半夏를 더한 방제이므로 四君子湯을 포함한다.

### ANSWER
C"
12,감정평가사,민법,D,D,"### ANSWER
D"
13,감정평가사,민법,E,E,"### ANSWER
E"
14,감정평가사,민법,B,B,"### ANSWER
B"
15,감정평가사,민법,A,A,"### ANSWER
A"
1412,변호사,민사법,D,C,"### ANSWER
C"
1413,변호사,민사법,C,C,"C는 상속포기 신고 후 수리 심판 고지 전까지는 아직 상속인 지위이므로 민법 제1022조에 따라 ""고유재산에 대하는 것과 동일한 주의""로 관리할 의무를 지며, 선관주의의무가 아니다. 乙은 사실혼 배우자로 상속인이 아니어서 기여분 주장 불가(A), 처분행위는 법정단순승인(B), 상속포기의 소급효 관련 판례(D), 자녀 전원 포기 시 배우자 단독상속 전합 판례(E)는 모두 옳다.

### ANSWER
C"
1414,변호사,민사법,E,C,"### ANSWER
C"
1415,변호사,민사법,E,E,"### ANSWER
E"
2134,한약사,한약학 응용,E,E,"八珍湯(四君子湯+四物湯)에 黃芪와 肉桂를 더하면 十全大補湯이 된다.

### ANSWER
E"
2135,한약사,한약학 응용,C,C,"Six-flavor rehmannia pill: 熟地黃, 山藥, 山茱萸, 牡丹皮, 茯苓, 澤瀉.

### ANSWER
C"
2136,한약사,한약학 응용,B,B,"酸棗仁湯 (酸枣仁、甘草、知母、茯苓、川芎) treats虛勞虛煩不得眠, functioning to nourish blood and calm the spirit while clearing heat and relieving vexation.

### ANSWER
B"
2137,한약사,한약학 응용,B,B,"牡蠣散 is the classic 固澀劑 (斂汗固表) formula, using 牡蠣, 黃芪, 麻黃根, 浮小麥 to treat spontaneous and night sweating due to deficiency. 桂枝湯 harmonizes ying-wei, 四神丸 and 眞人養臟湯 treat chronic diarrhea, 麻杏薏甘湯 dispels wind-damp.

### ANSWER
B"
722,관세사,무역영어,B,B,"### ANSWER
B"
723,관세사,내국소비세법,C,C,"### ANSWER
C"
724,관세사,내국소비세법,D,D,"D는 보세구역 내에서 보세구역 밖 국내로 공급 시 수입에 해당하면 수입신고 수리일로 규정되어 옳다. A는 폐업일, B는 조건 성취로 판매가 확정되는 때, C는 사업자가 현금을 꺼내는 때, E는 공급가액이 확정되는 때이므로 모두 틀렸다.

### ANSWER
D"
725,관세사,내국소비세법,B,B,"간이과세 포기 시 과세기간은 1/1부터 포기신고일이 속하는 달의 말일까지이므로 ㄷ은 틀리고, 사업개시일 전 등록신청한 신규사업자의 최초 과세기간 시작일은 등록신청일이므로 ㄱ도 틀립니다. 폐업의 경우 과세기간 개시일부터 폐업일까지가 최종 과세기간이므로 ㄴ만 옳습니다.

### ANSWER
B"
16,감정평가사,민법,C,C,"### ANSWER
C"
17,감정평가사,민법,B,B,"### ANSWER
B"
18,감정평가사,민법,A,A,"### ANSWER
A"
19,감정평가사,민법,A,A,"### ANSWER
A"
2138,한약사,한약학 응용,D,D,"Plum-pit qi (梅核氣) in 半夏厚朴湯 arises from emotional constraint (七情鬱結) causing qi stagnation and phlegm accumulation in the throat.

### ANSWER
D"
2139,한약사,한약학 응용,E,E,"桃核承氣湯 = 桃仁, 大黃, 桂枝, 芒硝, 甘草 — 그 중 大黃·芒硝·甘草가 調胃承氣湯을 구성한다.

### ANSWER
E"
2140,한약사,한약학 응용,A,A,"### ANSWER
A"
2141,한약사,한약학 응용,C,C,"### ANSWER
C"
1416,변호사,민사법,C,C,"### ANSWER
C"
1417,변호사,민사법,E,C,"### ANSWER
C"
1418,변호사,민사법,D,A,"### ANSWER
A"
1419,변호사,민사법,A,A,"### ANSWER
A"
20,감정평가사,민법,D,D,"부속건물로 등기된 창고는 독립한 등기(분할등기) 없이는 주된 건물과 분리하여 경매의 목적물이 될 수 없다는 것이 판례이므로 D가 옳지 않다.

### ANSWER
D"
21,감정평가사,민법,D,D,"### ANSWER
D"
22,감정평가사,민법,E,E,"### ANSWER
E"
23,감정평가사,민법,C,C,"### ANSWER
C"
2142,한약사,한약학 응용,D,D,"Golden Chamber's 麥門冬湯: 麥門冬七升, 半夏一升, 人參二兩, 甘草二兩, 粳米三合, 大棗十二枚 — so the ratio of Ophiopogon to Pinellia is 7:1.

### ANSWER
D"
2143,한약사,한약학 응용,E,E,"平胃散은 蒼朮·厚朴·陳皮·甘草(생강·대조)로 구성되어 燥濕運脾·行氣和胃하며, 濕滯脾胃로 인한 脘腹脹滿, 不思飮食, 惡心嘔吐 등을 치료한다. 출전은 「간요제중방」(태평혜민화제국방에 수록)이다.

### ANSWER
E"
2144,한약사,한약학 응용,B,B,"真武湯은 腎陽虛衰로 水氣가 內停된 병증에 溫陽利水하는 대표 방제이다(附子, 白朮, 茯苓, 生薑, 芍藥).

### ANSWER
B"
2145,한약사,한약학 응용,C,C,"二陳湯(半夏, 陳皮, 茯苓, 甘草)은 대표적인 조습화담 방제로, 습담을 말리고 기를 다스려 중초를 조화시키는 효능이 있다.

### ANSWER
C"
2146,한약사,한약학 응용,B,B,"### ANSWER
B"
2147,한약사,한약학 응용,B,B,"### ANSWER
B"
2148,한약사,한약학 응용,C,C,"Geniposide는 장내세균의 β-glucosidase에 의해 당이 떨어져 genipin으로 변환되는데, 이는 미생물에 의한 대사적 변환, 즉 생물전환에 해당한다. 간의 phase I/II 효소반응이나 배설, 장간순환과는 구별된다.

### ANSWER
C"
2149,한약사,한약학 응용,C,C,"석창포(Acorus gramineus)는 Araceae(천남성과)에 속하며, 정유(β-asarone 등)의 흡입이 뇌 GABA를 증가시켜 pentobarbital 수면시간을 연장시킨다. 또한 총명탕(백복신, 원지, 석창포)의 구성 약물이다.

### ANSWER
C"
24,감정평가사,민법,B,B,"### ANSWER
B"
25,감정평가사,민법,A,A,"### ANSWER
A"
26,감정평가사,민법,B,B,"### ANSWER
B"
27,감정평가사,민법,C,C,"### ANSWER
C"
1420,변호사,민사법,B,B,"### ANSWER
B"
1421,변호사,민사법,D,D,"### ANSWER
D"
1422,변호사,민사법,E,D,"판례에 따르면 ㄱ(시효완성 차임채권의 보증금 공제 인정), ㄴ(초과지급 임금 상계는 임금의 1/2 초과부분만 허용), ㄹ(별개의 대여금채권은 495조 유추적용 대상 아님)은 옳다. ㄷ은 상계의 효력이 상계적상 시점(양 채권의 변제기 도래시)으로 소급하므로 틀리다.

### ANSWER
D"
1423,변호사,민사법,C,D,"### ANSWER
D"
2150,한약사,한약학 응용,E,E,"### ANSWER
E"
2151,한약사,한약학 응용,E,E,"금은화(Lonicera japonica) 꽃봉오리를 약용하며, luteolin과 lonicerin(luteolin-7-O-rutinoside)을 함유합니다. 상처치유 및 COPD·염증성 장질환 모델에서 치료효과가 보고되었습니다.

### ANSWER
E"
2152,한약사,한약학 응용,A,A,"### ANSWER
A"
2153,한약사,한약학 응용,C,C,"Ginkgotoxin (4-O-methylpyridoxine) is a pyridoxine (vitamin B6) antagonist, blocking pyridoxal kinase and thus GABA synthesis via glutamate decarboxylase, causing seizures.

### ANSWER
C"
726,관세사,내국소비세법,C,C,"### ANSWER
C"
727,관세사,내국소비세법,A,A,"### ANSWER
A"
728,관세사,내국소비세법,D,D,"### ANSWER
D"
729,관세사,내국소비세법,D,D,"### ANSWER
D"
2154,한약사,한약학 응용,D,D,"프로트롬빈 시간 지연, heparin cofactor Ⅱ 활성화, 혈소판 응집 관련 물질 감소는 모두 혈액 응고를 억제하는 작용이다.

### ANSWER
D"
2155,한약사,한약학 응용,E,E,"### ANSWER
E"
2156,한약사,한약학 응용,E,E,"### ANSWER
E"
2157,한약사,한약학 응용,C,C,"### ANSWER
C"
2158,한약사,한약학 응용,E,E,"Sennoside A/B are hydrolyzed and reduced by intestinal bacteria (β-glucosidase) to sennidin and then to rheinanthrone, the active laxative metabolite.

### ANSWER
E"
2159,한약사,한약학 응용,C,C,"### ANSWER
C"
2160,한약사,한약학 응용,D,D,"괄루근(천화분)에는 리보솜 불활성화 단백질인 trichosanthin이 함유되어 있으며, 이는 태반조직을 손상시켜 유산을 유발하는 약물로 사용되었고, 췌장 베타세포 보호 및 항당뇨 효과도 보고되어 있다.

### ANSWER
D"
2161,한약사,한약학 응용,B,B,"### ANSWER
B"
28,감정평가사,민법,B,B,"### ANSWER
B"
29,감정평가사,민법,E,E,"### ANSWER
E"
30,감정평가사,민법,D,D,"### ANSWER
D"
31,감정평가사,민법,E,E,"### ANSWER
E"
2162,한약사,한약학 응용,D,D,"### ANSWER
D"
2163,한약사,한약학 응용,A,A,"Wettability of powders is measured by the contact angle between liquid and solid surface; angle of repose and Hausner ratio relate to flowability, critical relative humidity to hygroscopicity.

### ANSWER
A"
