category,answer,pred,response
accounting,B,C,C가 정답입니다.
accounting,A,C,C입니다.
accounting,A,,"질문 1에 대한 답은 C입니다. 

질문 2"
accounting,B,A,A입니다.
accounting,B,A,A가 맞습니다.
accounting,D,A,A입니다.
accounting,A,D,D입니다.
accounting,A,C,C입니다.
accounting,A,D,D
accounting,B,,질문 (Question): 수정 전 잔액시산표의 차변 합
accounting,A,,"질문 1의 정답은 C: ￦1,020"
accounting,D,C,C
accounting,A,D,D가 정답입니다.
accounting,B,,"질문 1의 정답은 C입니다.

질문 2의"
accounting,D,A,A입니다.
accounting,B,C,C
accounting,D,C,C
accounting,C,B,B
accounting,B,B,B
accounting,A,A,A입니다.
accounting,D,,"질문 6에 대한 답입니다.

20× 1년 초 구"
accounting,D,A,A입니다.
accounting,D,,정답은 D입니다.
accounting,C,A,A입니다.
accounting,A,D,D
accounting,C,A,A입니다.
accounting,A,,질문 (Question): 수정 전 잔액시산표의 차변 합
accounting,C,A,A입니다.
accounting,C,,"질문 1에 대한 정답은 C입니다. 

질문"
accounting,A,D,D가 정답입니다.
accounting,A,D,D
accounting,D,D,D
accounting,B,D,D
accounting,D,A,A입니다.
accounting,D,A,A입니다.
accounting,C,D,D: 구축물
accounting,D,,질문 1의 정답은 C입니다.
accounting,C,,"질문 1에 대한 정답은 C입니다.

질문 2"
accounting,B,C,C입니다.
accounting,D,D,D
accounting,C,C,C입니다.
accounting,B,C,C
accounting,D,,"질문 1: A

질문 2: D

질문"
accounting,B,D,D
accounting,A,A,A입니다.
accounting,D,C,C가 맞습니다.
agricultural_sciences,B,A,A입니다.
agricultural_sciences,A,B,B
agricultural_sciences,C,A,A입니다.
agricultural_sciences,C,,질문 1에 대한 정답은 A입니다. 지하발아
agricultural_sciences,D,A,A입니다.
agricultural_sciences,B,A,A입니다.
agricultural_sciences,B,,"질문 1의 정답은 A, 질문 2의 정답"
agricultural_sciences,A,A,A입니다.
agricultural_sciences,B,B,B
agricultural_sciences,C,D,D
agricultural_sciences,D,D,D
agricultural_sciences,A,,질문 1의 정답은 A입니다.
agricultural_sciences,D,D,D입니다.
agricultural_sciences,C,A,A입니다.
agricultural_sciences,B,,"질문 1의 정답은 A입니다.

질문 2의"
agricultural_sciences,D,D,D입니다.
agricultural_sciences,C,A,A입니다.
agricultural_sciences,C,A,A
agricultural_sciences,D,A,A
agricultural_sciences,B,D,D입니다.
agricultural_sciences,C,B,B
agricultural_sciences,D,A,A입니다.
agricultural_sciences,D,A,A입니다.
agricultural_sciences,D,D,D
agricultural_sciences,D,A,A입니다.
agricultural_sciences,D,,"질문 (Question): 지하발아형 종자가 아닌 것은?

A"
agricultural_sciences,B,,질문 1의 정답은 A입니다.
agricultural_sciences,D,A,A입니다.
agricultural_sciences,A,A,A입니다.
agricultural_sciences,C,A,A입니다.
agricultural_sciences,C,D,D
agricultural_sciences,B,A,A입니다.
agricultural_sciences,A,A,A입니다.
agricultural_sciences,B,,질문 (Question): 자가수정 작물에 있어서 순계분
agricultural_sciences,B,B,B
agricultural_sciences,C,,질문 1의 정답은 A입니다.
agricultural_sciences,D,D,D: 무
agricultural_sciences,A,A,A입니다.
agricultural_sciences,D,,"질문 1의 정답은 A, 질문 2의 정답"
agricultural_sciences,B,B,B입니다.
agricultural_sciences,B,,"질문에 나온 보기 중에, 지하발아형 종자가"
agricultural_sciences,A,,질문 1의 정답은 A.
agricultural_sciences,C,A,A
agricultural_sciences,B,D,D
agricultural_sciences,C,D,D
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,C,A,A입니다.
agricultural_sciences,D,A,A입니다.
agricultural_sciences,B,D,D
agricultural_sciences,D,A,A입니다.
agricultural_sciences,B,D,D
agricultural_sciences,A,A,A
agricultural_sciences,D,A,A
agricultural_sciences,A,B,B
agricultural_sciences,D,B,B
agricultural_sciences,A,A,A입니다.
agricultural_sciences,B,,"질문 1의 정답은 A, 질문 2의 정답"
agricultural_sciences,B,,"질문 1의 정답은 A, 즉 콩입니다."
agricultural_sciences,C,A,A
agricultural_sciences,C,,"질문에 따라 정답을 선택하시오.

질문 (Question):"
agricultural_sciences,C,A,A입니다.
agricultural_sciences,C,D,D
agricultural_sciences,A,,질문 1의 정답은 A입니다.
agricultural_sciences,D,A,A입니다.
agricultural_sciences,D,A,A입니다.
agricultural_sciences,B,,질문 1의 정답은 A입니다.
agricultural_sciences,D,D,D
agricultural_sciences,B,A,A입니다.
agricultural_sciences,B,,"질문 1의 정답은 A입니다.

질문 2의"
agricultural_sciences,B,A,A입니다.
agricultural_sciences,D,A,A입니다.
agricultural_sciences,D,A,A
agricultural_sciences,D,A,A입니다.
agricultural_sciences,B,A,A
agricultural_sciences,B,A,A입니다.
agricultural_sciences,B,A,A입니다.
agricultural_sciences,B,D,D입니다.
agricultural_sciences,A,D,D
agricultural_sciences,B,,"질문 4에 대한 정답입니다.

A: 격리재"
agricultural_sciences,A,D,D
agricultural_sciences,D,A,A
agricultural_sciences,A,,질문 (Question): 변형 단교잡종의 설명으로 옳
agricultural_sciences,B,A,A입니다.
agricultural_sciences,A,A,A
agricultural_sciences,D,A,A.
agricultural_sciences,C,B,B
agricultural_sciences,B,,"질문 6번의 정답입니다.

질문 6번의"
agricultural_sciences,C,B,B
agricultural_sciences,C,,질문 1의 정답은 A입니다.
agricultural_sciences,C,D,D: 양파
agricultural_sciences,B,D,D
agricultural_sciences,B,D,D입니다.
agricultural_sciences,C,D,D입니다.
agricultural_sciences,B,A,A입니다.
agricultural_sciences,C,,질문 1의 정답은 A입니다.
agricultural_sciences,A,A,A입니다.
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D입니다.
agricultural_sciences,A,,"질문 1: 지하발아형 종자가 아닌 것은?

A"
aviation_engineering_and_maintenance,C,,질문 (Question): 항공기 날개에 쳐든각을
aviation_engineering_and_maintenance,D,A,A
aviation_engineering_and_maintenance,C,D,D입니다.
aviation_engineering_and_maintenance,D,B,B
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,C,D,D
aviation_engineering_and_maintenance,D,A,"A, B, C, D 중에서 제일 정답률이 높은"
aviation_engineering_and_maintenance,B,A,"A, B, C, D 중에서 가장 적절한 정답을"
aviation_engineering_and_maintenance,D,,"질문 1: B

질문 2: D

질문"
aviation_engineering_and_maintenance,C,B,B입니다.
aviation_engineering_and_maintenance,C,D,D입니다.
aviation_engineering_and_maintenance,D,,질문 (Question)과 정답 (Answer)만을 제시하고
aviation_engineering_and_maintenance,A,B,B입니다.
aviation_engineering_and_maintenance,D,A,"A, B, C, D 중에 적절한 정답을 골"
aviation_engineering_and_maintenance,A,D,D입니다.
aviation_engineering_and_maintenance,D,A,A
aviation_engineering_and_maintenance,B,A,"A, B, C, D 중에 하나의 알파벳으로"
aviation_engineering_and_maintenance,B,B,B
aviation_engineering_and_maintenance,D,B,B입니다.
aviation_engineering_and_maintenance,C,A,A
aviation_engineering_and_maintenance,C,D,D를 선택하겠습니다.
aviation_engineering_and_maintenance,A,A,"A, B, C, D 중에서 옳은 정답을 하나"
aviation_engineering_and_maintenance,D,A,"A, B, C, D 중에서 알파벳 하나로 답"
aviation_engineering_and_maintenance,C,A,"A, B, C, D의 순서대로 정답입니다.

질"
aviation_engineering_and_maintenance,D,,"질문 1의 정답은 B입니다. 

질문 2"
aviation_engineering_and_maintenance,B,,질문 (Question): 수평 등속도로 비행하는 항공기에
aviation_engineering_and_maintenance,C,,"1. B
2. D
3. B
4. C"
aviation_engineering_and_maintenance,D,A,"A, B, C, D 중에 적절한 정답을 선택"
