category,answer,pred,response
General Knowledge,B,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 다음은 무엇에 대한 이야기입니까? ### 참고:한국에서는 명절에 조상의 산소를 찾아가 인사를 드리고 산소를 살핀다. \\n보기 (Options):\\nA: 추석, B: 제사, C: 성묘, D: 백일, E: 장례\\n정답 (Answer): }]"
General Knowledge,C,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 다음 중 중 대화가 이루어지는 장소로 가장 적절한 것을 고르시오 ### 참고: 가: 이수진! 일어나서 13번 답 말해볼래? 나: 아, 죄송해요 선생님. 잘 모르겠어요. 가: 그럼 옆에 있는 짝꿍 일어나서 말해보자.\\n보기 (Options):\\nA: 식당, B: 병원, C: 학교, D: 도서관, E: 백화점\\n정답 (Answer): }]"
General Knowledge,E,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 빈 칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:가 : 저는 어렸을 때 말이 정말 많은 [BLANK] 였어요. 나 : 정말요?\\n보기 (Options):\\nA: 겁쟁이, B: 멋쟁이, C: 개구쟁이, D: 대장장이, E: 수다쟁이\\n정답 (Answer): }]"
General Knowledge,B,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 다음 중 이 국가기관은 무엇입니까?  ### 참고: 이 국가기관 에서는 지난 5월 서울 종로구에서 상 점을 돌아다니며 물건을 훔친 일당을 체포했다고 발표했다.\\n보기 (Options):\\nA: 국세청, B: 경찰청, C: 통계청, D: 산림청, E: 기상청\\n정답 (Answer): }]"
General Knowledge,E,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 다음 중 한국의 정치에 대한 설명으로 옳지 않은 것을 고르시오. ### 참고:nan\\n보기 (Options):\\nA: 법에 의해 통치한다., B: 국민의 자유와 평등을 강조한다., C: 선거를 통해 국민의 대표를 선출한다., D: 국가의 정책에 국민의 의사를 반영한다., E: 국가의 모든 일은 국민 투표를 통해 결정한다.\\n정답 (Answer): }]"
General Knowledge,E,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 한국의 수출품 중에서 전 세계적으로 수출되는 대표적인 상품으로 짝지어진 것 은 무엇입니까? ### 참고:nan\\n보기 (Options):\\nA: 김,호박, B: 버섯,목재, C: 생선,조개, D: 인형, 신발, E: 자동차, 반도체\\n정답 (Answer): }]"
General Knowledge,C,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 서울올림픽은 몇 년도에 개최되었습니까?  ### 참고:nan\\n보기 (Options):\\nA: 1986, B: 1987, C: 1988, D: 1989, E: 2002\\n정답 (Answer): }]"
General Knowledge,D,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 옛날과 오늘날의 생활 도구의 변화를 비교한 것이다. 빈 칸 안에 들어갈 알맞은 말은 무엇입니까?  ### 참고:옛 날 : [BLANK]    오늘날: 전기밥솥\\n보기 (Options):\\nA: 접시, B: 처마, C: 옹기, D: 가마솥, E: 전기다리미\\n정답 (Answer): }]"
General Knowledge,D,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 우리나라에 있는 산이 아닌 것은 무엇입니까? ### 참고:nan\\n보기 (Options):\\nA: 지리산, B: 태백산, C: 북한사, D: 후지산, E: 한라사\\n정답 (Answer): }]"
General Knowledge,E,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 품질 정보와 뜻이 바르게 연결된 것을 고르시오.  ### 참고:nan\\n보기 (Options):\\nA: 제조회사: 물건의 이름을 알 수 있다., B: 유통기한: 어느 회사가 만들었는지 알 수 있다., C: 보관방법: 물건의 가격이 얼마인지 알 수 있다., D: 제품명: 물건을 어떻게 보관하는지 알 수 있다., E: 원재료 및 원산지 :물건을 만드는데 사용한 재료와 그 재료를 생산 한 나라나 지역을 알 수 있다.\\n정답 (Answer): }]"
General Knowledge,D,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 다음 중 자동차 때문에 필요한 것이 아닌 것을 고르시오.  ### 참고:nan\\n보기 (Options):\\nA: 도로, B: 신호등, C: 교통 표지, D: 구명 조끼, E: 교통 경찰관\\n정답 (Answer): }]"
General Knowledge,A,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 업무시간에관한설명으로옳지않은것은?  ### 참고:nan\\n보기 (Options):\\nA: 일반적으로 9시에 출근해서 5시에 퇴근한다., B: 일과시간 이후에도 일하는 것을 야근이라 한다., C: 대도시에는 24시간 손님을 받는 편의점이나 식당도 있다., D: 대부분의 직장은 월요일부터 금요일까지 주5일 근무를 한다., E: 한국의 하루 업무 시간은 10시간이다.\\n정답 (Answer): }]"
General Knowledge,C,A,"System: You are an AI assistant who reads a given question and solves multiple choice questions.\n    You dont need to write a detailed explanation of your answer in sentences. Just answer in one word.\nHuman: [{type: text, text: 주어진 질문을 천천히 읽고, 적절한 정답을 A, B, C, D, E 중에 골라 알파벳 하나로 답하시오.\\n(Read the given Question, and choose the correct answer from options A, B, C, D, or E. Respond with a single alphabet.)\\n\\n질문 (Question): 다음에서 설명하는 곳은?  ### 참고:·공과금(전기, 수도, 가스 요금 등)을 수납한다. ·해외로 편지나 택배를 보낼 수 있다. \\n보기 (Options):\\nA: 은행, B: 경찰서, C: 우체국, D: 지하철, E: 소방서\\n정답 (Answer): }]"
