category,subcategory,level,answer,pred,response
Semantics,Ambiguity,3,F,F,"정답은 **F**입니다.

- **주말에 시장에서 장을 봤다.** → ‘장’이 들어감
- **연필 한 자루를 깎았다.** → ‘자루’가 들어가야 함

따라서 두 빈칸에 동시에 들어갈 수 있는 단어가 아니므로 **F**가 적절하지 않습니다."
Phonetics/Phonology,Phonological Alternation,3,F,F,"정답은 **F. 뱃길**입니다.

<보기>의 공통 현상은 **‘ㄴ’ 첨가**입니다.

- 솜이불 → [솜니불]
- 장식용 → [장싱뇽]
- 결막염 → [결망념]

반면 **뱃길**은 [배낄]로 발음되어 ‘ㄴ’이 첨가되지 않고, 사이시옷에 의해 뒤의 **ㄱ이 된소리**로 발음됩니다."
Semantics,Word Relationships,2,G,G,"정답은 **G**입니다.

- **가슴에 못을 박다**: 상대의 마음에 큰 상처를 주거나 한을 맺히게 하다.
- 여기서 **‘못’**은 실제 물건인 **나사**를 뜻하는 것이 아니라, 마음에 깊이 남은 **상처나 아픔**을 비유합니다.

따라서 **‘못 → 나사’**라는 해석은 관용적 의미에 맞지 않습니다."
Syntax,Embedded Clauses,2,B,B,"정답은 **B**입니다.

- B의 안긴 문장: **비가 온다**
- 이를 원래 문장으로 복원하면 **비가 온다**가 되며, 서술어 **‘오다’**는 주어 **‘비가’**만 필요로 하는 **한 자리 서술어**입니다.

다만 **‘너를 그리워하면’**의 서술어 **‘그리워하다’**는 목적어 **‘너를’**을 필요로 하므로 두 자리 서술어입니다. 문제에서 묻는 중심 안긴 문장은 **‘비가 온다는 사실’**의 내용인 **‘비가 온다’**입니다."
Syntax,Embedded Clauses,1,C,C,"정답은 **C**입니다.

- **C: 그이는 나를 내 친구가 소개해줬다고 말했다.**
  - ‘내 친구가 나를 소개해 줬다’가 **-다고**로 인용되어 ‘말했다’의 내용으로 쓰였으므로 **인용절을 안은 문장**입니다.

나머지는 다음과 같습니다.

- A: ‘일하고 싶지 않은’ → **관형절**
- B: ‘우리가 이제 만날’ → **관형절**
- D: ‘저 하늘에 날아다니는’ → **관형절**
- E: ‘내가 학교에서 친구들과 함께 간’ → **관형절**
- F: ‘너무나 어른 같았던’ → **관형절**
- G: ‘오늘 만나 뵐 수 있어서’ → **부사절**
- H: ‘내가 어제 먹은’ → **관형절**
- I: ‘내가 너를 좋아하겠다’ → **인용절** 또는 인용된 내용을 포함한 관형절
- J: ‘내가 옛날에 밥을 사 줬던’ → **관형절**

따라서 올바른 설명은 **C**입니다."
Semantics,Numeral Classifiers,1,E,E,"정답은 **E**입니다.

- **말**: 쌀·보리 등의 곡식이나 액체의 부피를 세는 단위  
  - 예: **쌀 한 말**, 콩 두 말
- 쇠고기는 보통 무게 단위인 **근**을 사용합니다.  
  - 자연스러운 표현: **쇠고기 한 근이 이렇게 비싸다니 놀랍다.**

나머지는 모두 자연스럽습니다.

- 안건 **수십 건**
- 연극 **1막, 2막**
- 쌀 **한 되**
- 논 **세 평**, 쌀 **몇 가마**
- 동전 **한 닢**
- 논 **한 마지기**, 쌀 **몇 석**
- 말 **세 필**
- **5개년**
- 굴비 **세 두름**"
Semantics,Numeral Classifiers,1,G,G,"정답은 **G: 한 권 남았어요.**

‘문제집’은 책이므로 분류사 **권**을 사용합니다."
Semantics,Semantic Compatibility,1,D,D,"정답은 **D: 이해관계를 인상하다**입니다.

- **인상하다**: 물가·임금·세금 등을 올리다  
  - 예: 물가를 인상하다, 임금을 인상하다
- **이해관계**: 서로의 이익이나 관계  
  - 보통 **이해관계를 조정하다·고려하다·따지다**라고 합니다.

따라서 **‘이해관계를 인상하다’**는 서술어와 논항이 의미적으로 호응하지 않습니다."
Semantics,Inter-sentence Relations,3,H,E,"정답은 **E**입니다.

- ㄱ: **시키려고** → “무슨 일을 시키려고?”  
- ㄴ: **졌으므로** → “저번에 나도 너한테 신세를 졌으므로”  
- ㄷ: **들어줘** → “일단 들어줘.”

따라서 **E: 시키려고, 졌으므로, 들어줘**입니다."
Semantics,Conjunctions,1,E,E,"정답은 **E**입니다.

- 1: **그러나** — 공룡이라는 통념과 현재의 대왕고래를 대조
- 2: **어쩌면** — 가능성이나 추측을 나타냄
- 3: **그 이유는** — 앞 문장의 이유를 설명
- 4: **아울러** — 고래의 또 다른 특징을 덧붙임

따라서 **그러나, 어쩌면, 그 이유는, 아울러**가 가장 적절합니다."
Semantics,Conjunctions,2,B,B,"정답은 **B: 덕분에, 하지만, 따라서, 그래도**입니다.

문장에 넣으면 다음과 같습니다.

> 오늘은 모처럼 큰 일정이 없는 날이다. **덕분에** 밀린 공부를 할 시간이 생겼다. **하지만** 그간 미뤄둔 잡무들도 많았다. **따라서** 마음먹은 만큼 공부를 하진 못했다. **그래도** 할 수 있었다는 사실이 중요하다고 생각한다.

- **덕분에**: 일정이 없어서 공부할 시간이 생긴 결과
- **하지만**: 공부할 시간이 생긴 것과 잡무가 많았다는 점의 대조
- **따라서**: 잡무가 많았기 때문에 공부를 충분히 못 한 결과
- **그래도**: 충분히 공부하지 못했지만, 공부했다는 사실은 중요하다는 의미"
Semantics,Rhetorical Expressions,3,A,C,"정답은 **C: 빠른 포기가 권장되는**입니다.

문맥상 회사는 정부 지원을 받기 위해 **한 달 안에 시제품을 출시해야 하는 매우 절박하고 긴급한 상황**입니다. 따라서 포기하기보다는 어떻게든 해결책을 찾아야 하므로, “빠른 포기가 권장되는 상황”은 문맥과 반대됩니다.

나머지 표현들은 모두 어려움, 긴급함, 절박함 또는 행운의 필요성을 나타내므로 문맥에 어울립니다."
Semantics,Rhetorical Expressions,3,F,G,"정답은 **G: 묻지마 거래**입니다.

기업의 재무 상태나 전망을 분석하지 않고 단순히 시장 이슈만 따라 투자하는 행위는 일반적으로 **‘묻지마 투자’ 또는 ‘묻지마 거래’**라고 합니다."
Semantics,Rhetorical Expressions,3,G,H,"정답은 **H**입니다.

가로등이 “위태로이 길을 인도”한다고 표현하여 인간의 행동을 부여하고, “하루치 고단함이 내려앉은”이라는 표현으로 추상적인 피로감을 공간에 투영하고 있습니다. 이를 통해 무생물과 환경이 인간의 정서처럼 느껴지게 하여, 독자가 퇴근길의 피로와 쓸쓸함에 공감하도록 유도합니다."
Syntax,Argument Structure & Valency,3,A,A,"정답은 **A**입니다.

- **시달리다**는 보통 무엇에 시달리는지를 나타내는 **‘-에’ 부사어**를 필요로 합니다.  
  → *뱃멀미에 시달리다*

다른 부사어들은 문장에서 없어도 서술어의 의미가 성립하므로 필수적이지 않습니다.

- B 접때: 시간
- C 하나하나: 동작의 방식
- D 잉꼬부부로: 신분·자격
- E 일조일석에: 시간
- F 도서관에는: 장소
- G 불철주야: 시간·방식
- H 대내외적으로: 범위·방식
- I 무단으로: 방식
- J 불하일장에: 시간

따라서 **A. <뱃멀미에>**입니다."
Pragmatics,Discourse Principles,3,C,C,"정답은 **C**입니다.

을의 “**편의점 차렸니?**”는 실제로 편의점을 차렸다는 뜻이 아니므로 문자 그대로는 거짓입니다. 하지만 갑이 맥주와 과자를 너무 많이 준비했다는 점을 **과장하여 비꼬거나 놀리는 태도**를 드러내기 위한 표현입니다. 따라서 대화의 **진실성의 격률**을 의도적으로 어긴 사례입니다."
Semantics,Semantic Compatibility,1,E,E,"가장 어색한 것은 **E: 민주가 명단을 결심했다.**입니다.

**결심하다**는 보통 어떤 행동이나 일을 하기로 마음먹는다는 뜻이므로, ‘명단’을 목적어로 취하기 어렵습니다.

- 자연스러운 표현: **민주가 명단을 작성했다.**
- 또는: **민주가 명단을 보고 참가를 결심했다.**"
Syntax,Agreement,2,H,H,"정답은 **H**입니다.

- 능동문: **시연이가 찬형이를 잡았다.**
- 피동문: **찬형이가 시연이에게 잡혔다.**

능동문의 목적어인 **찬형이**가 피동문에서는 주어가 되고, 행위자인 **시연이**는 ‘에게’로 나타납니다.

다른 보기들은 대부분 피동문이 아니라 **사동문**이거나, 능동문과 피동문의 방향이 반대입니다."
Phonetics/Phonology,Phonological Constraints,1,J,J,"정답은 **J: 크+어서 = 커서**입니다.

- **크**의 어간 말음 **ㅡ(모음)**과 **어서**의 첫소리 **어(모음)**가 결합하면서 모음이 축약됩니다.
- 따라서 이는 **모음과 모음 사이의 배열 제약**에 해당하며, **자음과 자음 사이의 배열 제약**이 아닙니다.

나머지 A~I는 모두 어간 말 자음과 뒤 음절 첫 자음이 결합하면서 거센소리되기, 된소리되기, 자음 동화 등이 나타난 예입니다."
Phonetics/Phonology,Phonological Alternation,2,C,C,"정답은 **C: 밖**입니다.

<보기>의 단어들은 모두 **겹받침 중 하나의 자음이 탈락하는 자음군 단순화**가 나타납니다.

- 값 → **[갑]**: ㅄ → ㅂ
- 외곬 → **[외골]**: ㄽ → ㄹ
- 맑게 → **[말께]**: ㄺ 중 ㄹ만 발음되고, 뒤의 ㄱ은 된소리로 발음됨

선택지에서도 대부분 겹받침이 단순화됩니다.

- 묽고 → [물꼬]
- 삶 → [삼]
- 여덟 → [여덜]
- 읊고 → [읍꼬]
- 젊다 → [점따]
- 훑고 → [훌꼬]
- 넋 → [넉]
- 닭 → [닥]
- 앓다 → [알타]

반면 **밖**은 받침이 겹받침이 아닌 **단받침 ㄲ**이므로 자음군 단순화가 나타나지 않습니다."
Pragmatics,Speech Acts,2,E,E,"정답은 **E**입니다.

- **E: “다음에는 너도 한 번은 하게 해 주지.”**  
  → 청자에게 어떤 행동을 명령하는 말이 아니라, 화자가 청자에게 기회를 주겠다는 **약속·의지의 표현**입니다.

나머지는 직접 또는 간접적으로 청자에게 행동을 요구하거나 금지하는 **명령·요청·권유**의 기능을 합니다."
Pragmatics,Speech Acts,1,A,A,"정답은 **A: 다음달 안으로 알려 드릴게요.**입니다.

‘-ㄹ게요’는 화자가 앞으로 어떤 행동을 하겠다고 **미리 약속하거나 의지를 나타내는 표현**입니다. 따라서 ‘저녁에는 정말로 공부할게요.’와 같은 유형입니다."
Pragmatics,Speech Acts,2,G,G,"정답은 **G**입니다.

**“내가 뭘 피구를 못하냐?”**는 형식상 의문문이지만, 실제로는 질문하려는 것이 아니라 **“나는 피구를 못하는 사람이 아니다”**라는 반박이나 주장을 간접적으로 드러냅니다. 즉, **발화 형식(의문문)과 실제 발화 의도(주장·반박)가 일치하지 않는 경우**입니다."
Pragmatics,Speech Acts,3,G,F,"정답은 **F**입니다.

- **‘반납 좀 제때제때 하자.’ → 청유**  
  상대방에게 함께 그렇게 하자고 제안하는 표현입니다.

나머지는 다음과 같습니다.

- ‘걔가 손 하나 까딱하는 것 봤어?’ → 형식은 질문이지만, 실제로는 동생에 대한 **불평·감정 표현**
- ‘엄만 그걸 어떻게 알았어?’ → **질문**
- ‘너 도서관에서 빌린 책 아직 반납 안 했지?’ → **질문**
- ‘네 동생한테 대신 갔다 오라고 해’ → 상대에게 시키는 **명령**
- ‘반납하러 갈 시간이 없는 게 내 잘못이야?’ → 억울함을 나타내는 **감정 표현**
- ‘내가 너를 하루이틀 보니?’ → 실제로는 자신이 상대를 잘 안다는 **진술**에 가까운 반문

따라서 옳게 연결된 것은 **F**입니다."
Semantics,Semantic Compatibility,3,C,C,"정답은 **C: 0개**입니다.

- **러시아**: ‘러시아에서 보내온’에서 **출발점역**이지 장소역이나 도착점역이 아닙니다.
- **알**: ‘보내온’과 ‘보고’의 대상이므로 **결과상태역**이 아닙니다.
- **신기**: ‘신기해 했다’의 상태·감정을 나타내는 말로, 도구역·영향주역·자격역·경로역이 아닙니다.
- **철갑상어**: ‘알’을 수식하는 말로, 내용역이나 경험주역이 아닙니다.

따라서 옳은 설명은 **0개(C)**입니다."
Semantics,Semantic Compatibility,2,B,B,"정답은 **B**입니다.

- **동전**: 책갈피로 사용된 **도구/수단**
- **톱**: 유물을 만드는 데 사용되는 **도구**

따라서 의미적 역할이 가장 유사한 것은 **“이 유물은 제대로 된 [톱] 하나 없이 만들어졌다.”**입니다."
Semantics,Semantic Compatibility,2,C,G,"정답은 **G: 그 도시가 [제주시]였다.**

두 문장의 괄호 안 표현은 모두 **‘이다/이었다’ 앞에서 주어의 정체나 지위를 나타내는 보어** 역할을 합니다.

- 그 친구는 지난 전투에서 **선봉이었다**.
- 그 도시는 **제주시였다**.

따라서 문법적·의미적 역할이 가장 유사한 것은 **G**입니다."
Semantics,Semantic Compatibility,3,B,E,"정답은 **E: 정답 없음**입니다.

「광어는 [도다리] 같다」에서 **도다리**는 광어와 비교되는 **비교 대상·기준**입니다.

- **B의 [동생]**: 형과 비교되는 기준
- **J의 [천사]**: 선생님과 비교되는 대상

따라서 B와 J가 모두 의미적으로 유사하므로, 하나만 고르는 문제라면 **정답 없음(E)**이 적절합니다."
Semantics,Semantic Compatibility,3,B,F,"정답은 **F**입니다.

- **돌부리**: 사람이 걸려 넘어지게 만든 **장애물·원인**
- **다리**: 사람이 걸려 넘어지게 만든 **장애물·원인**

두 문장 모두 ‘무엇에 걸려 넘어지다’의 구조로, 괄호 안 명사가 넘어짐을 유발한 장애물 역할을 합니다."
Semantics,Semantic Compatibility,3,B,I,"정답은 **I. 정답 없음**입니다.

‘재’는 **‘되다’의 보어**로, 숯더미가 변화한 **결과 상태**를 나타냅니다.

- 숯더미는 **재가** 되어 있었다.
- ‘재’ = 결과·상태를 나타내는 보어

반면 다른 선지의 괄호 안 말들은 원인(눈보라), 도구(7번 아이언), 장소(카페·매장), 내용(인용절) 등으로, ‘재’와 의미적 역할이 일치하지 않습니다."
Semantics,Semantic Compatibility,1,B,B,"정답은 **B: [손], [목소리]**입니다.

- **[손]으로** 만지작거린다 → 행동의 **도구·수단**
- **[목소리]로** 회의를 시작하였다 → 행동의 **수단·방법**

따라서 두 단어는 모두 행위가 이루어지는 **도구적 의미 역할**을 합니다."
Semantics,Semantic Compatibility,2,F,F,"정답은 **F: [동식이], [강아지]**입니다.

- **동식이**: ‘동식이와’ 함께 텐트를 친 사람 → **동반자**
- **강아지**: 아이들이 ‘강아지와’ 함께 뛰어놂 → **동반자**

따라서 두 단어는 모두 행위에 함께 참여하는 **동반자 역할**을 합니다."
