id,category,trial,answer,pred,response
PSE_history_19_8,History,0,D,C,C
PSE_history_19_9,History,0,C,C,C
PSE_history_19_10,History,0,A,A,A
PSE_history_19_11,History,0,C,C,C
Kedu_15_17,Grammar,0,C,C,C
Kedu_15_18,Grammar,0,D,D,D
Kedu_15_19,Grammar,0,A,A,A
Kedu_15_20,Grammar,0,A,D,D
PSE_history_19_12,History,0,B,B,B
PSE_history_19_13,History,0,D,D,D
PSE_history_19_14,History,0,A,C,C
PSE_history_19_15,History,0,C,C,C
Kedu_15_21,Grammar,0,A,B,B
Kedu_15_22,Grammar,0,B,C,C
Kedu_15_23,Grammar,0,D,D,D
Kedu_15_24,Grammar,0,B,B,B
KIIP_popular_26,Pop Culture,0,A,A,A
Kedu_popular_1,Pop Culture,0,A,A,A
Kedu_popular_2,Pop Culture,0,C,C,C
Kedu_popular_3,Pop Culture,0,B,B,B
Kedu_15_25,Grammar,0,C,B,B
Kedu_15_26,Grammar,0,B,D,D
Kedu_15_27,Grammar,0,D,D,D
Kedu_15_28,Grammar,0,C,C,C
PSE_history_19_16,History,0,D,D,D
PSE_history_19_17,History,0,A,C,C
PSE_history_19_18,History,0,B,D,D
PSE_history_19_19,History,0,B,A,A
KIIP_tradition_75,Tradition,0,A,A,A
KIIP_tradition_76,Tradition,0,C,C,C
KIIP_tradition_77,Tradition,0,A,A,A
KIIP_tradition_78,Tradition,0,B,B,B
PSE_history_19_20,History,0,B,B,B
PSE_history_20_1,History,0,C,C,C
PSE_history_20_2,History,0,D,C,C
PSE_history_20_3,History,0,C,C,C
Kedu_15_29,Grammar,0,B,C,C
Kedu_15_30,Grammar,0,A,C,C
Kedu_15_31,Grammar,0,D,C,C
Kedu_15_32,Grammar,0,A,B,B
KIIP_economy_1,Economy,0,C,C,C
KIIP_economy_2,Economy,0,A,A,A
KIIP_economy_3,Economy,0,C,C,C
KIIP_economy_4,Economy,0,D,D,D
Kedu_popular_4,Pop Culture,0,B,B,B
Kedu_popular_5,Pop Culture,0,B,B,B
Kedu_popular_6,Pop Culture,0,B,B,B
Kedu_popular_7,Pop Culture,0,A,A,A
Kedu_15_33,Grammar,0,D,D,D
Kedu_15_34,Grammar,0,A,D,D
Kedu_15_35,Grammar,0,C,C,C
Kedu_15_36,Grammar,0,D,D,D
KIIP_tradition_79,Tradition,0,A,A,A
KIIP_tradition_80,Tradition,0,A,A,A
KIIP_tradition_81,Tradition,0,A,A,A
KIIP_tradition_82,Tradition,0,C,C,C
KIIP_economy_5,Economy,0,C,C,C
KIIP_economy_6,Economy,0,B,B,B
KIIP_economy_7,Economy,0,B,B,B
KIIP_economy_8,Economy,0,A,A,A
KIIP_tradition_83,Tradition,0,A,A,A
KIIP_tradition_84,Tradition,0,C,C,C
KIIP_tradition_85,Tradition,0,B,B,B
KIIP_tradition_86,Tradition,0,A,A,A
KIIP_economy_9,Economy,0,C,C,C
KIIP_economy_10,Economy,0,C,C,C
KIIP_economy_11,Economy,0,D,D,D
KIIP_economy_12,Economy,0,A,A,A
KIIP_economy_13,Economy,0,C,C,C
KIIP_economy_14,Economy,0,C,C,C
KIIP_economy_15,Economy,0,D,D,D
KIIP_economy_16,Economy,0,A,A,A
Kedu_popular_8,Pop Culture,0,D,C,C
Kedu_popular_9,Pop Culture,0,B,B,B
Kedu_popular_10,Pop Culture,0,D,D,D
Kedu_popular_11,Pop Culture,0,C,C,C
KIIP_tradition_87,Tradition,0,D,D,D
KIIP_tradition_88,Tradition,0,B,D,D
KIIP_tradition_89,Tradition,0,A,A,A
KIIP_tradition_90,Tradition,0,A,A,A
PSE_history_20_4,History,0,B,B,B
PSE_history_20_5,History,0,D,D,D
PSE_history_20_6,History,0,B,D,D
PSE_history_20_7,History,0,A,A,A
KIIP_economy_17,Economy,0,A,A,A
KIIP_economy_18,Economy,0,C,C,C
KIIP_economy_19,Economy,0,A,A,A
KIIP_economy_20,Economy,0,B,B,B
Kedu_15_37,Grammar,0,C,C,C
Kedu_15_38,Grammar,0,A,A,A
Kedu_15_39,Grammar,0,B,B,B
Kedu_15_40,Grammar,0,D,B,B
Kedu_popular_12,Pop Culture,0,C,C,C
Kedu_popular_13,Pop Culture,0,D,D,D
Kedu_popular_14,Pop Culture,0,D,D,D
Kedu_popular_15,Pop Culture,0,D,D,D
Kedu_15_41,Grammar,0,D,D,D
