category,answer,pred,response
Accounting,B,B,B
Accounting,A,D,D
Accounting,A,C,C
Accounting,D,D,D
Accounting,C,A,A
Accounting,D,A,A
Accounting,D,C,C
Accounting,C,B,B
Accounting,D,D,D
Accounting,A,C,C
Accounting,B,B,B
Accounting,A,A,A
Accounting,D,D,D
Accounting,B,A,A
Accounting,A,A,A
Accounting,D,A,A
Accounting,B,C,C
Accounting,C,A,A
Accounting,C,A,A
Accounting,D,A,A
Accounting,A,C,C
Accounting,C,B,B
Accounting,C,C,C
Accounting,A,D,D
Accounting,A,C,C
Accounting,D,B,B
Accounting,D,C,C
Accounting,B,D,D
Accounting,A,C,C
Accounting,D,A,A: 금융자산 평가
Accounting,C,C,C
Accounting,C,C,C
Accounting,A,C,C
Accounting,B,C,C
Accounting,D,C,C
Accounting,B,B,B
Accounting,B,B,B
Accounting,B,D,D
Accounting,D,A,A
Accounting,C,C,C
Accounting,D,A,A
Accounting,A,C,C
Accounting,C,B,B
Accounting,B,B,B: 평가이익 ￦
Accounting,A,B,B
Accounting,D,B,B
Accounting,B,D,D
Accounting,C,B,B
Accounting,C,D,D
Accounting,B,D,D
Accounting,D,C,C
Accounting,D,B,B
Accounting,C,A,A
Accounting,D,A,A
Accounting,C,C,C
Accounting,A,B,B
Accounting,C,C,C
Accounting,C,A,A
Accounting,A,D,D
Accounting,D,C,C
Accounting,B,C,C
Accounting,D,A,A
Accounting,C,B,B
Accounting,C,A,A
Accounting,A,A,A
Accounting,D,B,B
Accounting,A,A,A
Accounting,C,C,C
Accounting,D,A,A
Accounting,C,D,D
Accounting,A,A,A
Accounting,D,B,B
Accounting,B,D,D
Accounting,D,C,C
Accounting,B,C,C
Accounting,B,C,C
Accounting,B,C,C
Accounting,D,D,D
Accounting,C,B,B
Accounting,D,A,A
Accounting,C,A,A
Accounting,D,D,D
Accounting,C,B,B
Accounting,C,D,D
Accounting,D,C,C
Accounting,B,D,D
Accounting,C,C,C
Accounting,C,A,A
Accounting,B,C,C
Accounting,C,D,D
Accounting,D,A,A
Accounting,C,C,C
Accounting,D,A,A
Accounting,C,D,D
Accounting,B,A,A
Accounting,C,C,C
Accounting,A,C,C
Accounting,D,C,C
Accounting,B,C,C
Accounting,D,A,A
Agricultural-Sciences,D,A,A
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,C,C
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,A,A
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,A,A,A
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,A,A
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,C,C
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,A,A
Agricultural-Sciences,C,A,A
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,C,C,C
Agricultural-Sciences,C,D,D
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,D,D
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,A,A
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,D,D
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,A,A
Agricultural-Sciences,B,A,A
Agricultural-Sciences,B,D,D
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,A,A
Agricultural-Sciences,B,A,A
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,A,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,A,A
Agricultural-Sciences,C,A,A
Agricultural-Sciences,D,A,A
Agricultural-Sciences,D,D,D
Agricultural-Sciences,C,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,B,B
Agricultural-Sciences,C,C,C
Agricultural-Sciences,B,C,C
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,C,B,B
Agricultural-Sciences,B,B,B
Agricultural-Sciences,D,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,D,D,D
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,B,B
Agricultural-Sciences,B,C,C
Agricultural-Sciences,D,C,C
Agricultural-Sciences,B,B,B
