category,answer,pred,response
Accounting,B,A,A입니다.
Accounting,A,B,B
Accounting,A,,"질문 1에 대한 정답은 C, 질문 2에 대한"
Accounting,D,,"질문 1의 정답은 C, 질문 2의 정답"
Accounting,C,C,C
Accounting,D,,"질문 1의 정답은 C, 질문 2의 정답"
Accounting,D,,"질문 1의 정답은 C, 질문 2의 정답"
Accounting,C,D,D
Accounting,D,,"질문 1에 대한 정답은 C, 질문 2에 대한"
Accounting,A,A,A입니다.
Accounting,B,,질문 1의 정답은 C입니다.
Accounting,A,D,D
Accounting,D,,"질문 1의 정답은 C: ￦1,020"
Accounting,B,D,D
Accounting,A,D,D
Accounting,D,D,D입니다.
Accounting,B,,질문 (Question): 현금및현금성자산에 대한
Accounting,C,,"질문 1에 대한 정답은 C입니다. 

질문"
Accounting,C,,질문 1: 수정 전 잔액시산표의 차변 합
Accounting,D,B,B입니다.
Accounting,A,,"질문 1의 정답은 C입니다.

질문 2의"
Accounting,C,,"질문 1에 대한 정답은 C, 질문 2에 대한"
Accounting,C,A,A입니다.
Accounting,A,D,D
Accounting,A,,"질문 1에 대한 답은 C입니다.

질문 2에"
Accounting,D,,제조업을 영위하는 (주)상공이 결산 시
Accounting,D,A,A입니다.
Accounting,B,,정답은 D: 자산은 과 소계상되고 당기순
Accounting,A,C,C
Accounting,D,D,D
Accounting,C,A,A입니다.
Accounting,C,,"질문 1의 정답은 C입니다.

질문 2의"
Accounting,A,D,D가 정답입니다.
Accounting,B,A,A입니다.
Accounting,D,A,A입니다.
Accounting,B,,질문 1에 대한 정답은 C입니다.
Accounting,B,A,A입니다.
Accounting,B,A,A입니다.
Accounting,D,B,B
Accounting,C,A,A
Accounting,D,D,D입니다.
Accounting,A,,"질문 1의 정답은 C, 질문 2의 정답"
Accounting,C,,"질문 1의 정답은 C, 즉 ￦1,"
Accounting,B,C,C
Accounting,A,A,A입니다.
Accounting,D,D,D
Accounting,B,,"질문 1에 대한 답은 C입니다.

질문 2에"
Accounting,C,A,A입니다.
Accounting,C,D,D
Accounting,B,A,A입니다.
Accounting,D,,"질문 1에 대한 답은 C입니다.

질문 2에"
Accounting,D,C,C가 정답입니다.
Accounting,C,,"질문 1의 정답은 C입니다.

질문 2의"
Accounting,D,,"질문 1의 정답은 C, 즉 ￦1,"
Accounting,C,A,A입니다.
Accounting,A,C,C가 정답입니다.
Accounting,C,A,A입니다.
Accounting,C,,"질문 1의 정답은 C, 즉 ￦1,"
Accounting,A,,"정답은 B: 현금과 부족￦120,000 여"
Accounting,D,C,C
Accounting,B,D,D입니다.
Accounting,D,C,C
Accounting,C,C,C입니다.
Accounting,C,C,C입니다.
Accounting,A,,"질문 5번의 정답입니다.

질문 5번은"
Accounting,D,B,B
Accounting,A,D,D
Accounting,C,,질문 (Question): 재무제표 요소들에 대한 설명으로
Accounting,D,,질문 1: 수정 전 잔액시산표의 차변 합
Accounting,C,,정답은 C입니다.
Accounting,A,A,A입니다.
Accounting,D,C,C입니다.
Accounting,B,A,A입니다.
Accounting,D,,질문 1에 대한 정답은 C입니다.
Accounting,B,D,D가 맞습니다.
Accounting,B,C,C입니다.
